"Facility_Number","School_Type","School District or Name","County","MMR_Vaccination_Rate","age_group","Facility_Adress"
3700011,"School District","Cumberland County Schools","Cumberland County",0.867167196072769,"Kindergarten",NA
3700012,"School District","Pitt County Schools","Pitt County",0.942493946731235,"Kindergarten",NA
3700030,"School District","Alamance-Burlington Schools","Alamance County",0.951035781544256,"Kindergarten",NA
3700090,"School District","Alexander County Schools","Alexander County",0.942307692307692,"Kindergarten",NA
3700120,"School District","Alleghany County Schools","Alleghany County",0.942307692307692,"Kindergarten",NA
3700180,"School District","Anson County Schools","Anson County",0.963800904977376,"Kindergarten",NA
3700210,"School District","Ashe County Schools","Ashe County",0.91358024691358,"Kindergarten",NA
3700240,"School District","Asheboro City Schools","Randolph County",0.965811965811966,"Kindergarten",NA
3700270,"School District","Asheville City Schools","Buncombe County",0.946341463414634,"Kindergarten",NA
3700300,"School District","Avery County Schools","Avery County",0.927007299270073,"Kindergarten",NA
3700330,"School District","Beaufort County Schools","Beaufort County",0.951807228915663,"Kindergarten",NA
3700360,"School District","Bertie County Schools","Bertie County",0.971428571428571,"Kindergarten",NA
3700390,"School District","Bladen County Schools","Bladen County",0.935374149659864,"Kindergarten",NA
3700420,"School District","Brunswick County Schools","Brunswick County",0.956326987681971,"Kindergarten",NA
3700450,"School District","Buncombe County Schools","Buncombe County",0.923525599481529,"Kindergarten",NA
3700480,"School District","Burke County Schools","Burke County",0.96790757381258,"Kindergarten",NA
3700530,"School District","Cabarrus County Schools","Cabarrus County",0.941459152468327,"Kindergarten",NA
3700580,"School District","Caldwell County Schools","Caldwell County",0.94273127753304,"Kindergarten",NA
3700600,"School District","Camden County Schools","Camden County",0.964028776978417,"Kindergarten",NA
3700630,"School District","Carteret County Schools","Carteret County",0.966101694915254,"Kindergarten",NA
3700660,"School District","Caswell County Schools","Caswell County",0.920731707317073,"Kindergarten",NA
3700690,"School District","Catawba County Schools","Catawba County",0.943830570902394,"Kindergarten",NA
3700720,"School District","Chapel Hill-Carrboro Schools","Orange County",0.986820428336079,"Kindergarten",NA
3700750,"School District","Chatham County Schools","Chatham County",0.936305732484076,"Kindergarten",NA
3700780,"School District","Cherokee County Schools","Cherokee County",0.836909871244635,"Kindergarten",NA
3700840,"School District","Edenton-Chowan Schools","Chowan County",0.959349593495935,"Kindergarten",NA
3700870,"School District","Clay County Schools","Clay County",0.865979381443299,"Kindergarten",NA
3700900,"School District","Cleveland County Schools","Cleveland County",0.956232159847764,"Kindergarten",NA
3700930,"School District","Clinton City Schools","Sampson County",0.972972972972973,"Kindergarten",NA
3700960,"School District","Columbus County Schools","Columbus County",0.935860058309038,"Kindergarten",NA
3701080,"School District","Currituck County Schools","Currituck County",0.949832775919732,"Kindergarten",NA
3701110,"School District","Dare County Schools","Dare County",0.970099667774086,"Kindergarten",NA
3701140,"School District","Davidson County Schools","Davidson County",0.967532467532468,"Kindergarten",NA
3701170,"School District","Davie County Schools","Davie County",0.951724137931034,"Kindergarten",NA
3701200,"School District","Duplin County Schools","Duplin County",0.961021505376344,"Kindergarten",NA
3701260,"School District","Durham Public Schools","Durham County",0.526315789473684,"Kindergarten",NA
3701320,"School District","Edgecombe County Schools","Edgecombe County",0.886486486486487,"Kindergarten",NA
3701380,"School District","Elkin City Schools","Surry County",0.936842105263158,"Kindergarten",NA
3701500,"School District","Forsyth County Schools","Forsyth County",0.932590855803048,"Kindergarten",NA
3701530,"School District","Franklin County Schools","Franklin County",0.926680244399185,"Kindergarten",NA
3701620,"School District","Gaston County Schools","Gaston County",0.927453769559033,"Kindergarten",NA
3701680,"School District","Gates County Schools","Gates County",0.955056179775281,"Kindergarten",NA
3701770,"School District","Graham County Schools","Graham County",0.873563218390805,"Kindergarten",NA
3701800,"School District","Granville County Schools","Granville County",0.963829787234043,"Kindergarten",NA
3701830,"School District","Greene County Schools","Greene County",0.984848484848485,"Kindergarten",NA
3701920,"School District","Guilford County Schools","Guilford County",0.921945701357466,"Kindergarten",NA
3701950,"School District","Halifax County Schools","Halifax County",0.957831325301205,"Kindergarten",NA
3702010,"School District","Harnett County Schools","Harnett County",0.905130007027407,"Kindergarten",NA
3702040,"School District","Haywood County Schools","Haywood County",0.947478991596639,"Kindergarten",NA
3702100,"School District","Henderson County Schools","Henderson County",0.868686868686869,"Kindergarten",NA
3702160,"School District","Hertford County Schools","Hertford County",0.961111111111111,"Kindergarten",NA
3702190,"School District","Hickory City Schools","Catawba County",0.960159362549801,"Kindergarten",NA
3702250,"School District","Hoke County Schools","Hoke County",0.929042904290429,"Kindergarten",NA
3702280,"School District","Hyde County Schools","Hyde County",1,"Kindergarten",NA
3702310,"School District","Iredell-Statesville Schools","Iredell County",0.949624060150376,"Kindergarten",NA
3702340,"School District","Jackson County Schools","Jackson County",0.897321428571429,"Kindergarten",NA
3702370,"School District","Johnston County Schools","Johnston County",0.955465587044534,"Kindergarten",NA
3702400,"School District","Jones County Schools","Jones County",0.975308641975309,"Kindergarten",NA
3702430,"School District","Kannapolis City Schools","Cabarrus County",0.929155313351499,"Kindergarten",NA
3702430,"School District","Kannapolis City Schools","Rowan County",0.976744186046512,"Kindergarten",NA
3702560,"School District","Lee County Schools","Lee County",0.94311377245509,"Kindergarten",NA
3702610,"School District","Lenoir County Schools","Lenoir County",0.939501779359431,"Kindergarten",NA
3702640,"School District","Lexington City Schools","Davidson County",0.905660377358491,"Kindergarten",NA
3702680,"School District","Lincoln County Schools","Lincoln County",0.906565656565657,"Kindergarten",NA
3702760,"School District","Macon County Schools","Macon County",0.92358803986711,"Kindergarten",NA
3702820,"School District","Madison County Schools","Madison County",0.929032258064516,"Kindergarten",NA
3702880,"School District","Martin County Schools","Martin County",0.945701357466063,"Kindergarten",NA
3702940,"School District","McDowell County Schools","McDowell County",0.956521739130435,"Kindergarten",NA
3702970,"School District","Charlotte-Mecklenburg Schools","Mecklenburg County",0.902063941723998,"Kindergarten",NA
3703000,"School District","Mitchell County Schools","Mitchell County",0.912698412698413,"Kindergarten",NA
3703060,"School District","Montgomery County Schools","Montgomery County",0.966942148760331,"Kindergarten",NA
3703090,"School District","Moore County Schools","Moore County",0.951685393258427,"Kindergarten",NA
3703120,"School District","Mooresville City Schools","Iredell County",0.953125,"Kindergarten",NA
3703210,"School District","Mount Airy City Schools","Surry County",0.992,"Kindergarten",NA
3703270,"School District","Nash-Rocky Mount Schools","Edgecombe County",0.870503597122302,"Kindergarten",NA
3703270,"School District","Nash-Rocky Mount Schools","Nash County",0.957236842105263,"Kindergarten",NA
3703310,"School District","Craven County Schools","Craven County",0.955723542116631,"Kindergarten",NA
3703330,"School District","New Hanover County Schools","New Hanover County",0.933048433048433,"Kindergarten",NA
3703360,"School District","Newton-Conover City Schools","Catawba County",0.950920245398773,"Kindergarten",NA
3703450,"School District","Onslow County Schools","Onslow County",0.911955977988995,"Kindergarten",NA
3703480,"School District","Orange County Schools","Orange County",0.958762886597938,"Kindergarten",NA
3703510,"School District","Pamlico County Schools","Pamlico County",1,"Kindergarten",NA
3703540,"School District","Pasquotank County Schools","Pasquotank County",0.955497382198953,"Kindergarten",NA
3703570,"School District","Pender County Schools","Pender County",0.932374100719425,"Kindergarten",NA
3703600,"School District","Perquimans County Schools","Perquimans County",0.945454545454545,"Kindergarten",NA
3703630,"School District","Person County Schools","Person County",0.970099667774086,"Kindergarten",NA
3703720,"School District","Polk County Schools","Polk County",0.918367346938776,"Kindergarten",NA
3703780,"School District","Randolph County Schools","Randolph County",0.94524236983842,"Kindergarten",NA
3703870,"School District","Richmond County Schools","Richmond County",0.980088495575221,"Kindergarten",NA
3703900,"School District","Roanoke Rapids City Schools","Halifax County",0.89010989010989,"Kindergarten",NA
3703930,"School District","Robeson County Schools","Robeson County",0.932157394843962,"Kindergarten",NA
3703990,"School District","Rockingham County Schools","Rockingham County",0.947941888619855,"Kindergarten",NA
3704050,"School District","Rowan-Salisbury Schools","Rowan County",0.903624382207578,"Kindergarten",NA
3704080,"School District","Rutherford County Schools","Rutherford County",0.95,"Kindergarten",NA
3704140,"School District","Sampson County Schools","Sampson County",0.947454844006568,"Kindergarten",NA
3704200,"School District","Scotland County Schools","Scotland County",0.928934010152284,"Kindergarten",NA
3704320,"School District","Stanly County Schools","Stanly County",0.950524737631184,"Kindergarten",NA
3704380,"School District","Stokes County Schools","Stokes County",0.958005249343832,"Kindergarten",NA
3704410,"School District","Surry County Schools","Surry County",0.962809917355372,"Kindergarten",NA
3704440,"School District","Swain County Schools","Swain County",0.928057553956835,"Kindergarten",NA
3704500,"School District","Thomasville City Schools","Davidson County",0.94413407821229,"Kindergarten",NA
3704530,"School District","Transylvania County Schools","Transylvania County",0.91304347826087,"Kindergarten",NA
3704590,"School District","Tyrrell County Schools","Tyrrell County",0.956521739130435,"Kindergarten",NA
3704620,"School District","Union County Public Schools","Union County",0.908235294117647,"Kindergarten",NA
3704650,"School District","Vance County Schools","Vance County",0.94919168591224,"Kindergarten",NA
3704720,"School District","Wake County Schools","Wake County",0.937875336508594,"Kindergarten",NA
3704740,"School District","Warren County Schools","Warren County",0.94017094017094,"Kindergarten",NA
3704800,"School District","Washington County Schools","Washington County",0.927536231884058,"Kindergarten",NA
3704830,"School District","Watauga County Schools","Watauga County",0.951070336391437,"Kindergarten",NA
3704880,"School District","Wayne County Public Schools","Wayne County",0.968200836820084,"Kindergarten",NA
3704890,"School District","Weldon City Schools","Halifax County",0.931818181818182,"Kindergarten",NA
3704920,"School District","Whiteville City Schools","Columbus County",0.880597014925373,"Kindergarten",NA
3704950,"School District","Wilkes County Schools","Wilkes County",0.9703125,"Kindergarten",NA
3705020,"School District","Wilson County Schools","Wilson County",0.887323943661972,"Kindergarten",NA
3705040,"School District","Yadkin County Schools","Yadkin County",0.965699208443272,"Kindergarten",NA
3705070,"School District","Yancey County Schools","Yancey County",0.970238095238095,"Kindergarten",NA
1,"Private","Alamance Christian School","Alamance County",0.9,"Kindergarten",NA
370046703528,"Charter/Lab","Alamance Community School","Alamance County",0.993,"Kindergarten","195 Kronbergs Court, Haw River, NC 27258"
370003000001,"Public","Alexander Wilson Elementary","Alamance County",0.977,"Kindergarten","2518 NC 54, Graham, NC 27253"
370003000002,"Public","Altamahaw-Ossipee Elementary","Alamance County",0.978,"Kindergarten","2832 N NC 87, Elon, NC 27244"
370003000003,"Public","B. Everett Jordan Elementary","Alamance County",1,"Kindergarten","5827 Church Road, Graham, NC 27253"
2,"Private","Blessed Sacrament Catholic Sch.","Alamance County",1,"Kindergarten",NA
3,"Private","Bradford Academy","Alamance County",0.933,"Kindergarten",NA
4,"Private","Burlington Christian Academy","Alamance County",1,"Kindergarten",NA
370011602565,"Charter/Lab","Clover Garden","Alamance County",1,"Kindergarten","2454 Altamahaw Union Ridge Roa, Burlington, NC 27217"
370003000197,"Public","Eastlawn Elementary","Alamance County",0.966,"Kindergarten","502 N Graham Hopedale Road, Burlington, NC 27217"
5,"Private","Grace Christian Academy (Alamance)","Alamance County",1,"Kindergarten",NA
370003000199,"Public","Grove Park Elementary","Alamance County",0.895,"Kindergarten","141 Trail One, Burlington, NC 27215"
370003000012,"Public","North Graham Elementary","Alamance County",0.952,"Kindergarten","1025 Trollinger Road, Graham, NC 27253"
370003000013,"Public","Pleasant Grove Elementary","Alamance County",1,"Kindergarten","2847 Pleasant Grv Sch Road, Burlington, NC 27217"
370005002366,"Charter/Lab","River Mill Academy","Alamance County",0.97,"Kindergarten","235 Cheeks Lane, Graham, NC 27253"
370003000014,"Public","South Graham Elementary","Alamance County",0.986,"Kindergarten","320 Ivey Road, Graham, NC 27253"
370003000015,"Public","South Mebane Elementary","Alamance County",1,"Kindergarten","600 S 3rd Street, Mebane, NC 27302"
370003000018,"Public","Sylvan Elementary","Alamance County",0.975,"Kindergarten","7718 Sylvan Road, Snow Camp, NC 27349"
6,"Private","The Burlington School","Alamance County",1,"Kindergarten",NA
370009000032,"Public","Ellendale Elementary","Alexander County",1,"Kindergarten","175 Ellendale Park Lane, Taylorsville, NC 28681"
370009000031,"Public","Hiddenite Elementary","Alexander County",0.981,"Kindergarten","374 Sulphur Springs Road, Hiddenite, NC 28636"
370009000033,"Public","Stony Point Elementary","Alexander County",0.963,"Kindergarten","311 Stony Point School Road, Stony Point, NC 28678"
370009000034,"Public","Sugar Loaf Elementary","Alexander County",1,"Kindergarten","3600 NC Hwy 16N, Taylorsville, NC 28681"
370009000030,"Public","Taylorsville Elementary","Alexander County",0.976,"Kindergarten","100 7th Street SW, Taylorsville, NC 28681"
370009000036,"Public","Wittenburg Elementary","Alexander County",0.974,"Kindergarten","7300 Church Road, Taylorsville, NC 28681"
370012000038,"Public","Glade Creek Elementary","Alleghany County",1,"Kindergarten","32 Glade Creek Sch Road, Ennice, NC 28623"
370012000039,"Public","Piney Creek Elementary","Alleghany County",1,"Kindergarten","559 Piney Creek Sch Road, Piney Creek, NC 28663"
370012000040,"Public","Sparta Elementary","Alleghany County",0.984,"Kindergarten","450 N Main Street, Sparta, NC 28675"
370018000042,"Public","Ansonville Elementary","Anson County",1,"Kindergarten","9104 Hwy 52 N, Ansonville, NC 28007"
370021000971,"Public","Blue Ridge Elementary","Ashe County",0.976,"Kindergarten","5778 NC Hwy 88 W, Warrensville, NC 28693"
370021002704,"Public","Westwood Elementary","Ashe County",0.986,"Kindergarten","4083 US Hwy 221S, West Jefferson, NC 28694"
370030000084,"Public","Crossnore Elementary","Avery County",1,"Kindergarten","1000 Walt Clark Road, Crossnore, NC 28616"
370033000091,"Public","Bath Elementary","Beaufort County",0.979,"Kindergarten","110 S King Street, Bath, NC 27808"
370033002106,"Public","Chocowinity Primary","Beaufort County",1,"Kindergarten","606 Gray Road, Chocowinity, NC 27817"
370033001922,"Public","Eastern Elementary","Beaufort County",0.908,"Kindergarten","947 Hudnell Street, Washington, NC 27889"
7,"Private","Pungo Christian Academy","Beaufort County",1,"Kindergarten",NA
8,"Private","Terra Ceia Christian School","Beaufort County",1,"Kindergarten",NA
9,"Private","Unity Christian Academy","Beaufort County",1,"Kindergarten",NA
370036000104,"Public","Aulander Elementary","Bertie County",1,"Kindergarten","2515 NC Highway 305 North, Aulander, NC 27805"
370036000107,"Public","Colerain Elementary","Bertie County",1,"Kindergarten","202 N Academy Street, Colerain, NC 27924"
10,"Private","Lawrence Academy","Bertie County",0.952,"Kindergarten",NA
370036000106,"Public","West Bertie Elementary","Bertie County",0.909,"Kindergarten","3734 Governors Road, Kelford, NC 27847"
370036002285,"Public","Windsor Elementary","Bertie County",0.958,"Kindergarten","104 Cooper Hill Road, Windsor, NC 27983"
370039000111,"Public","Bladen Lakes Primary","Bladen County",1,"Kindergarten","9554 Johnsontown Road, Elizabethtown, NC 28337"
370039002150,"Public","Bladenboro Primary","Bladen County",0.926,"Kindergarten","312 Old Whiteville Road, Bladenboro, NC 28320"
370039000114,"Public","Dublin Primary","Bladen County",1,"Kindergarten","7048 Albert Street, Dublin, NC 28332"
370039000118,"Public","Elizabethtown Primary","Bladen County",0.961,"Kindergarten","301 Mercer Road, Elizabethtown, NC 28337"
370041303430,"Charter/Lab","Emereau: Bladen","Bladen County",1,"Kindergarten","995 Airport Rd, Elizabethtown, NC 28337"
370039000119,"Public","Plain View Primary","Bladen County",0.929,"Kindergarten","1963 Chicken Foot Road, Tar Heel, NC 28392"
11,"Private","Academy of Coastal Carolina (K-6)","Brunswick County",1,"Kindergarten",NA
370042001771,"Public","Belville Elementary","Brunswick County",0.972,"Kindergarten","575 River Road, Leland, NC 28451"
370042000122,"Public","Bolivia Elementary","Brunswick County",0.969,"Kindergarten","4036 Business Hwy 17-E, Bolivia, NC 28422"
370042002621,"Public","Jessie Mae Monroe Elementary","Brunswick County",0.946,"Kindergarten","250 Pea Landing Road NW, Ash, NC 28420"
12,"Private","Southeastern Christian Academy","Brunswick County",0.95,"Kindergarten",NA
13,"Private","Southport Christian School","Brunswick County",0.5,"Kindergarten",NA
370042000053,"Public","Supply Elementary","Brunswick County",0.968,"Kindergarten","51 Benton Road SE, Supply, NC 28462"
370042003134,"Public","Town Creek Elementary","Brunswick County",0.967,"Kindergarten","6330 Lake Park Dr SE, Winnabow, NC 28479"
370042000131,"Public","Waccamaw","Brunswick County",1,"Kindergarten","5901 Waccamaw School Road NW, Ash, NC 28420"
370011702569,"Charter/Lab","ArtSpace Charter School","Buncombe County",0.657,"Kindergarten","2030 US Hwy 70, Swannanoa, NC 28778"
14,"Private","Asheville Catholic School","Buncombe County",1,"Kindergarten",NA
15,"Private","Asheville Christian Academy","Buncombe County",0.97,"Kindergarten",NA
16,"Private","Asheville-Pisgah Christian Sch.","Buncombe County",0.444,"Kindergarten",NA
370045001781,"Public","Avery's Creek Elementary","Buncombe County",0.919,"Kindergarten","15 Park South Boulevard, Arden, NC 28704"
17,"Private","Azalea Mountain School","Buncombe County",0.442,"Kindergarten",NA
370045001003,"Public","Barnardsville Elementary","Buncombe County",1,"Kindergarten","20 Hillcrest Drive, Barnardsville, NC 28709"
370045000138,"Public","Black Mountain Primary","Buncombe County",0.973,"Kindergarten","301 East State Street, Black Mountain, NC 28711"
370045000140,"Public","Candler Elementary","Buncombe County",0.957,"Kindergarten","121 Candler School Road, Candler, NC 28715"
18,"Private","Canterbury Classical School","Buncombe County",0.571,"Kindergarten",NA
19,"Private","Carolina Day School","Buncombe County",0.88,"Kindergarten",NA
370027000072,"Public","Claxton Elementary","Buncombe County",0.833,"Kindergarten","241 Merrimon Avenue, Asheville, NC 28801"
370045000146,"Public","Emma Elementary","Buncombe County",0.968,"Kindergarten","37 Brickyard Road, Asheville, NC 28806"
370007802430,"Charter/Lab","Evergreen Community Charter","Buncombe County",0.955,"Kindergarten","50 Bell Road, Asheville, NC 28805"
370045000151,"Public","Glen Arden Elementary","Buncombe County",0.904,"Kindergarten","50 Pinehurst Circle, Arden, NC 28704"
370027000071,"Public","Hall Fletcher Elementary","Buncombe County",0.936,"Kindergarten","60 Ridgelawn Road, Asheville, NC 28806"
370045000152,"Public","Haw Creek Elementary","Buncombe County",0.917,"Kindergarten","10 Bethesda Road, Asheville, NC 28805"
370045002508,"Public","Hominy Valley Elementary","Buncombe County",0.968,"Kindergarten","450 Enka Lake Road, Candler, NC 28715"
370036903340,"Charter/Lab","IC Imagine","Buncombe County",0.933,"Kindergarten","110 Champion Way, Asheville, NC 28806"
370027000076,"Public","Ira B Jones Elementary","Buncombe County",0.898,"Kindergarten","544 Kimberly Avenue, Asheville, NC 28804"
370027002202,"Public","Isaac Dickson Elementary","Buncombe County",0.758,"Kindergarten","125 Hill Street, Asheville, NC 28801"
370045000153,"Public","Johnston Elementary","Buncombe County",0.921,"Kindergarten","230 Johnston Boulevard, Asheville, NC 28806"
370045000154,"Public","Leicester Elementary","Buncombe County",0.786,"Kindergarten","31 Gilbert Road, Leicester, NC 28748"
370045002259,"Public","North Buncombe Elementary","Buncombe County",0.979,"Kindergarten","251 Flat Creek Church Rd, Weaverville, NC 28787"
370045000157,"Public","Oakley Elementary","Buncombe County",0.934,"Kindergarten","753 Fairview Road, Asheville, NC 28803"
20,"Private","Odyssey Community School","Buncombe County",0.727,"Kindergarten",NA
370045000159,"Public","Pisgah Elementary","Buncombe County",0.926,"Kindergarten","1495 Pisgah Hwy, Candler, NC 28715"
21,"Private","Reynolds Mountain Christ. Acad.","Buncombe County",1,"Kindergarten",NA
22,"Private","Temple Baptist School","Buncombe County",0.667,"Kindergarten",NA
370045000168,"Public","Weaverville Primary","Buncombe County",0.844,"Kindergarten","39 S Main Street, Weaverville, NC 28787"
370045000169,"Public","West Buncombe Elementary","Buncombe County",0.95,"Kindergarten","175 Erwin Hills Road, Asheville, NC 28806"
370045000170,"Public","Woodfin Elementary","Buncombe County",0.81,"Kindergarten","108 Elk Mountain Road, Asheville, NC 28804"
23,"Private","Christ Classical Academy","Burke County",1,"Kindergarten",NA
370048000175,"Public","Forest Hill Elementary","Burke County",0.756,"Kindergarten","304 Ann Street, Morganton, NC 28655"
370048000177,"Public","George Hildebrand Elementary","Burke County",0.98,"Kindergarten","8078 G Hildebrand Sch Road, Connelly Springs, NC 28612"
370048000179,"Public","Glen Alpine Elementary","Burke County",1,"Kindergarten","302 London Street, Morganton, NC 28655"
370048000182,"Public","Hildebran Elementary","Burke County",1,"Kindergarten","703 US Hwy 70 West, Hildebran, NC 28637"
370048000184,"Public","Icard Elementary","Burke County",1,"Kindergarten","3087 Icard School Road, Connelly Springs, NC 28612"
370048000187,"Public","Mull Elementary","Burke County",0.931,"Kindergarten","1140 Old NC 18 South, Morganton, NC 28655"
370048000188,"Public","Oak Hill Elementary","Burke County",0.965,"Kindergarten","2363 NC 181, Morganton, NC 28655"
370048002431,"Public","Ray Childers Elementary","Burke County",1,"Kindergarten","1183 Cape Hickory Road, Hickory, NC 28601"
370048000193,"Public","Valdese Elementary","Burke County",0.925,"Kindergarten","298 Praley Street, Valdese, NC 28690"
370048002432,"Public","W A Young Elementary","Burke County",1,"Kindergarten","325 Conley Road, Morganton, NC 28655"
370053000208,"Public","A T Allen Elementary","Cabarrus County",0.903,"Kindergarten","3939 Abilene Rd, Concord, NC 28025"
370037203324,"Charter/Lab","A.C.E. Academy","Cabarrus County",1,"Kindergarten","7807 Caldwell Road, Harrisburg, NC 28075"
370053000375,"Public","Beverly Hills Elementary","Cabarrus County",0.975,"Kindergarten","87 Palaside Drive NE, Concord, NC 28025"
24,"Private","Cannon School","Cabarrus County",0.978,"Kindergarten",NA
370053002839,"Public","Carl A Furr Elementary","Cabarrus County",0.967,"Kindergarten","2725 Clover Road, Concord, NC 28027"
370013302706,"Charter/Lab","Carolina International School","Cabarrus County",0.932,"Kindergarten","9545 Poplar Tent Road, Concord, NC 28027"
370053002820,"Public","Charles E Boger Elementary","Cabarrus County",0.988,"Kindergarten","5150 Dove Field Lane, Kannapolis, NC 28081"
370053000376,"Public","Coltrane-Webb Elementary","Cabarrus County",1,"Kindergarten","61 Spring St NW, Concord, NC 28025"
25,"Private","Concord First Assembly Ac-CFA-now Concord Academy (K-5)","Cabarrus County",0.951,"Kindergarten",NA
370039903387,"Charter/Lab","Concord Lake STEAM Academy","Cabarrus County",0.952,"Kindergarten","1911 Concord Lake Road, Kannapolis, NC 28083"
370053002624,"Public","Cox Mill Elementary","Cabarrus County",0.93,"Kindergarten","1450 Cox Mill Road, Concord, NC 28027"
370243001041,"Public","Fred L Wilson Elementary","Cabarrus County",0.987,"Kindergarten","1401 Pine Street, Kannapolis, NC 28081"
370053000211,"Public","Harrisburg Elementary","Cabarrus County",0.974,"Kindergarten","3900 Stallings Road, Harrisburg, NC 28075"
370053003518,"Public","Hickory Ridge Elementary","Cabarrus County",0.969,"Kindergarten","9464 Hickory Ridge Rd, Harrisburg, NC 28075"
26,"Private","Hope Academy","Cabarrus County",0.714,"Kindergarten",NA
370243001045,"Public","Jackson Park Elementary","Cabarrus County",0.981,"Kindergarten","1400 Jackson Street, Kannapolis, NC 28083"
370053003174,"Public","Patriots Elementary","Cabarrus County",0.992,"Kindergarten","1510 Holden Rd SW, Concord, NC 28025"
370053002750,"Public","Pitts School Road Elementary","Cabarrus County",0.989,"Kindergarten","720 Pitts School Road SW, Concord, NC 28027"
370053000379,"Public","R Brown  McAllister Elementary","Cabarrus County",0.976,"Kindergarten","541 Sunnyside Drive SE, Concord, NC 28025"
370053000217,"Public","Royal Oaks Elementary","Cabarrus County",0.983,"Kindergarten","608 Dakota Street, Kannapolis, NC 28083"
370243001046,"Public","Shady Brook Elementary","Cabarrus County",0.974,"Kindergarten","903 Rogers Lake Road, Kannapolis, NC 28081"
370053002434,"Public","W M Irvin Elementary","Cabarrus County",0.975,"Kindergarten","1400 Gold Rush Drive, Concord, NC 28025"
370053001818,"Public","Weddington Hills Elementary","Cabarrus County",0.979,"Kindergarten","4401 Weddington Road, Concord, NC 28025"
370053000219,"Public","Winecoff Elementary","Cabarrus County",0.99,"Kindergarten","375 Winecoff Sch Road, Concord, NC 28027"
370053000220,"Public","Wolf Meadow Elementary","Cabarrus County",0.986,"Kindergarten","150 Wolf Meadow Drive SW, Concord, NC 28027"
370058000221,"Public","Baton Elementary","Caldwell County",1,"Kindergarten","1400 Baton School Road, Granite Falls, NC 28630"
370058000224,"Public","Dudley Shoals Elementary","Caldwell County",1,"Kindergarten","1500 Dudley Shoals Road, Granite Falls, NC 28630"
370058000226,"Public","Gamewell Elementary","Caldwell County",1,"Kindergarten","2904 Morganton Boulevard, Lenoir, NC 28645"
370058000228,"Public","Granite Falls Elementary","Caldwell County",0.988,"Kindergarten","60 N Highland Avenue, Granite Falls, NC 28630"
370058000230,"Public","Happy Valley Elementary","Caldwell County",1,"Kindergarten","1350 Yadkin River Road, Lenoir, NC 28645"
370058000232,"Public","Hudson Elementary","Caldwell County",1,"Kindergarten","200 Roy Coffey Drive, Hudson, NC 28638"
370058000234,"Public","Kings Creek Elementary","Caldwell County",1,"Kindergarten","3680 Wilkesboro Boulevard, Lenoir, NC 28645"
370058000238,"Public","Sawmills Elementary","Caldwell County",0.913,"Kindergarten","4436 Sawmills School Road, Granite Falls, NC 28630"
370058000240,"Public","Valmead Elementary","Caldwell County",0.979,"Kindergarten","111 Elizabeth Drive NW, Lenoir, NC 28645"
370058000243,"Public","Whitnel Elementary","Caldwell County",0.972,"Kindergarten","1425 Berkley Street SW, Lenoir, NC 28645"
370060000248,"Public","Grandy Primary","Camden County",0.974,"Kindergarten","175 NC Hwy 343 North, Camden, NC 27921"
27,"Private","St. Egbert Catholic School","Carteret County",1,"Kindergarten",NA
370005202371,"Charter/Lab","Tiller School","Carteret County",0.929,"Kindergarten","1950 Live Oak Street, Beaufort, NC 28516"
370069000273,"Public","Balls Creek Elementary","Catawba County",0.988,"Kindergarten","2620 Balls Creek Road, Newton, NC 28658"
370069000275,"Public","Banoak Elementary","Catawba County",1,"Kindergarten","7651 W NC 10 Hwy, Vale, NC 28168"
370069000276,"Public","Blackburn Elementary","Catawba County",1,"Kindergarten","4377 W NC 10 Hwy, Newton, NC 28658"
370069000278,"Public","Catawba Elementary School","Catawba County",0.912,"Kindergarten","5415 Hudson Chapel Road, Catawba, NC 28609"
370069000279,"Public","Charles H Tuttle Elementary","Catawba County",0.976,"Kindergarten","2872 Water Plant Road, Maiden, NC 28650"
370069000280,"Public","Claremont Elementary","Catawba County",0.988,"Kindergarten","3384 E Main Street, Claremont, NC 28610"
370069000281,"Public","Clyde Campbell Elementary","Catawba County",0.963,"Kindergarten","2121 35th Avenue Drive NE, Hickory, NC 28601"
28,"Private","Concordia Christian Day Sch.","Catawba County",0.917,"Kindergarten",NA
370069002573,"Public","Lyle Creek Elementary","Catawba County",1,"Kindergarten","1845 Edgewater Drive NW, Conover, NC 28613"
370069000284,"Public","Maiden Elementary","Catawba County",0.982,"Kindergarten","201 N Main Avenue, Maiden, NC 28650"
370336001405,"Public","North Newton Elementary","Catawba County",1,"Kindergarten","221 West 26th St, Newton, NC 28658"
370219000948,"Public","Oakwood Elementary","Catawba County",0.98,"Kindergarten","366 4th Street NW, Hickory, NC 28601"
370069000287,"Public","Oxford Elementary","Catawba County",1,"Kindergarten","5915 Oxford School Road, Claremont, NC 28610"
370069000289,"Public","Saint Stephens Elementary","Catawba County",0.97,"Kindergarten","684 30th Street NE, Conover, NC 28613"
370069000288,"Public","Sherrills Ford Elementary","Catawba County",0.938,"Kindergarten","8103 Sherrills Ford Road, Sherrills Ford, NC 28673"
370336001403,"Public","Shuford Elementary","Catawba County",0.983,"Kindergarten","810 Hunsucker Drive, Conover, NC 28613"
370336001404,"Public","South Newton Elementary","Catawba County",0.909,"Kindergarten","306 West I Street, Newton, NC 28658"
370219000949,"Public","Southwest Primary","Catawba County",0.991,"Kindergarten","1580 32nd Street SW, Hickory, NC 28602"
