,Unnamed: 0,Facility Number,School Type,School District or Name,County,MMR Vaccination Rate,Age Group,Facility Address
5058,5135,2.80401E+11,Public School,WESTBURY HIGH SCHOOL,Nassau,100.0,,1 POST ROAD
5059,5136,6.303E+11,School District,GLENS FALLS CITY SCHOOLS,Warren,100.0,,15 QUADE ST
5060,5137,2.61902E+11,Private School,ROCHESTER CHRISTIAN SCHOOL,Monroe,100.0,,260 EMBURY RD
5061,5138,2.80503E+11,School District,LOCUST VALLEY CENTRAL SCHOOL,Nassau,100.0,,HORSE HOLLOW RD
5062,5139,6.623E+11,Public School,FOXFIRE SCHOOL,Westchester,100.0,,1061 N BROADWAY
5063,5140,3.43001E+11,Private School,EL-BER ISLAMIC SCHOOL,Queens,92.0,,25-42 49TH ST
5064,5141,5.91302E+11,Public School,LIVINGSTON MANOR HIGH SCHOOL,Sullivan,100.0,,PO BOX 947
5065,5142,3.21101E+11,Private School,CITY OF FAITH CHRISTIAN SCHOOL,Bronx,100.0,,3445 White Plains Rd
5066,5143,5.90501E+11,Private School,ZICHRON MOSHE - 84,Sullivan,99.0,,84 LAUREL PARK RD
5067,5144,2.41701E+11,School District,YORK CENTRAL SCHOOL,Livingston,100.0,,2578 Genesee Street
5068,5145,4.31401E+11,Public School,HONEOYE MIDDLE SCHOOL,Ontario,100.0,,PO BOX 170
5069,5146,2.80211E+11,Public School,OCEANSIDE S H S,Nassau,100.0,,BROWER + SKILLMAN AVE
5070,5147,6.60409E+11,Public School,CARL L DIXSON ELEM SCHOOL,Westchester,99.0,,S HILLSIDE AVE
5071,5148,5.00201E+11,Public School,JAMES A FARLEY ELEMENTARY SCHOOL,Rockland,100.0,,CENTRAL HWY
5072,5149,2.62001E+11,Public School,T J CONNOR ELEM SCHOOL,Monroe,100.0,,13 BECKWITH AVE
5073,5150,1.31602E+11,Public School,ORVILLE A TODD MS,Dutchess,98.0,,11 CROFT RD
5074,5151,2.20701E+11,School District,THOUSAND ISLANDS CENTRAL SCHOOL,Jefferson,100.0,,8481 COUNTY RT. 9
5075,5152,3.52212E+11,Private School,YESHIVA KETANA OF STATEN ISLAND,Richmond,100.0,,4024 AMBOY RD
5076,5153,5.80203E+11,Public School,JOHN F KENNEDY J H S,Suffolk,100.0,,200 JAYNE BLVD
5077,5154,2.61201E+11,Public School,SCRIBNER ROAD ELEM SCHOOL,Monroe,100.0,,1750 SCRIBNER RD
5078,5155,5.12902E+11,Public School,POTSDAM S H S,St.Lawrence,100.0,,29 LEROY ST
5079,5156,011003060002,Public School,CLAYTON A. BOUTON HS,Albany,100.0,,432 NEW SALEM RD
5080,5157,6.303E+11,Private School,ST MARYS-ST ALPHONSUS RGNL CATHOLIC,Warren,100.0,,10-12 CHURCH STREET
5081,5158,4.20402E+11,Private School,LIVING WORD ACADEMY,Onondaga,100.0,,6101 COURT STREET RD
5082,5159,1.01401E+11,School District,KINDERHOOK/ICHABOD CENTRAL SCHOOL DISTRICT,Columbia,99.0,,CENTRAL ADM OFFICE
5083,5160,4.416E+11,Private School,NORA CRONIN PRESENTATION ACADEMY,Orange,100.0,,69 BayView Terrace
5084,5161,5.21401E+11,School District,SOUTH GLENS FALLS CENTRAL SCHOOL,Saratoga,100.0,,7914 BLUEBIRD RD
5085,5162,3.21E+11,Private School,YESHIVA OHAVEI TORAH,Bronx,100.0,,450 WEST 250TH STREET
5086,5163,4.90801E+11,School District,NORTH GREENBUSH COMMON SCHOOL DIST,Rensselaer,100.0,,"48 NORTH GREENBUSH RD, UNIT B"
5087,5164,2.80217E+11,Private School,HAMZA ACADEMY,Nassau,98.0,,202 STUART AVE
5088,5165,5.91201E+11,Public School,TRI VALLEY ELEM SCHOOL,Sullivan,100.0,,34 MOORE HILL RD.
5089,5166,5.12001E+11,School District,MASSENA CENTRAL SCHOOL,St.Lawrence,100.0,,84 NIGHTENGALE AVE
5090,5167,5.80404E+11,Public School,EAST NORTHPORT MS,Suffolk,100.0,,1075 FIFTH AVE
5091,5168,3.31901E+11,Private School,TREY WHITFIELD SCHOOL,Kings,95.0,,P.O. BOX 080384
5092,5169,2.80218E+11,Public School,HEMLOCK SCHOOL,Nassau,100.0,,78 BAYBERRY AVE
5093,5170,2.80523E+11,School District,MASSAPEQUA UNION FREE SCHOOL,Nassau,100.0,,ADM BLDG MERRICK RD
5094,5171,2.8023E+11,Public School,CLEARSTREAM AVENUE SCHOOL,Nassau,100.0,,CLEARSTREAM AVE
5095,5172,6.61905E+11,Public School,BRUNO M. PONTERIO/RIDGE STREET SCHOOL,Westchester,99.0,,N RIDGE ST
5096,5173,2.80515E+11,Public School,CANTIAGUE ELEM SCHOOL,Nassau,100.0,,CANTIAGUE ROCK RD
5097,5174,1.42301E+11,Private School,NATIVITY OF OUR LORD SCHOOL,Erie,99.0,,4414 SOUTH BUFFALO RD
5098,5175,4.21801E+11,Private School,JOWONIO SCHOOL,Onondaga,99.0,,3049 E. GENESEE ST
5099,5176,6.61401E+11,School District,OSSINING UNION FREE SCHOOL,Westchester,100.0,,100 VAN CORTLANDT AVE
5100,5177,6.50901E+11,Public School,PALMYRA MACEDON MIDDLE SCHOOL,Wayne,100.0,,163 HYDE PKY
5101,5178,6.62101E+11,Private School,KENNEDY CATHOLIC HIGH SCHOOL,Westchester,100.0,,54 RT 138
5102,5179,4.80602E+11,Private School,GREEN CHIMNEYS SCHOOL - LITTLE FOLKS,Putnam,100.0,,400 DOANSBURG RD
5103,5180,5.12001E+11,Private School,TRINITY CATHOLIC SCHOOL,St.Lawrence,100.0,,188 MAIN ST
5104,5181,5.30302E+11,Private School,RIVERRUN COMMUNITY MONTESSORI,Schenectady,97.0,,210 Morris Rd
5105,5182,1.406E+11,Public School,PS 50 NORTH PARK COMMUNITY SCHOOL,Erie,100.0,,780 PARKSIDE AVE
5106,5183,2.80506E+11,Public School,THEODORE ROOSEVELT SCHOOL,Nassau,100.0,,150 W MAIN ST
5107,5184,5.80414E+11,Private School,LONG ISLAND SCHOOL-GIFTED,Suffolk,100.0,,"165 PIDGEON HILL RD, L.I. Scho"
5108,5185,081003040000,School District,UNADILLA VALLEY CENTRAL SCHOOLS,Chenango,100.0,,4238 STATE HWY 8
