,Unnamed: 0,Facility Number,School Type,School District or Name,County,MMR Vaccination Rate,Age Group,Facility Address
0,1,5.80202E+11,Private School,STONY BROOK SCHOOL (THE),Suffolk,100.0,,CHAPMAN PKY
1,2,2.80502E+11,Public School,WALT WHITMAN SCHOOL,Nassau,100.0,,WOODBURY RD
2,3,1.41301E+11,Public School,IROQUOIS SHS,Erie,100.0,,BOX 32 GIRDLE RD
3,4,5.80224E+11,Private School,HOLY ANGELS REGIONAL SCHOOL,Suffolk,100.0,,DIVISION ST
4,5,6.618E+11,Public School,MILTON SCHOOL,Westchester,100.0,,HEWLET ST
5,6,6.80602E+11,Private School,SHADY WILLOW,Yates,88.0,,ROUTE 14
6,7,5.00402E+11,Private School,CHEDER CHABAD OF MONSEY,Rockland,98.0,,PO BOX 1164
7,8,6.206E+11,Private School,KINGSTON CATHOLIC SCHOOL,Ulster,99.0,,159 BROADWAY
8,9,5.8041E+11,Public School,COMMACK HIGH SCHOOL,Suffolk,100.0,,SCHOLAR LN
9,10,4.31701E+11,Public School,VICTOR INTERMEDIATE SCHOOL,Ontario,100.0,,VICTOR INTERMEDIATE SCHOOL
10,11,4.21902E+11,Public School,TULLY J S H S,Onondaga,100.0,,ELM ST
11,12,2.80515E+11,Public School,JERICHO S H S,Nassau,100.0,,CEDAR SWAMP RD
12,13,6.41301E+11,Public School,MARGARET MURPHY KINDERGARTEN CENTER,Washington,100.0,,CLARK ST
13,14,5.80235E+11,Public School,KREAMER STREET ELEM SCHOOL,Suffolk,99.0,,KREAMER ST
14,15,5.80211E+11,Public School,STAGE COACH SCHOOL,Suffolk,100.0,,STAGECOACH RD
15,16,4.80101E+11,Public School,MAHOPAC MIDDLE SCHOOL,Putnam,100.0,,BALDWIN PLACE RD
16,17,2.61401E+11,Public School,PITTSFORD MENDON H S,Monroe,100.0,,MENDON RD
17,18,4.613E+11,Public School,CHARLES E RILEY ELEM SCHOOL,Oswego,95.0,,BUNNER ST
18,20,6.60407E+11,Public School,LEE JACKSON SCHOOL,Westchester,99.0,,SARATOGA RD
19,21,5.80104E+11,Public School,DANIEL STREET SCHOOL,Suffolk,100.0,,DANIEL ST
20,23,6.80601E+11,Public School,PENN YAN ACADEMY,Yates,100.0,,COURT ST
21,24,5.80401E+11,Public School,JOHN H GLENN HS,Suffolk,100.0,,478 ELWOOD RD
22,25,1.406E+11,Public School,PS 301 BURGARD HIGH SCHOOL,Erie,99.0,,400 KENSINGTON AVE
23,26,5.80513E+11,Public School,FRANCIS J ONEILL SCHOOL,Suffolk,100.0,,CLAYTON ST
24,27,6.20601E+11,Private School,WOODCREST SCHOOL,Ulster,100.0,,RT 213
25,28,5.80801E+11,School District,SMITHTOWN CENTRAL SCHOOL DISTRICT,Suffolk,100.0,,26 NEW YORK AVE
26,29,5.00402E+11,Private School,YESHIVA TZOIN YOSEF PUPA (BOYS),Rockland,90.0,,15 WIDMAN CT
27,30,4.307E+11,Public School,GENEVA MIDDLE SCHOOL,Ontario,100.0,,101 CARTER RD SUITE 200
28,31,4.72506E+11,School District,WORCESTER CENTRAL SCHOOL,Otsego,100.0,,198 MAIN ST
29,32,043011020001,Public School,RANDOLPH ACADEMY RANDOLPH CAMPUS,Cattaraugus,100.0,,336 MAIN STREET ER
30,33,1.40601E+11,Private School,KING CENTER CHARTER SCHOOL,Erie,100.0,,938 GENESEE ST
31,34,6.622E+11,Public School,POST ROAD SCHOOL,Westchester,100.0,,175 W POST RD
32,35,4.20807E+11,Public School,C GRANT GRIMSHAW SCHOOL,Onondaga,100.0,,5957 US Route 20
33,36,2.80217E+11,Public School,POLK STREET SCHOOL,Nassau,100.0,,960 POLK AVE
34,37,031502060006,Public School,JOHNSON CITY SENIOR HIGH SCHOOL,Broome,100.0,,666 REYNOLDS RD
35,38,6.501E+11,BOCES School,WAYNE-FINGER LAKES BOCES - NEWARK EDUCATION CENTER,Wayne,99.0,,439 W. MAPLE AVE
36,39,3.10201E+11,Private School,QUAD PREPARATORY SCHOOL - LOWER,New York,100.0,,25 PINE STREET
37,40,2.616E+11,Private School,TALMUDICAL INST-UPSTATE N Y,Monroe,100.0,,769 PARK AVE
38,41,5.212E+11,Public School,MECHANICVILLE JR/SR HIGH SCHOOL,Saratoga,100.0,,25 KNISKERN AVE
39,42,4.91401E+11,School District,HOOSIC VALLEY CENTRAL SCHOOL,Rensselaer,100.0,,2 PLEASANT AVE
40,43,5.80201E+11,Public School,PAUL J GELINAS J H S,Suffolk,100.0,,25 MUD RD
41,44,5.00402E+11,Public School,EAST RAMAPO EARLY CHILDHOOD,Rockland,93.0,,105 S MADISON AVE
42,45,4.20412E+11,Private School,THE NEW SCHOOL,Onondaga,100.0,,5205 JAMESVILLE RD
43,46,4.41201E+11,Public School,SAPPHIRE ELEM SCHOOL,Orange,100.0,,159 HARRIMAN HEIGHTS
44,47,4.20807E+11,Public School,LA FAYETTE J S H S,Onondaga,100.0,,3122 US Route 11N
45,48,4.30301E+11,Private School,CALVARY CHAPEL CHRISTIAN SCHOOL,Ontario,100.0,,1777 RTE 332
46,49,4.00701E+11,Public School,NIAGARA WHEATFIELD S H S,Niagara,100.0,,2292 SAUNDERS STLMNT
47,50,2.80203E+11,Public School,WOODLAND J H S,Nassau,100.0,,690 WENWOOD DR
48,51,090501040000,School District,NORTHEASTERN CLINTON CENTRAL SCHOOL,Clinton,100.0,,103 ROUTE 276
49,52,1.41801E+11,Private School,OLV INTENSIVE TREATMENT PROGRAM,Erie,100.0,,650 RIDGE RD
50,53,1.31801E+11,Public School,CHANCELLOR LIVINGSTON ES,Dutchess,100.0,,48 KNOLLWOOD RD
51,54,6.623E+11,Public School,CROSS HILL ACADEMY,Westchester,100.0,,BOLMER AVE
52,55,3.314E+11,Private School,TALMUD TORAH DNITRA WYTHE AVE,Kings,100.0,,712 WYTHE AVE
53,56,5.123E+11,Public School,GRANT C MADILL ELEMENTARY SCHOOL,St.Lawrence,100.0,,JEFFERSON AVE
54,57,3.429E+11,Private School,ST CLARE SCHOOL,Queens,100.0,,137 25 BROOKVILLE BL
55,58,2.514E+11,Public School,DURHAMVILLE SCHOOL,Madison,100.0,,5462 MAIN STREET
56,59,3.32E+11,Private School,BETH JACOB H S,Kings,96.0,,4421 15TH AVE
57,60,2.80407E+11,Private School,NORTH SHORE HEBREW ACADEMY,Nassau,100.0,,16 CHERRY LN
58,61,4.60102E+11,School District,ALTMAR-PARISH-WILLIAMSTOWN CSD,Oswego,100.0,,639 COUNTY ROUTE 22
59,62,3.32E+11,Private School,TALMUD TORAH D RABINA YOEL,Kings,98.0,,5411 FT HAMILTON PKY
60,63,5.70603E+11,Public School,CAMPBELL JR SR HIGH SCHOOL,Steuben,100.0,,8455 COUNTY RT 125
61,64,010100996426,Private School,THE ALBANY ACADEMIES - 135,Albany,100.0,,135 ACADEMY ROAD
62,65,5.21701E+11,Public School,SCHUYLERVILLE MIDDLE SCHOOL,Saratoga,100.0,,14-18 SPRING ST
63,66,5.80102E+11,Public School,JOHN F KENNEDY SCHOOL,Suffolk,100.0,,175 BROOKVALE AVE
64,67,2.61001E+11,School District,SPENCERPORT CENTRAL SCHOOL,Monroe,100.0,,71 Lyell Ave.
65,68,5.91402E+11,Private School,"THE CENTER FOR DISCOVERY, INC.",Sullivan,100.0,,PO BOX 840
66,69,4.10401E+11,Public School,ADIRONDACK H S,Oneida,100.0,,8181 ST. RT. 294
67,70,3.31801E+11,Private School,A PLUS KIDZ ACADEMY,Kings,100.0,,10510 FLATLANDS AVE
68,71,043001040002,Public School,RANDOLPH JSHS,Cattaraugus,99.0,,RANDOLPH JSHS
69,72,4.12901E+11,School District,ORISKANY CENTRAL SCHOOL,Oneida,100.0,,1313 UTICA ST
70,73,4.40201E+11,School District,CHESTER UNION FREE SCHOOL,Orange,100.0,,64 HAMBELTONIAN AVE
71,74,1.32102E+11,Private School,FAITH CHRISTIAN ACADEMY,Dutchess,99.0,,25 GOLF CLUB LANE
72,75,6.51503E+11,Public School,MARGARET W CUYLER ELEM SCHOOL,Wayne,100.0,,6624 SOUTH ST
73,76,4.41E+11,Public School,TRUMAN MOON ELEMENTARY SCHOOL,Orange,100.0,,53 BEDFORD AVENUE
74,77,6.51201E+11,School District,SODUS CENTRAL SCHOOL,Wayne,100.0,,54 MILL ST EXT
75,79,2.70301E+11,Public School,EAST HILL SCHOOL,Montgomery,100.0,,25 SCHOOL DISTRICT RD
76,80,2.50109E+11,School District,BROOKFIELD CENTRAL SCHOOL FAIRGROUND RD,Madison,100.0,,FAIRGROUND RD
77,81,4.416E+11,Private School,CONGREGATION MESIFTA OHR HATALMUD A.K.A. MESIVTA OHR NAFTOLI,Orange,100.0,,701 BLOOMING GROVE TURNPIKE
78,82,5.20302E+11,Public School,KODA MIDDLE SCHOOL,Saratoga,100.0,,970 ROUTE 146
79,83,010623116561,Private School,SAINT GREGORYS SCHOOL,Albany,100.0,,121 OLD NISKAYUNA RD
80,84,010100860899,Private School,KIPP ALBANY COMMUNITY CHARTER MIDDLE SCHOOL - SOUTH DOVE,Albany,100.0,,42 SOUTH DOVE ST
81,85,5.80104E+11,Public School,WEST GATES AVENUE SCHOOL,Suffolk,100.0,,175 WEST GATES AVE
82,86,3.315E+11,Private School,SAINT SAVIOUR CATHOLIC ACADEMY,Kings,100.0,,701 EIGHTH AVE
83,87,5.80202E+11,Private School,NORTH SHORE MONTESSORI SCHOOL,Suffolk,96.0,,218 CHRISTIAN AVE
84,88,3.32001E+11,Private School,ADELPHI ACADEMY,Kings,99.0,,8115 RIDGE BLVD
85,89,1.10101E+11,School District,CINCINNATUS CENTRAL SCHOOL DISTRICT,Cortland,100.0,,2809 CINCINNATUS RD
86,90,2.616E+11,Public School,SCHOOL 53 MONTESSORI ACADEMY,Monroe,100.0,,950 NORTON ST
87,91,2.80515E+11,Public School,GEORGE A JACKSON SCHOOL,Nassau,100.0,,MAYTIME DR
88,92,6.60809E+11,Public School,PLEASANTVILLE H S,Westchester,100.0,,ROMER AVE
89,93,3.10201E+11,Private School,MONTESSORI SCHOOL OF NY INC,New York,100.0,,347 EAST 55TH ST
90,94,3.21E+11,Private School,OUR LADY OF MT CARMEL SCHOOL,Bronx,98.0,,2465 BATHGATE AVE
91,95,3.318E+11,Private School,FLATBUSH S D A SCHOOL,Kings,100.0,,5810 SNYDER AVE
92,96,6.60412E+11,Public School,REACH ACADEMY (THE),Westchester,99.0,,45 EAST GAINSBORG AVENUE
93,97,5.80225E+11,Private School,DEVELOPMENTAL DISABILITIES INSTITUTE - MEDFORD,Suffolk,100.0,,1 SCOUTING BLVD.
94,98,5.00402E+11,Private School,SHAAREI TORAH OF ROCKLAND,Rockland,100.0,,91 WEST CARLTON RD
95,99,4.50801E+11,Public School,CLIFFORD WISE MIDDLE SCHOOL,Orleans,100.0,,GWINN ST
96,100,2.80208E+11,Public School,WASHINGTON ROSE SCHOOL,Nassau,100.0,,2 WASHINGTON AVE
97,101,3.321E+11,Private School,IVDU ELEMENTARY SCHOOL,Kings,100.0,,1301 EAST 18TH STREET
98,102,4.40102E+11,School District,WASHINGTONVILLE CENTRAL SCHOOL,Orange,100.0,,52 W MAIN ST
99,103,1.013E+11,Public School,HUDSON SENIOR HIGH SCHOOL (and MS for lead reporting),Columbia,97.0,,215 HARRY HOWARD AVENUE
100,104,3.10301E+11,Private School,ALEXANDER ROBERTSON SCH,New York,100.0,,3 W 95TH ST
101,105,5.00201E+11,Public School,FIELDSTONE MIDDLE  SCHOOL,Rockland,100.0,,100 FIELDSTONE DR
102,106,2.20301E+11,Public School,INDIAN RIVER HIGH SCHOOL,Jefferson,100.0,,32925 US ROUTE 11
103,107,4.11505E+11,Private School,MISSION SPIRIT ACADEMY,Oneida,62.0,,317 Oriskany Blvd.
104,108,1.406E+11,Public School,PS 45 INTERNATIONAL SCHOOL,Erie,99.0,,141 HOYT AVE
105,109,3.314E+11,Private School,CONG DARKEI TSHIVO OF DINOV,Kings,100.0,,77 WALLABOUT ST.
106,110,5.00402E+11,Private School,MESIFTA BETH SHRAGA,Rockland,100.0,,28 SADDLE RIVER RD
107,111,6.62402E+11,Public School,MILDRED E STRANG MIDDLE SCHOOL,Westchester,100.0,,2701 CROMPOND RD
108,112,5.80109E+11,Public School,LA FRANCES HARDIMAN ELEMENTARY SCHOOL,Suffolk,100.0,,792 MOUNT AVENUE
109,113,5.80513E+11,Public School,ANDREW T MORROW SCHOOL,Suffolk,100.0,,299 SYCAMORE AVE
110,114,3.314E+11,Private School,BETH RACHEL SCHOOLFOR GIRLS - 68,Kings,100.0,,68-84 HARRISON AVE
111,115,1.21701E+11,School District,STAMFORD CENTRAL SCHOOL DISTRICT,Delaware,100.0,,1 RIVER ST
112,116,5.00401E+11,Public School,SUFFERN MIDDLE SCHOOL,Rockland,99.0,,HEMION RD
113,117,4.416E+11,Private School,SAN MIGUEL ACADEMY OF NEWBURGH,Orange,100.0,,245 RENWICK STREET
114,118,050100010004,Public School,GENESEE STREET ELEMENTARY SCHOOL,Cayuga,100.0,,244 GENESEE ST
115,119,6.80802E+11,Private School,FIELDS CORNERS SCHOOL,Yates,47.0,,417 LIBERTY STREET
116,120,2.80519E+11,Private School,THE HAGEDORN LITTLE VILLAGE SCHOOL,Nassau,100.0,,750 HICKSVILLE RD
117,121,069200000002,BOCES School,ERIE 2 BOCES CHAUTAUQUA-CATTARAUGUS BLOOM PROGRAM,Chautauqua,100.0,,41 HEBNER ST 1F
118,122,5.218E+11,School District,SARATOGA SPRINGS CITY SCHOOLS,Saratoga,100.0,,3 BLUE STREAK BLVD
119,123,6.11001E+11,Public School,BUILDING 2 ELEM SCHOOL,Tompkins,100.0,,100 WHIG ST
120,124,6.623E+11,Public School,GORTON H S,Westchester,98.0,,100 SHONNARD PL
121,125,6.21602E+11,Private School,MIDDLE WAY SCHOOL,Ulster,99.0,,268 W SAUGERTIES RD
122,126,3.10301E+11,Private School,COLUMBIA GRAMMAR & PREP SCHOOL,New York,100.0,,5 W 93RD ST
123,127,1.42801E+11,Public School,ALLENDALE SCHOOL,Erie,100.0,,1399 ORCHARD PARK RD
124,128,040901040000,School District,ELLICOTTVILLE CENTRAL SCHOOL DISTRICT,Cattaraugus,100.0,,5873 RT 219
125,129,2.80215E+11,Private School,YESHIVA KETANA OF LONG ISLAND,Nassau,100.0,,321 DOUGHTY BLVD
126,130,5.00402E+11,Private School,MESIVTA MAAMAR MORDECHAI,Rockland,96.0,,111 MAPLE AVE
127,131,2.80202E+11,School District,UNIONDALE UNION FREE SCHOOL,Nassau,99.0,,933 GOODRICH ST
128,132,4.60901E+11,School District,MEXICO CENTRAL SCHOOL,Oswego,100.0,,40 ACADEMY ST
129,133,6.106E+11,Public School,ENFIELD SCHOOL,Tompkins,100.0,,20 ENFIELD MAIN RD.
130,134,3.314E+11,Private School,YESHIVA BNOS AHAVAS ISRAEL,Kings,100.0,,12 FRANKLIN AVE
131,135,2.80101E+11,Private School,NORTH SHORE DAY SCHOOL,Nassau,100.0,,85 CRESCENT BEACH RD
132,136,4.20601E+11,Public School,FABIUS JSHS,Onondaga,100.0,,MILL ST
133,137,6.21101E+11,Public School,LENAPE ELEMENTARY SCHOOL,Ulster,100.0,,1 EUGENE L BROWN DR
134,138,2.801E+11,Public School,GRIBBIN SCHOOL,Nassau,99.0,,SEAMAN RD
135,139,2.80405E+11,Public School,MANOR OAKS WM BOWIE SCH,Nassau,100.0,,1950 HILLSIDE AVE
136,140,4.00701E+11,Private School,ST PETERS LUTHERAN SCHOOL,Niagara,100.0,,6168 WALMORE RD
137,141,061700010001,Public School,CARLYLE C RING ES,Chautauqua,99.0,,333 BUFFALO ST
138,142,1.70801E+11,School District,MAYFIELD CENTRAL SCHOOL,Fulton,100.0,,27 SCHOOL ST
139,143,5.00402E+11,Private School,OHR VDAAS - RISE,Rockland,100.0,,972 CHESTNUT RIDGE RD
140,144,2.60901E+11,Public School,HONEOYE FALLS-LIMA S H S,Monroe,100.0,,83 EAST ST
141,145,5.20302E+11,Public School,SHATEKON ELEMENTARY SCHOOL,Saratoga,100.0,,35 MAXWELL RD
142,146,4.11603E+11,School District,SAUQUOIT VALLEY CENTRAL,Oneida,100.0,,2601 ONEIDA ST
143,147,091200010000,School District,PLATTSBURGH CITY SCHOOL DISTRICT,Clinton,100.0,,49 BROAD ST
144,148,5.20101E+11,Public School,FRANCIS L STEVENS ELEM SCHOOL,Saratoga,100.0,,25 Lake Hill rd
145,149,030101060003,Public School,CHENANGO FORKS ELEMENTARY SCHOOL,Broome,100.0,,6 PATCH RD
146,150,6.21201E+11,School District,ONTEORA CENTRAL SCHOOL,Ulster,100.0,,4166 RT 28
147,151,1.60801E+11,Public School,CHATEAUGAY S H S,Franklin,100.0,,42 RIVER ST
148,152,3.10301E+11,Private School,ANGLO AMERICAN INTERNATIONAL SCHOOL,New York,100.0,,18 W 89TH ST
149,153,1.40302E+11,Private School,MANDALA SCHOOL,Erie,87.0,,738 MAIN ST.
150,154,2.80518E+11,Public School,PLAINEDGE MIDDLE SCHOOL,Nassau,100.0,,200 STEWART AVE
151,155,4.91701E+11,Private School,EMMA WILLARD SCHOOL,Rensselaer,100.0,,285 PAWLING AVE
152,156,6.00601E+11,Public School,OWEGO APALACHIN MIDDLE SCHOOL,New York,99.0,,ELM ST
153,157,2.80407E+11,Public School,LAKEVILLE SCHOOL,Nassau,100.0,,42 27 JAYSON AVE
154,158,081200050001,Public School,PERRY BROWNE INTERMEDIATE SCHOOL,Chenango,100.0,,31 BEEBE AVE
155,159,2.40101E+11,School District,AVON CENTRAL SCHOOL DISTRICT,Livingston,100.0,,191 CLINTON ST
156,161,6.30918E+11,Public School,ABRAHAM WING SCHOOL,Warren,100.0,,120 LAWRENCE ST
157,162,3.42801E+11,Private School,QSAC DAY SCHOOL - WHITESTONE,Queens,97.0,,12-10 150TH ST
158,163,5.80105E+11,Public School,SUSAN E WILEY SCHOOL,Suffolk,99.0,,OFF SCUDDER AVE
159,164,5.80413E+11,School District,SOUTH HUNTINGTON SCHOOL DISTRICT,Suffolk,100.0,,60 WESTON ST.
160,165,2.514E+11,Private School,HOLY CROSS ACADEMY,Madison,98.0,,4020 BARRINGTON RD
161,166,3.207E+11,Private School,BRONX-MANHATTAN SEVENTH DAY ADVENTIST SCHOOL,Bronx,95.0,,1440 PLIMPTON AVENUE
162,167,062301040003,Public School,BROCTON HS,Chautauqua,100.0,,138 W MAIN ST
163,168,2.80518E+11,Private School,BROOKVILLE CENTER FOR CHILDRENS SERVICES BARBARA C WILSON PRESCHOOL,Nassau,100.0,,280 CROSSWAYS PARK DRIVE
164,169,3.10201E+11,Private School,GERMAN SCHOOL MANHATTAN LLC,New York,100.0,,74 WARREN STREET
165,170,6.60203E+11,School District,HENDRICK HUDSON CENTRAL SCHOOL,Westchester,100.0,,Hendrick Hudson High School
166,171,1.61201E+11,Public School,SALMON RIVER SHS,Franklin,100.0,,SALMON RIVER SHS
167,172,5.00101E+11,Public School,STRAWTOWN ELEM SCHOOL,Rockland,100.0,,413 STRAWTOWN RD
168,173,2.80212E+11,Public School,MAURICE W. DOWNING SCHOOL,Nassau,99.0,,55 LINDNER PL
169,174,4.91303E+11,Private School,ROBERT C PARKER SCHOOL,Rensselaer,100.0,,4254 NY RT 43
170,175,2.80252E+11,School District,SEWANHAKA CENTRAL HIGH SCHOOL,Nassau,100.0,,77 LANDAU AVE
171,176,2.30902E+11,Private School,CRYSTAL LIGHT MENNONITE SCHOOL,Lewis,70.0,,CRYSTAL LIGHT MENNONITE SCHOOL
172,177,5.71E+11,Public School,HUGH W GREGG ELEM SCHOOL,Steuben,100.0,,FLINT AVE
173,178,3.317E+11,Private School,BNOS CHOMESH ACADEMY,Nassau,100.0,,588 Brooklyn Ave
174,179,2.80206E+11,Public School,SEAFORD S H S,Nassau,100.0,,1575 SEAMANS NECK RD
175,180,3.31501E+11,Private School,AL MADRASA AL ISLAMIYA,Kings,94.0,,5224 3RD AVE
176,181,6.80802E+11,Private School,SPRING HILL MENNONITE SCHOOL,Yates,44.0,,417 LIBERTY ST. SUITE 2120
177,182,4.90101E+11,Public School,BERLIN ELEMENTARY SCHOOL,Rensselaer,100.0,,53 School St
178,183,5.00402E+11,Private School,YESHIVA KINYAN TORAH,Rockland,91.0,,65 COLLEGE RD
179,184,4.80602E+11,Private School,LONGVIEW SCHOOL,Putnam,100.0,,83 MAIN ST
180,185,2.8023E+11,Private School,PROGRESSIVE SCHOOL OF LONG ISLAND,Nassau,100.0,,1425 MERRICK AVE
181,186,5.80801E+11,Public School,ST JAMES ELEM SCHOOL,Suffolk,100.0,,LAKE AVE
182,187,5.71E+11,Public School,CALVIN U SMITH ELEM SCHOOL,Steuben,100.0,,3414 STANTON ST
183,188,1.81302E+11,Public School,PEMBROKE INTERMEDIATE SCHOOL,Genesee,100.0,,58 ALLEGHENY RD
184,189,2.61201E+11,Public School,HARRIS HILL ELEM SCHOOL,Monroe,100.0,,2126 PENFIELD RD
185,190,3.32101E+11,Private School,B.E.C.E.C INC (BAMBI CHILDHOOD EDUCATION CENTER),Kings,100.0,,1981 HOMECREST AVENUE
186,191,2.803E+11,Public School,WEST ELEM SCHOOL,Nassau,99.0,,91 MARYLAND AVE
187,192,2.00701E+11,School District,LONG LAKE CENTRAL SCHOOL SCHOOL LANE,Hamilton,100.0,,20 SCHOOL LANE
188,193,3.2E+11,School District,BRONX DISTRICT,Bronx,99.0,,3000 E TREMONT AVE
189,194,4.218E+11,Public School,EDWARD SMITH PRE-K-8 SCHOOL,Onondaga,100.0,,1106 LANCASTER AVE+BROAD S
190,195,2.60401E+11,Public School,WALT DISNEY SCHOOL,Monroe,100.0,,175 COLDWATER RD
191,196,2.60501E+11,Public School,GREECE ARCADIA H S,Monroe,100.0,,120 ISLAND COTTAGE RD
192,198,4.31101E+11,Public School,RED JACKET MIDDLE SCHOOL,Ontario,100.0,,1506 ROUTE 21
193,199,6.00802E+11,Private School,NORTH SPENCER CHRISTIAN ACADEMY,Tioga,100.0,,721 ITHACA RD
194,200,3.31701E+11,Private School,ST MARKS DAY SCHOOL,Kings,100.0,,1346 PRESIDENT ST
195,201,1.406E+11,Public School,PS 309 EAST COMMUNITY HIGH SCHOOL,Erie,97.0,,820 NORTHAMPTON ST
196,202,4.12902E+11,Public School,WHITESBORO S H S,Oneida,100.0,,ROUTE 291
197,203,2.41101E+11,Public School,KESHEQUA ELEM SCHOOL,Livingston,100.0,,1716 CHURCH ST
198,204,4.41201E+11,Private School,SHERI TORAH OF KHAL VYOEL MOSHE - LARKIN,Orange,93.0,,PO BOX 2027
199,205,6.623E+11,Public School,SCHOOL 22,Westchester,100.0,,NEPPERHAN AVE
200,206,3.321E+11,Private School,MARILYN DAVID IVDU GIRLS UPPER SCHOOL,Kings,100.0,,1244 EAST 7TH STREET
201,207,060701040000,School District,CLYMER CENTRAL SCHOOL DISTRICT,Chautauqua,99.0,,8672 E MAIN ST
202,208,5.80602E+11,Public School,ROANOKE AVENUE SCHOOL,Suffolk,100.0,,549 ROANOKE AVE
203,209,1.41901E+11,Public School,LANCASTER H S,Erie,100.0,,1 FORTON DR
204,210,1.013E+11,Public School,MONTGOMERY C SMITH ELEMENTARY,Columbia,100.0,,102 HARRY HOWARD AVENUE
205,211,3.32E+11,Private School,CONGREGATION DARKEI AVOS SANZ OF BP,Kings,98.0,,1177 48TH STREET
206,212,020101040002,Public School,ALFRED-ALMOND JUNIOR-SENIOR HIGH SCHOOL (and ES for lead reporting),Allegany,100.0,,6795 RT 21
207,213,2.616E+11,Public School,SCHOOL 102 ROCHESTER EARLY COLLEGE INTERNATIONAL HS-see sch 68 for lead rpting,Monroe,100.0,,200 GENESEE STREET
208,214,1.42101E+11,Public School,AKRON MIDDLE SCHOOL,Erie,100.0,,47 BLOOMINGDALE AVE
209,215,2.21301E+11,School District,LYME CENTRAL SCHOOL ACADEMY ST,Jefferson,100.0,,ACADEMY ST
210,216,5.8101E+11,Public School,GREENPORT H S,Suffolk,99.0,,FRONT ST
211,217,1.71102E+11,Public School,BROADALBIN-PERTH JUNIOR SENIOR HIGH SCHOOL,Fulton,100.0,,100 BRIDGE ST
212,218,4.411E+12,Private School,EDUCATIONAL LEARNING EXPERIENCE,Orange,99.0,,930 RAZ AV
213,219,4.72202E+11,School District,CHERRY VALLEY SPRINGFIELD CENT SCHOOL,Otsego,100.0,,PO BOX 485 CO.RT. 54
214,220,2.60501E+11,Public School,ENGLISH VILLAGE SCHOOL,Monroe,99.0,,800 TAIT AVE
215,221,3.32E+11,Private School,BAIS TZIPORAH 39TH ST,Kings,92.0,,1410 39TH ST
216,222,2.61301E+11,Public School,JOHANNA PERRIN SCHOOL,Monroe,100.0,,85 POTTER PL
217,223,2.61501E+11,Public School,CHESTNUT RIDGE ELEM SCHOOL,Monroe,100.0,,3560 CHILI AVE
218,224,5.00403E+11,Private School,GREEN MEADOW WALDORF SCHOOL,Rockland,99.0,,307 HUNGRY HOLLOW RD
219,225,5.8101E+11,Public School,GREENPORT ELEM SCHOOL,Suffolk,99.0,,FRONT ST
220,226,5.306E+11,Public School,JESSIE T ZOLLER SCHOOL,Schenectady,100.0,,1880 LANCASTER ST
221,227,6.609E+11,Public School,PARKER SCHOOL,Westchester,98.0,,461 S SIXTH AVE
222,228,3.105E+11,Private School,ST MARK THE EVANGELIST SCHOOL,New York,92.0,,55 W 138TH ST
223,229,5.72702E+11,School District,JASPER-TROUPSBURG CENT SCHOOL,Steuben,100.0,,3769 MAIN ST
224,230,1.40201E+11,Public School,SMALLWOOD DRIVE ELEM SCHOOL,Erie,100.0,,300 SMALLWOOD DR
225,231,6.60202E+11,Public School,PIERRE VAN CORTLANDT SCHOOL,Westchester,99.0,,3 GLEN PLACE
226,232,4.11701E+11,School District,REMSEN CENTRAL SCHOOL,Oneida,100.0,,DAVIS DR
227,233,2.60801E+11,Public School,LAURELTON ELEM SCHOOL,Monroe,100.0,,600 PARDEE RD
228,234,3.314E+11,Private School,BNOS CHAYIL HEWES STREET,Kings,100.0,,345 HEWES STREET
229,235,2.51601E+11,Public School,CHITTENANGO MIDDLE,Madison,100.0,,FYLER RD R D 2
230,236,2.80405E+11,Private School,HAPPY MONTESSORI SCH OF PORT WASHINGTON,Nassau,100.0,,40 PLEASANT AVE
231,237,1.803E+11,Public School,JACKSON SCHOOL,Genesee,100.0,,411 SO JACKSON ST
232,238,5.00401E+11,Public School,SUFFERN S H S,Rockland,99.0,,49 VIOLA RD
233,239,1.81302E+11,Public School,PEMBROKE PRIMARY SCHOOL,Genesee,97.0,,RT 5 & WEST AVE
234,240,031601998080,Private School,CHILDRENS UNIT FOR TREATMENT & EVAL,Broome,100.0,,CHILDRENS UNIT FOR TREATMENT & EVAL
235,241,030200010021,Public School,BINGHAMTON HS,Broome,100.0,,31 MAIN ST
236,242,4.004E+11,Public School,ANNA MERRITT ELEM SCHOOL,Niagara,100.0,,389 GREEN ST
237,243,1.40201E+11,Private School,ST BENEDICTS SCHOOL,Erie,100.0,,3980 MAIN ST
238,244,4.40401E+11,Public School,CRISPELL MIDDLE SCHOOL,Orange,100.0,,77 MAPLE AVE
239,245,081200050004,Public School,NORWICH HS,Chenango,100.0,,MIDLAND DR
240,246,4.30301E+11,Private School,SANDY KNOLL SCHOOL,Ontario,65.0,,3019 COUNTY COMPLEX DR
241,247,2.616E+11,Public School,"SCHOOL  9 DR MARTIN LUTHER KING, JR",Monroe,98.0,,485 CLINTON AVE NO
242,248,4.42101E+11,Public School,WARWICK VALLEY MIDDLE SCHOOL,Orange,100.0,,225 WEST ST
243,249,3.43001E+11,Private School,GANTRY VIEW SCHOOL,Queens,100.0,,5-36 50TH AVE
244,250,3.208E+11,Private School,ST THERESA SCHOOL,Bronx,100.0,,2872 ST THERESA AVE
