"School Name","School Type","Address","City","Zipcode","Planning Region","Polio","DTaP","MMR","HepB","Var","HepA","MCV","Tdap","All","Ex_Rel","Ex_Med","Ex_Tot"
"Ridgefield Academy","Non-public","223 West Mountain Road","Ridgefield","06877","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Scotts Ridge Middle School","Public","750 North Salem Rd.","Ridgefield","06877","Western CT","96.9","96.9","96.9","96.9","96.9","96.9","87.6","87.0","86.5","3.1","0.0","3.1"
"St. Mary School - Ridgefield","Non-public","183 High Ridge Avenue","Ridgefield","06877","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Albert D. Griswold Middle School","Public","144 Bailey Rd.","Rocky Hill","06067","Capitol","97.6","98.1","98.1","98.1","98.1","98.1","98.1","98.1","97.6","1.9","0.0","1.9"
"Hubbard Day School North","Non-public","525 Brook Street","Rocky Hill","06067","Capitol","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Salem Elementary School","Public","200 Hartford Rd.","Salem","06420","Southeastern CT","100","100","100.0","100.0","100.0","100.0","100.0","100.0","100.0","0.0","0.0","0.0"
"Indian Mountain School","Non-public","211 Indian Mountain Road","Salisbury","06039","Northwest Hills","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Salisbury Central School","Public","45 Lincoln City Road, P.O. Box 1808","Salisbury","06039","Northwest Hills","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Seymour Middle","Public","211 Mountain Rd.","Seymour","06483","Naugatuck Valley","97.6","97.6","97.6","97.6","97.6","97.6","93.9","93.9","93.3","1.8","0.6","2.4"
"Sharon Center School","Public","80 Hilltop Road","Sharon","06069","Northwest Hills","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Intermediate School","Public","675 Constitution Blvd.","Shelton","06484","Naugatuck Valley","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","3.6","0.0","3.6"
"Sherman School","Public","2 Route 37 East","Sherman","06784","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Henry James Memorial School","Public","155 Firetown Rd.","Simsbury","06070","Capitol","99.7","100","100.0","99.7","99.7","99.7","99.4","99.4","99.4","0.0","0.0","0.0"
"St. Mary - Simsbury","Non-public","946 Hopmeadow Street","Simsbury","06070","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"The Ethel Walker School","Non-public","230 Bushy Hill Road","Simsbury","06070","Capitol","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"The Master's School","Non-public","36 Westledge Road","Simsbury","06092","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Mabelle B. Avery Middle School","Public","1 Vision Boulevard","Somers","06071","Capitol","91.9","91.9","91.9","91.9","91.9","91.9","70.3","70.3","64.0","7.2","0.9","8.1"
"Timothy Edwards School","Public","100 Arnold Way","South Windsor","06074","Capitol","97.5","96.8","97.7","97.5","97.3","97.7","96.8","97.1","96.6","2.3","0.0","2.3"
"Rochambeau Middle School","Public","100 Peter Rd.","Southbury","06488","Naugatuck Valley","97.2","97.2","97.2","97.2","97.2","97.2","97.2","97.2","97.2","2.8","0.0","2.8"
"Central Christian Academy","Non-public","1505 West Street","Southington","06489","Capitol","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"John F. Kennedy Middle School","Public","1071 South Main Street","Southington","06479","Capitol","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","2.4","0.0","2.4"
"Joseph A. Depaolo Middle School","Public","385 Pleasant St.","Southington","06489","Capitol","96.7","96.7","96.3","96.7","96.3","96.7","96.3","96.3","96.3","2.8","0.5","3.3"
"St. Luke Catholic School","Non-public","133 Bristol Street","Southington","06489","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Sayles School","Public","25 Scotland Road","Sprague","06330","Southeastern CT","96.8","96.8","96.8","96.8","96.8","96.8","93.5","93.5","93.5","3.2","0.0","3.2"
"St. Joseph School-Baltic","Non-public","10 School Hill Road","Sprague","06330","Southeastern CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Stafford Middle School","Public","21 Levinthal Run","Stafford","06076","Capitol","87.9","87.9","87.9","87.9","87.9","87.9","87.9","86.9","86.9","12.1","0.0","12.1"
"Bi-Cultural Hebrew Academy of Connecticut","Non-public","2186 High Ridge Road","Stamford","06903","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Cardinal Kung Academy","Non-public","948 Newfield Avenue","Stamford","06905","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Catholic Academy of Stamford","Non-public","1186 Newfield Avenue","Stamford","06905","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Cloonan School","Public","11 West North St.","Stamford","06902","Western CT","98.8","98.8","98.8","98.8","98.8","98.8","98.8","98.8","98.8","1.2","0.0","1.2"
"Dolan School","Public","51 Toms Rd.","Stamford","06906","Western CT","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.0","97.0","2.5","0.0","2.5"
"Fusion Academy Greenwich","Non-public","66 Gatehouse Road","Stamford","06902","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Hubbard Day School","Non-public","68 Southfield Avenue","Stamford","06902","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"King School, Inc.","Non-public","1450 Newfield Avenue","Stamford","06905","Western CT","100","100","100.0","100.0","100.0","100.0","98.2","100.0","98.2","0.0","0.0","0.0"
"Mater Salvatoris College Preparatory School","Non-public","926 Newfield Avenue","Stamford","06905","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Mead School","Public","1095 Riverbank Road","Stamford","06903","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Rippowam Middle School","Public","381 High Ridge Rd.","Stamford","06905","Western CT","100","100","100.0","100.0","100.0","100.0","100.0","100.0","100.0","0.0","0.0","0.0"
"Rogers International School","Public","202 Blachley Rd.","Stamford","06902","Western CT","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","4.3","0.0","4.3"
"Scofield Middle School","Public","641 Scofieldtown Rd.","Stamford","06903","Western CT","95.8","95.8","95.8","95.8","95.8","95.8","94.4","94.4","94.4","4.2","0.0","4.2"
"Stamford Charter School for Excellence","Public","1 Schuyler Ave.","Stamford","06902","Western CT","65.5","65.5","65.5","65.5","65.5","65.5","65.5","65.5","65.5","0.0","0.0","0.0"
"Strawberry Hill an ext. of Rogers International","Public","200 Strawberry Hill Ave.","Stamford","06902","Western CT","92.0","92.0","92.0","92.0","92.0","92.0","92.0","90.8","90.8","6.9","1.1","8.0"
"The Pinnacle School, LLC","Non-public","201 High Ridge Rd","Stamford","06905","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"The Spire School","Public","201 High Ridge Rd","Stamford","06905","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Turn of River School","Public","117 Vine Rd.","Stamford","06905","Western CT","96.8","93.7","97.4","96.8","96.8","96.3","94.2","92.6","91.1","1.1","1.1","2.1"
"Villa Maria Education Center","Non-public","161 Sky Meadow Drive","Stamford","06903","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Westover School","Non-public","1237 Whittemore Road","Stamford","06762","Western CT","96.3","96.3","96.3","96.3","96.3","96.3","95.0","95.0","95.0","3.8","0.0","3.8"
"Sterling Community School","Public","251 Sterling Rd.","Sterling","06377","Northeast CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Pine Point School","Non-public","89 Barnes Road","Stonington","06378","Southeastern CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"St. Michael School","Non-public","131 West Broad Street","Stonington","06379","Southeastern CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Stonington Middle School","Public","40 Field St.","Stonington","06379","Southeastern CT","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","2.4","0.0","2.4"
"David Wooster Middle School","Public","150 Lincoln Street","Stratford","06615","Greater Bridgeport","95.8","95.8","95.8","95.1","95.5","95.5","75.8","76.5","73.1","2.3","0.8","3.0"
"Harry B. Flood Middle School","Public","490 Chapel Street","Stratford","06614","Greater Bridgeport","100.0","100.0","100.0","100.0","100.0","100.0","95.7","95.7","95.7","0.0","0.0","0.0"
"St. James School","Non-public","50 Harvey Place","Stratford","06615","Greater Bridgeport","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"St. Mark School","Non-public","500 Wigwam Lane","Stratford","06614","Greater Bridgeport","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Suffield Middle School","Public","350 Mountain Rd.","Suffield","06078","Capitol","97.4","97.4","97.4","97.4","97.4","97.4","96.8","96.8","96.1","2.6","0.0","2.6"
"Thomaston High School","Public","185 Branch Rd.","Thomaston","06787","Naugatuck Valley","100.0","100.0","100.0","100.0","100.0","100.0","98.4","96.9","95.3","0.0","0.0","0.0"
"Bradley School-Windham County","Non-public","785 Riverside Drive","Thompson","06255","Northeast CT","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"River Run Academy at the Susan Wayne Center of Excellence","Non-public","75 Church Street","Thompson","06277","Northeast CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Thompson Middle School","Public","785 Riverside Dr.","Thompson","06255","Northeast CT","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","5.6","0.0","5.6"
"Tolland Middle School","Public","1 Falcon Way","Tolland","06084","Capitol","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","2.0","0.0","2.0"
"St. John Paul the Great Academy","Non-public","360 Prospect Street","Torrington","06790","Northwest Hills","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Steps Middle and High School","Non-public","215 Hogan Drive","Torrington","06790","Northwest Hills","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Torrington Christian Academy","Non-public","387 New Harwinton Road","Torrington","06790","Northwest Hills","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Torrington Middle School","Public","50 Major Besse Drive","Torrington","06790","Northwest Hills","99.4","99.7","99.4","99.7","99.4","99.1","99.7","99.7","99.1","0.0","0.3","0.3"
"Christian Heritage School","Non-public","575 White Plains Road","Trumbull","06611","Greater Bridgeport","80.6","80.6","80.6","80.6","80.6","80.6","80.6","80.6","80.6","19.4","0.0","19.4"
"Cooperative Educational Services","Public","40 Lindeman Drive","Trumbull","06611","Greater Bridgeport","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Hillcrest Middle School","Public","530 Daniels Farm Rd.","Trumbull","06611","Greater Bridgeport","97.0","97.0","97.0","97.0","97.0","97.0","97.0","97.0","97.0","3.0","0.0","3.0"
"Madison Middle School","Public","4630 Madison Ave.","Trumbull","06611","Greater Bridgeport","96.7","96.7","96.7","96.4","96.7","96.4","96.7","96.7","96.1","2.6","0.7","3.3"
"Merit Academy","Non-public","25 Oakview Dr.","Trumbull","06611","Greater Bridgeport","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Oakview Middle/High School","Non-public","40 Oakview Dr.","Trumbull","06611","Greater Bridgeport","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Oakview Primary School","Non-public","40 Oakview Dr.","Trumbull","06611","Greater Bridgeport","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"St. Catherine of Siena","Non-public","190 Shelton Road","Trumbull","06611","Greater Bridgeport","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"St. Theresa","Non-public","55 Rosemond Terrace","Trumbull","06611","Greater Bridgeport","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"St. Vincent's Special Needs School Program","Non-public","95 Merritt Blvd","Trumbull","06611","Greater Bridgeport","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Park Street Learning Center (PSLC)","Non-public","38 Park Street","Vernon","06066","Capitol","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Vernon Center Middle School","Public","777 Hartford Tpke.","Vernon","06066","Capitol","97.7","97.7","97.3","97.7","97.3","97.7","97.7","97.7","96.8","1.4","0.5","1.8"
"Voluntown Elementary School","Public","195 Main Street","Voluntown","06384","Northeast CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Benhaven Academy","Non-public","50 North Plains Highway","Wallingford","06492","Western","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Carver Academy School","Non-public","350 High Hill Rd","Wallingford","06492","South Central","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Dag Hammarskjold Middle School","Public","106 Pond Hill Road","Wallingford","06492","South Central","98.1","92.0","97.7","98.1","97.2","97.7","92.5","90.1","88.7","1.4","0.0","1.4"
"Heritage Baptist Academy","Non-public","161 South Whittlesey Avenue","Wallingford","06492","South Central","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"High Road Academy - BEST Academy","Non-public","5 Barnes Industrial Road","Wallingford","06492","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"High Road School of Wallingford","Non-public","29A, 31and 33 Village Lane","Wallingford","06492","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Holy Trinity School","Non-public","11 North Whittlesey Avenue","Wallingford","06492","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"James H. Moran Middle School","Public","141 Hope Hill Road","Wallingford","06492","South Central","95.5","92.7","96.1","95.5","95.5","94.4","93.3","92.7","90.5","3.9","0.0","3.9"
"Devereux Glenholme School","Non-public","81 Sabbaday Lane","Washington","06793","Northwest Hills","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Rumsey Hall School","Non-public","201 Romford Road","Washington","06794","Northwest Hills","98.0","98.0","98.0","98.0","98.0","91.8","98.0","98.0","91.8","2.0","0.0","2.0"
"Shepaug Valley School","Public","159 South Street","Washington","06793","Northwest Hills","93.2","93.2","93.2","93.2","93.2","93.2","93.2","93.2","93.2","6.8","0.0","6.8"
"Washington Montessori School","Non-public","240 Litchfield Turnpike","Washington","06777","Northwest Hills","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"ACES Chase Academy","Non-public","565 Chase Parkway","Waterbury","06708","Naugatuck Valley","96.1","96.1","96.1","96.1","96.1","96.1","89.0","89.0","89.0","3.9","0.0","3.9"
"Alpha & Omega Christian Academy","Non-public","50 Linden Street","Waterbury","06702","Naugatuck Valley","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Brass City Charter School","Public","289 Willow St.","Waterbury","06710","Naugatuck Valley","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5","2.5","0.0","2.5"
"Carrington School","Public","24 Kenmore Ave.","Waterbury","06708","Naugatuck Valley","100","100","100.0","100.0","100.0","100.0","100.0","100.0","100.0","0.0","0.0","0.0"
"Catholic Academy of Waterbury","Non-public","386 Robinwood Road","Waterbury","06708","Naugatuck Valley","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Children's Community School","Non-public","23 John Street","Waterbury","06708","Naugatuck Valley","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Duggan School","Public","952 Bank Street","Waterbury","06708","Naugatuck Valley","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5","0.0","2.5","2.5"
"Enlightenment School","Non-public","58 Griggs Street","Waterbury","06704","Naugatuck Valley","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Gilmartin School","Public","107 Wyoming Ave.","Waterbury","06706","Naugatuck Valley","97.9","97.9","97.9","97.9","97.9","97.9","85.1","85.1","85.1","0.0","2.1","2.1"
"Michael F. Wallace Middle School","Public","3465 East Main St.","Waterbury","06705","Naugatuck Valley","99.0","99.0","99.0","98.4","98.4","97.1","89.4","89.1","87.5","1.0","0.0","1.0"
"North End Middle School","Public","534 Bucks Hill Rd.","Waterbury","06704","Naugatuck Valley","99.3","99.7","99.7","99.7","99.7","99.3","92.8","93.1","84.5","0.3","0.0","0.3"
"Our Lady of Mount Carmel-Waterbury","Non-public","645 Congress Avenue","Waterbury","06708","Naugatuck Valley","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Reed School","Public","33 Griggs Street","Waterbury","06704","Naugatuck Valley","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","0.0","0.0","0.0"
"State Street School","Public","30 Church Street","Waterbury","06702","Naugatuck Valley","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Waterbury Arts Magnet School","Public","16 South Elm St.","Waterbury","06706","Naugatuck Valley","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","0.9","0.0","0.9"
"Wendell L. Cross School","Public","1255 Hamilton Ave.","Waterbury","06706","Naugatuck Valley","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","2.0","0.0","2.0"
"West Side Middle School","Public","483 Chase Parkway","Waterbury","06708","Naugatuck Valley","100","100","100.0","100.0","100.0","100.0","99.4","99.1","99.1","0.0","0.0","0.0"
"Yeshiva Ktana of Waterbury","Non-public","32 Hillside Ave","Waterbury","06710","Naugatuck Valley","100","100","100.0","100.0","100.0","100.0","100.0","100.0","100.0","0.0","0.0","0.0"
"Baptist Bible Academy","Non-public","1144 Hartford Turnpike","Waterford","06385","Southeastern CT","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Clark Lane Middle School","Public","105 Clark Ln.","Waterford","06385","Southeastern CT","98.3","98.3","98.3","98.3","98.3","98.3","98.3","98.3","98.3","1.1","0.6","1.7"
"Waterford Country School","Non-public","78 Hunts Brook Road","Waterford","06375","Southeastern CT","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"St. John the Evangelist","Non-public","760 Main Street","Watertown","06795","Naugatuck Valley","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Swift Middle School","Public","250 Colonial St.","Watertown","06779","Naugatuck Valley","97.9","97.9","97.9","97.9","97.9","97.9","97.9","97.9","97.9","2.1","0.0","2.1"
"American School for the Deaf","Non-public","139 North Main Street","West Hartford","06107","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Ben Bronz Academy","Non-public","11 Wampanoag Drive","West Hartford","06117","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Bristow Middle School","Public","34 Highland St.","West Hartford","06102","Capitol","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","4.8","0.0","4.8"
"Gengras Center","Public","1678 Asylum Avenue","West Hartford","06117","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Intensive Education Academy","Non-public","840 North Main Street","West Hartford","06117","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"King Philip Middle School","Public","100 King Philip Dr.","West Hartford","06117","Capitol","98.6","98.6","98.6","98.2","98.2","98.2","98.6","98.2","97.1","1.4","0.0","1.4"
"Kingswood Oxford School","Non-public","170 Kingswood Road","West Hartford","06119","Capitol","100","100","100.0","100.0","100.0","100.0","100.0","100.0","100.0","0.0","0.0","0.0"
"New England Jewish Academy","Non-public","300 Bloomfield Avenue","West Hartford","06117","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Renbrook School","Non-public","2865 Albany Avenue","West Hartford","06117","Capitol","93.8","93.8","93.8","90.6","93.8","93.8","93.8","93.8","90.6","6.3","0.0","6.3"
"Sedgwick Middle School","Public","128 Sedgwick Rd.","West Hartford","06107","Capitol","99","98.7","99.0","98.7","99.0","98.7","98.7","98.7","98.0","1.0","0.0","1.0"
"Solomon Schechter Day School of Greater Hartford","Non-public","26 Buena Vista Road","West Hartford","06107","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"St. Timothy Middle School","Non-public","225 King Philip Drive","West Hartford","06117","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Engineering - Science University Magnet School","Public","500 Boston Post Road","West Haven","06516","South Central","98.9","98.9","98.9","98.9","98.9","98.9","96.7","98.9","96.7","1.1","0.0","1.1"
"Harry M. Bailey Middle School","Public","106 Morgan Ln.","West Haven","06516","South Central","91.5","91.5","91.5","91.5","91.5","91.5","91.5","91.5","91.5","0.2","0.2","0.4"
"St. Lawrence School-West Haven","Non-public","231 Main Street","West Haven","06516","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Westbrook Middle School","Public","154 McVeagh Rd.","Westbrook","06498","Lower CT River Valley","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","4.9","0.0","4.9"
"Weston Middle School","Public","135 School Rd.","Weston","06883","Western CT","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","6.5","0.0","6.5"
"Bedford Middle School","Public","88 North Ave.","Westport","06880","Western CT","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","3.8","0.4","4.2"
"Coleytown Middle School","Public","255 North Ave.","Westport","06880","Western CT","94.6","94.6","94.6","94.6","94.6","94.6","94.6","94.6","94.6","4.8","0.6","5.4"
"Greens Farms Academy","Non-public","35 Beachside Ave","Westport","06880","Western CT","96.9","96.9","96.9","96.9","96.9","96.9","96.9","95.4","95.4","3.1","0.0","3.1"
"Pierrepont School","Non-public","1 Sylvan Rd N","Westport","06880","Western","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Corpus Christi School","Non-public","581 Silas Deane Highway","Wethersfield","06109","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Silas Deane Middle School","Public","551 Silas Deane Hwy.","Wethersfield","06109","Capitol","98.4","98.4","98.4","98.4","98.4","98.1","98.4","98.4","98.1","1.6","0.0","1.6"
"Hall Memorial School","Public","111 River Rd.","Willington","06279","Capitol","93.2","93.2","93.2","93.2","93.2","93.2","93.2","93.2","93.2","6.8","0.0","6.8"
"Middlebrook School","Public","131 School Rd.","Wilton","06897","Western CT","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","3.2","0.0","3.2"
"Schoolhouse Academy Inc.","Non-public","225 Danbury Road","Wilton","06897","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Westport Day School","Non-public","372 Danbury Road Suite 190","Wilton","06897","Western","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Northwestern Regional Middle and High School","Public","100 Battistoni Dr.","Winchester","06098","Northwest Hills","93.4","94.3","94.3","94.3","94.3","94.3","91.5","91.5","90.6","5.7","0.0","5.7"
"The Gilbert School","Non-public","200 Williams Ave","Winchester","06098","Northwest Hills","95.9","95.9","95.9","95.9","95.9","95.9","94.5","94.5","94.5","4.1","0.0","4.1"
"Charles H. Barrows STEM Academy","Public","141 Tuckie Road","Windham","06256","Southeastern CT","96.7","96.7","96.7","96.7","96.7","96.7","93.3","95.0","93.3","3.3","0.0","3.3"
"Clinical Developmental, and Therapeutic Programs","Public","832 Main St","Windham","06226","Southeastern CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Windham Middle School","Public","123 Quarry St.","Windham","06226","Southeastern CT","99.5","99.5","99.5","99.5","99.5","99.5","99.5","99.5","99.5","0.5","0.0","0.5"
"Academy of Aerospace and Engineering","Non-public","1101 Kennedy Road","Windsor","06095","Capitol","96.5","96.5","96.5","96.5","96.5","96.5","89.5","88.6","88.6","2.6","0.0","2.6"
"Madina Academy","Non-public","519 Palisado Ave","Windsor","06095","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Power & Prayer Christian School","Non-public","209 Kennedy Rd","Windsor","06095","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"River Street School","Non-public","601 River St.","Windsor","06095","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Sage Park Middle School","Public","25 Sage Park Rd.","Windsor","06095","Capitol","100","100","100.0","100.0","100.0","100.0","100.0","100.0","100.0","0.0","0.0","0.0"
"St. Gabriel","Non-public","77 Bloomfield Avenue","Windsor","06095","Capitol","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Windsor Locks Middle School","Public","7 Center St.","Windsor Locks","06096","Capitol","99.2","99.2","99.2","99.2","99.2","99.2","96.0","96.0","96.0","0.8","0.0","0.8"
"Tyrrell Middle School","Public","500 Todd Rd.","Wolcott","06716","Naugatuck Valley","100","100","100.0","100.0","100.0","100.0","100.0","100.0","100.0","0.0","0.0","0.0"
"Ezra Academy","Non-public","75 Rimmon Road","Woodbridge","06525","South Central","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Woodbury Middle School","Public","67 Washington Ave.","Woodbury","06798","Naugatuck Valley","96.5","96.5","96.5","96.5","96.5","96.5","96.5","96.5","96.5","3.5","0.0","3.5"
"Woodstock Middle School","Public","147 B-Route 169","Woodstock","06281","Northeast CT","88.6","89.8","89.8","89.8","89.8","89.8","89.8","89.8","88.6","10.2","0.0","10.2"
