"School Name","School Type","Address","City","Zipcode","Planning Region","Polio","DTaP","MMR","HepB","Var","HepA","MCV","Tdap","All","Ex_Rel","Ex_Med","Ex_Tot"
"Milestones Behavioral Services-Milford","Public","95 Wolf Harbor Rd","Milford","06461","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Milford Christian Academy","Non-public","989 New Haven Avenue","Milford","06460","South Central","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"St. Mary School-Milford","Non-public","72 Gulf Street","Milford","06460","South Central","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","16.7","3.3","20.0"
"West Shore Middle School","Public","70 Kay Ave.","Milford","06460","South Central","97.0","97.0","97.0","97.0","97.0","97.0","97.0","97.0","97.0","3.0","0.0","3.0"
"Woodhouse Academy","Non-public","4 Oxford Road, Building F","Milford","06460","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Jockey Hollow School","Public","365 Fan Hill Rd.","Monroe","06468","Greater Bridgeport","94.0","94.0","94.0","94.0","94.0","94.0","92.5","92.5","92.5","5.7","0.4","6.0"
"Bradley School-New London Regional","Non-public","26 Maple Avenue","Montville","06382","Southeastern CT","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Leonard J. Tyl Middle School","Public","166 Chesterfield Rd.","Montville","06370","Southeastern CT","98.2","98.2","98.2","98.2","98.2","98.2","98.2","98.2","98.2","1.8","0.0","1.8"
"St. Bernard High School","Non-public","1593 Norwich-New London Tpke","Montville","06382","Southeastern CT","100","100","100.0","100.0","100.0","100.0","100.0","100.0","100.0","0.0","0.0","0.0"
"City Hill Middle School","Public","441 City Hill St.","Naugatuck","06770","Naugatuck Valley","97.3","97.3","97.3","97.3","96.9","96.9","97.3","97.3","96.6","2.4","0.3","2.7"
"Academy of Science and Innovation","Non-public","600 Slater Road","New Britain","06053","Capitol","98.3","94.9","98.3","99.1","98.3","99.1","94.9","97.4","94.9","0.0","0.0","0.0"
"Brown-Springer Academic Center","Public","505 South Main St","New Britain","06051","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"DiLoreto Elementary & Middle School","Public","732 Slater Rd.","New Britain","06053","Capitol","97.8","98.9","93.5","96.7","93.5","97.8","83.7","82.6","75.0","1.1","0.0","1.1"
"Hospital for Special Care","Non-public","2150 Corbin Avenue","New Britain","06053","Capitol","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Pulaski Middle School","Public","757 Farmington Ave.","New Britain","06053","Capitol","96.0","96.3","96.0","96.0","95.7","95.3","84.6","83.6","81.3","3.7","0.0","3.7"
"Queen of the Apostles Preparatory Academy, Inc.","Non-public","30 Pendleton Rd","New Britain","06053","Capitol","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Raymond Hill School","Non-public","345 Linwood Street","New Britain","06052","Capitol","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Roosevelt Campus","Non-public","40 Goodwin St","New Britain","06051","Capitol","100","100","100.0","100.0","100.0","100.0","100.0","100.0","100.0","0.0","0.0","0.0"
"Slade Middle School","Public","183 Steele St.","New Britain","06052","Capitol","98.7","98.7","98.7","97.8","98.1","97.2","91.5","91.8","89.7","1.3","0.0","1.3"
"Solterra Academy","Non-public","300 John Downey Drive","New Britain","06051","Capitol","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"The Catalyst Academy","Public","183 Steele St.","New Britain","06052","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"New Canaan Country School","Non-public","635 Frogtown Road","New Canaan","06840","Western CT","94.6","94.6","94.6","94.6","94.6","94.6","94.6","94.6","94.6","3.6","1.8","5.4"
"Saxe Middle School","Public","468 South Ave.","New Canaan","06840","Western CT","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","3.1","0.3","3.4"
"St. Luke School","Non-public","377 North Wilton Rd","New Canaan","06840","Western CT","100","100","100.0","100.0","100.0","100.0","100.0","100.0","100.0","0.0","0.0","0.0"
"New Fairfield Middle School","Public","56 Gillotti Rd.","New Fairfield","06812","Western CT","99.3","99.3","99.3","99.3","99.3","98.6","99.3","99.3","97.8","0.7","0.0","0.7"
"Montessori School of Greater Hartford - New Hartford","Non-public","741 Steele Rd","New Hartford","06057","Northwest Hills","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"All Saints Catholics Academy","Non-public","423 Ferry Street","New Haven","06513","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Amistad Academy","Public","130 Edgewood Avenue","New Haven","06511","South Central","99","99","99.0","99.0","99.0","99.0","99.0","99.0","99.0","1.0","0.0","1.0"
"ATLAS Middle School","Non-public","100 Audubon Street","New Haven","06510","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Augusta Lewis Troup School","Public","259 Edgewood Ave.","New Haven","06511","South Central","97.4","97.4","100.0","97.4","94.9","94.9","100.0","100.0","94.9","0.0","0.0","0.0"
"Barnard Environmental Magnet School","Public","170 Derby Ave.","New Haven","06511","South Central","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","2.1","0.0","2.1"
"Beecher School","Public","100 Jewel Street","New Haven","06511","South Central","95.9","95.9","95.9","95.9","95.9","95.9","95.9","93.9","93.9","4.1","0.0","4.1"
"Benjamin Jepson Magnet School","Public","15 Lexington Ave.","New Haven","06513","South Central","100","100","100.0","100.0","100.0","100.0","100.0","100.0","100.0","0.0","0.0","0.0"
"Betsy Ross Arts and Design Academy","Public","150 Kimberly Ave.","New Haven","06519","South Central","98.9","98.9","98.9","98.9","98.9","98.9","98.9","97.7","97.7","0.0","1.1","1.1"
"Bishop Woods Architecture and Design Magnet School","Public","1481 Quinnipiac Avenue","New Haven","06513","South Central","100","100","100.0","100.0","100.0","100.0","100.0","100.0","100.0","0.0","0.0","0.0"
"Booker T. Washington Academy","Public","804 State Street","New Haven","06511","South Central","100.0","100.0","100.0","100.0","100.0","100.0","93.0","93.0","93.0","0.0","0.0","0.0"
"Celentano BioTech, Health and Medical Magnet School","Public","400 Canner Street","New Haven","06511","South Central","100","100","100.0","100.0","100.0","100.0","100.0","100.0","100.0","0.0","0.0","0.0"
"Clinton Avenue School","Public","293 Clinton Ave.","New Haven","06513","South Central","98.1","98.1","98.1","98.1","98.1","98.1","98.1","98.1","98.1","0.0","1.9","1.9"
"Conte/West Hills Magnet School","Public","511 Chapel St.","New Haven","06511","South Central","100","100","100.0","100.0","100.0","100.0","100.0","100.0","100.0","0.0","0.0","0.0"
"Davis Academy for Arts & Design Innovation","Public","35 Davis St.","New Haven","06515","South Central","100","100","100.0","100.0","100.0","100.0","100.0","100.0","100.0","0.0","0.0","0.0"
"East Rock Community Magnet School","Public","133 Nash St.","New Haven","06511","South Central","100","100","100.0","100.0","100.0","100.0","100.0","100.0","100.0","0.0","0.0","0.0"
"Edgewood School","Public","737 Edgewood Ave.","New Haven","06515","South Central","100","100","100.0","100.0","100.0","100.0","100.0","100.0","100.0","0.0","0.0","0.0"
"Elizabeth Ives School for Special Children, Inc.","Non-public","70 State St","New Haven","06511","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Elm City College Preparatory School-9-12","Public","407 James Street","New Haven","06513","South Central","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","1.5","0.0","1.5"
"Elm City Montessori School","Public","495 Blake Street","New Haven","06515","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Fair Haven School","Public","164 Grand Ave.","New Haven","06513","South Central","100","100","100.0","100.0","98.9","98.9","100.0","100.0","98.9","0.0","0.0","0.0"
"Family Academy of Multilingual Exploration","Public","255 Blatchley Ave.","New Haven","06513","South Central","100.0","100.0","100.0","100.0","100.0","100.0","97.6","97.6","97.6","0.0","0.0","0.0"
"Highville Charter School","Public","1 Science Park","New Haven","06511","South Central","100","100","100.0","100.0","100.0","100.0","100.0","100.0","100.0","0.0","0.0","0.0"
"Hill Central Music Academy","Public","140 Dewitt St.","New Haven","06519","South Central","98.1","98.1","98.1","98.1","98.1","98.1","98.1","98.1","98.1","1.9","0.0","1.9"
"Hopkins School","Non-public","986 Forest Road","New Haven","06515","South Central","98.6","98.6","98.6","98.6","98.6","98.6","98.6","98.6","98.6","0.0","0.0","0.0"
"John C. Daniels","Public","569 Congress Ave.","New Haven","06519","South Central","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"John S. Martinez Sea and Sky STEM School","Public","100 James St.","New Haven","06513","South Central","100","100","100.0","100.0","100.0","100.0","100.0","100.0","100.0","0.0","0.0","0.0"
"King/Robinson Magnet School","Public","150 Fournier St.","New Haven","06511","South Central","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Mauro-Sheridan Magnet School","Public","191 Fountain St.","New Haven","06515","South Central","100","100","100.0","100.0","100.0","100.0","100.0","100.0","100.0","0.0","0.0","0.0"
"Nathan Hale School","Public","480 Townsend Ave.","New Haven","06512","South Central","100.0","100.0","100.0","100.0","100.0","100.0","98.1","94.3","94.3","0.0","0.0","0.0"
"Roberto Clemente Leadership Academy for Global Awareness","Public","360 Columbus Avenue","New Haven","06519","South Central","100","100","100.0","100.0","100.0","100.0","100.0","100.0","100.0","0.0","0.0","0.0"
"Ross/Woodward School","Public","185 Barnes Ave.","New Haven","06513","South Central","100","100","100.0","100.0","100.0","100.0","98.2","100.0","98.2","0.0","0.0","0.0"
"St. Martin de Porres Academy-New Haven","Non-public","208 Columbus Avenue","New Haven","06519","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"The Cheder","Non-public","342 Ellsworth Ave","New Haven","06511","South Central","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"The Foote School","Non-public","50 Loomis Place","New Haven","06511","South Central","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","2.9","0.0","2.9"
"Truman School","Public","114 Truman St.","New Haven","06519","South Central","100.0","100.0","100.0","100.0","100.0","100.0","100.0","92.9","92.9","0.0","0.0","0.0"
"Wexler/Grant - Lincoln/Bassett Community School","Public","130 Bassett St.","New Haven","06511","South Central","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"WG Academy of Exploration and Innovation","Non-public","55 Foote St.","New Haven","06511","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Worthington Hooker School","Public","180 Canner St.","New Haven","06511","South Central","100","97.7","100.0","100.0","100.0","100.0","100.0","100.0","97.7","0.0","0.0","0.0"
"Bennie Dover Jackson Middle School","Public","36 Waller St.","New London","06320","Southeastern CT","98.6","98.6","98.6","98.6","97.9","95.9","94.5","91.7","89.0","0.7","0.7","1.4"
"Interdistrict School For Arts And Communication","Public","190 Governor Winthrop Blvd.","New London","06320","Southeastern CT","95.7","95.7","95.7","95.7","95.7","95.7","93.5","93.5","93.5","4.3","0.0","4.3"
"New London High School","Public","20 Chester Street","New London","06320","Southeastern CT","100.0","100.0","98.5","100.0","98.5","100.0","94.0","94.0","94.0","0.0","0.0","0.0"
"Ocean Avenue Learning Academy","Non-public","660 Ocean Avenue","New London","06320","Southeastern CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"St. Joseph-New London","Non-public","25 Squire Street","New London","06320","Southeastern CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"The Williams School","Non-public","182 Mohegan Avenue","New London","06320","Southeastern CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Faith Preparatory School","Non-public","600 Danbury Rd.,Suite 2","New Milford","06776","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Schaghticoke Middle School","Public","23 Hipp Rd.","New Milford","06776","Western CT","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","3.4","0.4","3.7"
"Emmanuel Christian Academy","Non-public","569 Maple Hill Avenue","Newington","06111","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"John Wallace Middle School","Public","71 Halleran Drive","Newington","06111","Capitol","98.3","98.3","98.3","98.3","98.3","98.3","98.3","98.3","98.3","1.7","0.0","1.7"
"Martin Kellogg Middle School","Public","155 Harding Avenue","Newington","06111","Capitol","98.8","98.8","98.8","98.8","98.8","98.8","98.2","98.8","98.2","1.2","0.0","1.2"
"Fraser Woods Montessori School","Non-public","173 South Main Street","Newtown","06470","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Housatonic Valley Waldorf School","Non-public","40 Dodgingtown Road","Newtown","06470","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Newtown Middle School","Public","11 Queen St.","Newtown","06470","Western CT","98.6","98.6","98.6","98.6","98.6","98.6","98.6","98.6","98.6","1.0","0.3","1.4"
"St. Rose of Lima","Non-public","40 Church Hill Road","Newtown","06470","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"North Branford Intermediate School","Public","654 Foxon Rd.","North Branford","06471","South Central","96.5","97.4","97.4","97.4","97.4","96.5","96.5","95.6","93.9","2.6","0.0","2.6"
"North Canaan Elementary School","Public","90 Pease Street, P.O. Box 758","North Canaan","06018","Northwest Hills","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"ACES Mill Road School","Non-public","295 Mill Road","North Haven","06473","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"North Haven Middle School","Public","55 Bailey Rd.","North Haven","06473","South Central","96.3","96.7","96.7","96.7","96.7","96.7","81.7","81.7","81.7","3.3","0.0","3.3"
"Village School","Non-public","31 Temple St.","North Haven","06473","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Cornerstone Baptist Academy","Non-public","5 Rocky Hollow Road","North Stonington","06359","Southeastern CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"North Stonington Christian Academy","Non-public","12 Stillman Road","North Stonington","06359","Southeastern CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Wheeler Middle.High School","Public","297 Norwich/Westerly Rd.","North Stonington","06359","Southeastern CT","100.0","100.0","100.0","100.0","100.0","100.0","98.1","98.1","98.1","0.0","0.0","0.0"
"All Saints Catholic School","Non-public","139 West Rocks Road","Norwalk","06851","Western CT","95.1","95.1","95.1","95.1","95.1","95.1","92.7","92.7","92.7","4.9","0.0","4.9"
"Breakaway Academy","Non-public","300 Wilson","Norwalk","06854","Western","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Concord Magnet School","Public","21 Hunters Lane","Norwalk","06850","Western CT","95.6","95.6","95.6","95.6","95.6","95.6","95.6","95.6","95.6","4.4","0.0","4.4"
"High Road School of Fairfield County","Non-public","17 North Avenue","Norwalk","06851","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Nathan Hale Middle School","Public","176 Strawberry Hill Avenue","Norwalk","06851","Western CT","84.7","84.7","84.7","84.7","84.7","84.7","84.7","84.7","84.7","0.6","0.0","0.6"
"Ponus Ridge Middle School","Public","21 Hunters Lane","Norwalk","06850","Western CT","98.6","94.9","98.2","98.6","98.6","98.2","98.6","94.5","93.5","1.4","0.0","1.4"
"REGINA PACIS ACADEMY","Non-public","8 Leonard St","Norwalk","06850","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Roton Middle School","Public","201 Highland Avenue","Norwalk","06853","Western CT","98.8","98.8","98.8","98.8","98.8","98.8","98.2","98.2","98.2","1.2","0.0","1.2"
"Side By Side Charter School","Public","10 Chestnut St.","Norwalk","06854","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"West Rocks Middle School","Public","81 West Rocks Road","Norwalk","06851","Western CT","99.0","96.1","99.0","98.0","98.5","98.5","96.1","95.1","93.7","0.5","0.5","1.0"
"Winston Preparatory School","Non-public","57  West Rocks Road","Norwalk","06851","Western","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Integrated Day Charter School","Public","68 Thermos Ave.","Norwich","06360","Southeastern CT","95.3","95.3","95.3","95.3","93.0","95.3","72.1","72.1","69.8","4.7","0.0","4.7"
"Kelly STEAM Magnet Middle School","Public","25 Mahan Dr.","Norwich","06360","Southeastern CT","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","2.3","0.0","2.3"
"Sacred Heart School-Taftville","Non-public","15 Hunters Avenue","Norwich","06380","Southeastern CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"St. Patrick Cathedral School","Non-public","211 Broadway","Norwich","06360","Southeastern CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Teachers' Memorial Middle School","Public","15 Teachers Dr.","Norwich","06360","Southeastern CT","98.4","92.8","97.6","98.4","98.4","96.8","92.0","91.2","89.6","0.8","0.8","1.6"
"Wildwood Christian","Non-public","35 Wawecus Hill Road","Norwich","06360","Southeastern CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Lyme-Old Lyme Middle School","Public","53 Lyme St.","Old Lyme","06371","Lower CT River Valley","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","2.4","0.0","2.4"
"Old Saybrook Middle School","Public","60 Sheffield St.","Old Saybrook","06475","Lower CT River Valley","98.8","98.8","98.8","98.8","98.8","98.8","98.8","98.8","98.8","1.2","0.0","1.2"
"St. John Catholic School","Non-public","42 Maynard Road","Old Saybrook","06475","Lower CT River Valley","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Amity Middle School: Orange","Public","100 Ohman Ave.","Orange","06477","South Central","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","5.2","0.6","5.7"
"Hope Academy","Non-public","89 Marsh Hill Road","Orange","06477","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Southern Connecticut Hebrew Academy","Public","261 Derby Avenue","Orange","06477","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"The Foundation School-Orange","Non-public","719 Derby Milford Road","Orange","06477","South Central","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Oxford Middle School","Public","40 Great Oak Rd.","Oxford","06478","Naugatuck Valley","92.1","93.7","90.5","92.1","90.5","93.7","87.3","88.9","83.3","5.6","0.0","5.6"
