"School Name","School Type","Address","City","Zipcode","Planning Region","Polio","DTaP","MMR","HepB","Varicella","HepA","All","Ex_Rel","Ex_Med","Ex_Tot"
"Blackham School","Public","425 Thorme St.","Bridgeport","06606","Greater Bridgeport","100","100","98.6","100","97.3","97.3","95.9","0","0","0"
"Bridgeport Hope School","Non-public","283 Lafayette Street","Bridgeport","06604","Greater Bridgeport","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Bryant School","Public","230 Poplar St.","Bridgeport","06605","Greater Bridgeport","100","95.8","91.7","100","87.5","93.8","68.8","0","0","0"
"Capital Preparatory Harbor School K-6","Public","777 Main Street","Bridgeport","06604","Greater Bridgeport","100","98","96","100","94","100","92","0","0","0"
"Catholic Academy of Bridgeport: St. Andrew Academy","Non-public","395 Anton Street","Bridgeport","06606","Greater Bridgeport","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Catholic Academy of Bridgeport: St. Ann Academy","Non-public","521 Brewster Street","Bridgeport","06605","Greater Bridgeport","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Catholic Academy of Bridgeport: St. Raphael Academy","Non-public","324 Frank Street","Bridgeport","06604","Greater Bridgeport","100","100","100","100","100","100","100","0","0","0"
"Cesar Batalla School","Public","606 Howard Ave.","Bridgeport","06605","Greater Bridgeport","100","92.8","98.6","98.6","95.7","94.2","85.5","0","0","0"
"Classical Studies Academy PK-2","Public","240 Linwood Ave.","Bridgeport","06604","Greater Bridgeport","100","100","100","100","100","100","100","0","0","0"
"Columbus School","Public","300 University Avenue","Bridgeport","06604","Greater Bridgeport","85.5","85.5","87","98.6","87","98.6","84.1","0","0","0"
"Discovery Magnet","Non-public","4510 Park Avenue","Bridgeport","06606","Greater Bridgeport","95.6","95.6","97.8","97.8","97.8","97.8","95.6","0","2.2","2.2"
"Edison School","Public","115 Boston Terrace","Bridgeport","06610","Greater Bridgeport","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Geraldine Claytor Magnet Academy","Public","240 Ocean Terrace","Bridgeport","06605","Greater Bridgeport","97.7","97.7","100","97.7","97.7","97.7","90.9","0","0","0"
"Geraldine Johnson School","Public","475 Lexington Avenue","Bridgeport","06604","Greater Bridgeport","99","99","100","98","99","98","94.9","0","0","0"
"Hall School","Public","290 Clermont Ave.","Bridgeport","06610","Greater Bridgeport","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Hallen School","Public","68 Omega Ave.","Bridgeport","06606","Greater Bridgeport","100","97.6","95.2","100","92.9","100","90.5","0","0","0"
"High Horizons","Non-public","700 Palisades Avenue","Bridgeport","06610","Greater Bridgeport","100","100","100","100","100","100","100","0","0","0"
"James J. Curiale School","Public","300 Laurel Ave.","Bridgeport","06604","Greater Bridgeport","98.2","96.5","96.5","98.2","94.7","94.7","94.7","0","0","0"
"Jettie S. Tisdale School","Public","250 Hollister Avenue","Bridgeport","06607","Greater Bridgeport","100","100","100","100","100","100","100","0","0","0"
"John Winthrop School","Public","85 Eckart St.","Bridgeport","06606","Greater Bridgeport","96.6","98.3","98.3","96.6","96.6","98.3","96.6","0","0","0"
"Luis Munoz Marin School","Public","479 Helen St.","Bridgeport","06608","Greater Bridgeport","98.1","96.3","98.1","100","98.1","100","96.3","0","0","0"
"Madison School","Public","376 Wayne St.","Bridgeport","06606","Greater Bridgeport","100","100","96.4","100","94.6","100","94.6","0","0","0"
"Multicultural Magnet School","Public","700 Palisade Ave.","Bridgeport","06610","Greater Bridgeport","97.4","97.4","100","100","100","100","97.4","0","0","0"
"New Beginnings Inc Family Academy","Public","184 Garden St.","Bridgeport","06605","Greater Bridgeport","84.8","81.8","86.4","95.5","89.4","98.5","71.2","0","0","0"
"Northeastern Adventist Academy - Fairfield County Campus","Non-public","827 Trumbull Avenue","Bridgeport","06606","Greater Bridgeport","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Park City Magnet School","Public","1526 Chopsey Hill Rd.","Bridgeport","06606","Greater Bridgeport","98","98","100","100","98","98","98","0","0","0"
"Paul Laurence Dunbar School","Public","445 Union Ave.","Bridgeport","06607","Greater Bridgeport","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Read School","Public","130 Ezra St.","Bridgeport","06606","Greater Bridgeport","98.7","98.7","100","100","98.7","98.7","94.7","0","0","0"
"Roosevelt School","Public","680 Park Ave.","Bridgeport","06604","Greater Bridgeport","100","100","100","100","100","100","100","0","0","0"
"Six-Six Magnet School","Non-public","601 Pearl Harbor St.","Bridgeport","06610","Greater Bridgeport","100","100","100","100","100","100","100","0","0","0"
"Thomas Hooker School","Public","138 Roger Williams Rd.","Bridgeport","06610","Greater Bridgeport","100","96.7","100","100","100","100","96.7","0","0","0"
"Waltersville School","Public","150 Hallett Street","Bridgeport","06608","Greater Bridgeport","93.2","93.2","93.2","93.2","93.2","93.2","93.2","0","0","0"
"Wilbur Cross School","Public","1775 Reservoir Ave.","Bridgeport","06606","Greater Bridgeport","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"The Burnham School","Public","80 Main St.","Bridgewater","06752","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Ellen P. Hubbell School","Public","90 West Washington St.","Bristol","06010","Naugatuck Valley","100","100","100","100","100","100","100","0","0","0"
"Greene-Hills School","Public","718 Pine St.","Bristol","06010","Naugatuck Valley","100","100","100","100","100","100","100","0","0","0"
"Immanuel Lutheran-Bristol","Non-public","154 Meadow Street","Bristol","06010","Naugatuck Valley","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Ivy Drive School","Public","160 Ivy Dr.","Bristol","06010","Naugatuck Valley","100","98.2","98.2","100","98.2","98.2","98.2","0","0","0"
"Mountain View School","Public","71 Vera Rd.","Bristol","06010","Naugatuck Valley","100","100","100","100","100","96.6","96.6","0","0","0"
"Oak Hill School at Bristol","Non-public","47 Upton Street","Bristol","06057","Naugatuck Valley","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"South Side School","Public","21 Tuttle Rd.","Bristol","06010","Naugatuck Valley","98.5","98.5","98.5","98.5","98.5","98.5","98.5","0","1.5","1.5"
"St. Joseph-Bristol","Non-public","335 Center Street","Bristol","06010","Naugatuck Valley","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"St. Matthew","Non-public","33 Welch Drive","Bristol","06010","Naugatuck Valley","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Stafford School","Public","212 Louisiana Ave.","Bristol","06010","Naugatuck Valley","100","100","100","100","100","100","100","0","0","0"
"West Bristol School","Public","500 Clark Avenue","Bristol","06010","Naugatuck Valley","100","100","100","100","100","100","100","0","0","0"
"Candlewood Lake Elementary School","Public","100 Candlewood Lake Road","Brookfield","06804","Western CT","97.7","97.7","97.7","98.5","97.7","97.7","96.9","0","1.5","1.5"
"Christian Life Academy","Non-public","133 Junction Road","Brookfield","06804","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Brooklyn Elementary School","Public","119 Gorman Rd.","Brooklyn","06234","Northeast CT","100","98.2","100","100","100","100","98.2","0","0","0"
"Harwinton Consolidated School","Public","115 Litchfield Rd.","Burlington","06791","Northwest Hills","97.8","100","100","100","100","100","97.8","0","0","0"
"Lake Garda Elementary School","Public","61 Monce Rd.","Burlington","06013","Northwest Hills","97.2","97.2","98.6","98.6","98.6","98.6","97.2","0","1.4","1.4"
"Lee H. Kellogg School","Public","47 Main St.","Canaan","06031","Northwest Hills","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Canterbury Elementary School","Public","67 Kitt Rd.","Canterbury","06331","Northeast CT","97.7","97.7","97.7","97.7","97.7","95.3","95.3","0","2.3","2.3"
"Cherry Brook Primary School","Public","4 Barbourtown Rd.","Canton","06019","Capitol","95.3","95.3","94.3","94.3","94.3","95.3","94.3","0","4.7","4.7"
"Chaplin Elementary School","Public","240 Palmer Rd.","Chaplin","06235","Northeast CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Chapman School","Public","38 Country Club Rd.","Cheshire","06410","Naugatuck Valley","100","100","96.4","100","98.2","98.2","94.5","0","0","0"
