"County","School","Grade","Total Students Enrolled","DTaP Percent","Polio Percent","MMR Percent","Hep B Percent","Varicella Had Disease Percent","Varicella Percent","Tdap Percent","MCV4 1st Dose Percent","MCV4 16+ 1 Dose Percent","MCV4 2nd Dose 16+ Percent","Medical Exemption Percent","Religious Exemption Percent","Philosophical Exemption Percent","Enrolled Provisionally Percent","Denied Admission Percent","Noncompliant and Attending Percent"
"Philadelphia","St Anthony of Padua Regional Catholic School","Kindergarten","12","","","","","","","","","","","","","","","",""
"Philadelphia","St Anthony of Padua Regional Catholic School","7th Grade","31","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","100.0%","100.0%","","","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"Philadelphia","St Athanasius School","Kindergarten","8","","","","","","","","","","","","","","","",""
"Philadelphia","St Athanasius School","7th Grade","25","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","80.0%","80.0%","","","0.0%","0.0%","0.0%","0.0%","0.0%","20.0%"
"Philadelphia","St Barnabas School","Kindergarten","34","94.1%","94.1%","88.2%","94.1%","0.0%","88.2%","","","","","0.0%","0.0%","0.0%","0.0%","0.0%","11.8%"
"Philadelphia","St Barnabas School","7th Grade","43","95.3%","95.3%","95.3%","95.3%","0.0%","95.3%","74.4%","79.1%","","","0.0%","0.0%","0.0%","0.0%","0.0%","25.6%"
"Philadelphia","St Cecilia School","Kindergarten","44","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","","","","","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"Philadelphia","St Cecilia School","7th Grade","64","100.0%","100.0%","100.0%","100.0%","1.6%","98.4%","100.0%","100.0%","","","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"Philadelphia","St Christopher School","Kindergarten","26","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","","","","","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"Philadelphia","St Christopher School","7th Grade","27","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","100.0%","100.0%","","","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"Philadelphia","St Frances Cabrini Regional Catholic School","Kindergarten","20","90.0%","90.0%","90.0%","90.0%","0.0%","90.0%","","","","","0.0%","0.0%","0.0%","0.0%","0.0%","15.0%"
"Philadelphia","St Frances Cabrini Regional Catholic School","7th Grade","23","95.7%","95.7%","100.0%","95.7%","0.0%","95.7%","78.3%","78.3%","","","0.0%","0.0%","0.0%","0.0%","0.0%","21.7%"
