"County","School","Grade","Total Students Enrolled","DTaP Percent","Polio Percent","MMR Percent","Hep B Percent","Varicella Had Disease Percent","Varicella Percent","Tdap Percent","MCV4 1st Dose Percent","MCV4 16+ 1 Dose Percent","MCV4 2nd Dose 16+ Percent","Medical Exemption Percent","Religious Exemption Percent","Philosophical Exemption Percent","Enrolled Provisionally Percent","Denied Admission Percent","Noncompliant and Attending Percent"
"Adams","Adams Co Christian Academy","Kindergarten","2","","","","","","","","","","","","","","","",""
"Adams","Adams Co Christian Academy","7th Grade","3","","","","","","","","","","","","","","","",""
"Adams","Adams Co Christian Academy","12th Grade","2","","","","","","","","","","","","","","","",""
"Adams","Alloway Creek El Sch","Kindergarten","121","95.0%","90.9%","92.6%","90.9%","0.0%","91.7%","","","","","0.0%","7.4%","0.8%","1.7%","0.0%","0.0%"
"Adams","Bermudian Springs El Sch","Kindergarten","116","90.5%","90.5%","91.4%","92.2%","0.0%","91.4%","","","","","0.0%","5.2%","3.4%","1.7%","0.0%","0.0%"
"Adams","Bermudian Springs HS","12th Grade","152","94.1%","94.1%","93.4%","92.1%","0.0%","94.1%","93.4%","","92.1%","0.0%","2.6%","1.3%","6.6%","0.0%","0.0%","0.0%"
"Adams","Bermudian Springs MS","7th Grade","141","93.6%","93.6%","92.9%","93.6%","0.0%","90.8%","90.1%","89.4%","","","0.7%","1.4%","9.2%","0.0%","0.0%","1.4%"
"Adams","Biglerville El Sch","Kindergarten","95","91.6%","92.6%","93.7%","100.0%","0.0%","92.6%","","","","","0.0%","4.2%","2.1%","3.2%","0.0%","0.0%"
"Adams","Biglerville HS","12th Grade","129","96.9%","96.9%","96.9%","96.9%","0.0%","96.9%","94.6%","","0.8%","90.7%","0.0%","4.7%","3.1%","0.0%","3.1%","0.0%"
"Adams","Breezy Acres","Kindergarten","2","","","","","","","","","","","","","","","",""
"Adams","Conewago Twp El Sch","Kindergarten","110","90.9%","90.9%","91.8%","94.5%","91.8%","0.0%","","","","","0.0%","7.3%","0.9%","0.9%","0.0%","0.0%"
"Adams","Delone Catholic High School","12th Grade","88","100.0%","98.9%","96.6%","98.9%","1.1%","96.6%","100.0%","","2.3%","94.3%","1.1%","6.8%","0.0%","0.0%","0.0%","0.0%"
"Adams","Fairfield Area El Sch","Kindergarten","61","98.4%","98.4%","98.4%","98.4%","0.0%","98.4%","","","","","0.0%","1.6%","0.0%","0.0%","0.0%","1.6%"
"Adams","Fairfield Area HS","12th Grade","68","97.1%","97.1%","97.1%","95.6%","0.0%","97.1%","97.1%","","5.9%","91.2%","4.4%","2.9%","2.9%","0.0%","0.0%","8.8%"
"Adams","Fairfield Area MS","7th Grade","64","96.9%","96.9%","96.9%","96.9%","0.0%","96.9%","93.8%","93.8%","","","1.6%","1.6%","3.1%","0.0%","0.0%","6.2%"
"Adams","Franklin Twp El Sch","Kindergarten","37","91.9%","91.9%","91.9%","94.6%","0.0%","91.9%","","","","","0.0%","8.1%","0.0%","0.0%","0.0%","8.1%"
"Adams","Freedom Christian School","Kindergarten","7","","","","","","","","","","","","","","","",""
"Adams","Freedom Christian School","7th Grade","8","","","","","","","","","","","","","","","",""
"Adams","Freedom Christian School","12th Grade","5","","","","","","","","","","","","","","","",""
"Adams","Gettysburg Area HS","12th Grade","270","100.0%","99.3%","98.5%","99.3%","0.0%","98.5%","98.5%","","99.3%","0.0%","0.0%","1.5%","1.5%","4.1%","0.0%","0.0%"
"Adams","Gettysburg Area MS","7th Grade","252","96.8%","96.8%","97.2%","96.8%","0.0%","97.2%","93.7%","93.7%","","","0.0%","3.2%","2.8%","0.0%","0.0%","0.8%"
"Adams","Gettysburg Montessori CS","Kindergarten","49","91.8%","91.8%","91.8%","91.8%","0.0%","91.8%","","","","","2.0%","4.1%","2.0%","0.0%","0.0%","0.0%"
"Adams","Hoffman Academy","7th Grade","8","","","","","","","","","","","","","","","",""
"Adams","Hoffman Academy","12th Grade","2","","","","","","","","","","","","","","","",""
"Adams","Indian Acres Amish School","7th Grade","2","","","","","","","","","","","","","","","",""
"Adams","James Gettys El Sch","Kindergarten","69","92.8%","92.8%","92.8%","92.8%","0.0%","92.8%","","","","","1.4%","1.4%","0.0%","2.9%","0.0%","4.3%"
"Adams","Lincoln El Sch","Kindergarten","61","98.4%","98.4%","98.4%","98.4%","0.0%","98.4%","","","","","0.0%","0.0%","0.0%","1.6%","0.0%","0.0%"
"Adams","Lincoln IU 12","Kindergarten","20","95.0%","95.0%","95.0%","95.0%","0.0%","95.0%","","","","","0.0%","5.0%","0.0%","0.0%","0.0%","0.0%"
"Adams","Lincoln IU 12","7th Grade","30","96.7%","96.7%","93.3%","96.7%","0.0%","93.3%","86.7%","83.3%","","","0.0%","10.0%","0.0%","6.7%","0.0%","6.7%"
"Adams","Lincoln IU 12","12th Grade","75","94.7%","93.3%","93.3%","96.0%","0.0%","93.3%","93.3%","","0.0%","86.7%","0.0%","8.0%","4.0%","2.7%","0.0%","2.7%"
"Adams","Littlestown SHS","12th Grade","135","97.0%","94.8%","95.6%","97.0%","1.5%","95.6%","92.6%","","0.0%","85.2%","3.7%","6.7%","5.2%","0.0%","0.0%","0.0%"
"Adams","Maple Avenue MS","7th Grade","136","93.4%","94.1%","94.1%","94.1%","0.0%","94.1%","89.0%","88.2%","","","2.2%","8.1%","4.4%","0.0%","0.0%","0.0%"
"Adams","New Oxford El Sch","Kindergarten","136","94.9%","94.9%","93.4%","97.8%","0.0%","93.4%","","","","","0.0%","2.9%","3.7%","0.0%","0.0%","0.0%"
"Adams","New Oxford MS","7th Grade","326","96.3%","96.3%","96.3%","96.3%","0.0%","96.3%","92.0%","91.7%","","","0.0%","5.5%","2.1%","0.6%","0.0%","0.0%"
"Adams","New Oxford SHS","12th Grade","323","98.1%","98.1%","97.2%","96.9%","0.9%","97.2%","96.6%","","0.3%","94.4%","0.3%","3.7%","0.9%","0.0%","0.0%","2.8%"
"Adams","Pheasant Cottage Amish School","7th Grade","1","","","","","","","","","","","","","","","",""
"Adams","St Francis Xavier School","Kindergarten","24","83.3%","75.0%","75.0%","83.3%","0.0%","75.0%","","","","","0.0%","0.0%","4.2%","0.0%","0.0%","20.8%"
"Adams","St Francis Xavier School","7th Grade","10","","","","","","","","","","","","","","","",""
"Adams","St James Child Care Center","Kindergarten","5","","","","","","","","","","","","","","","",""
"Adams","St Teresa of Calcutta - Conewago","Kindergarten","31","96.8%","93.5%","93.5%","96.8%","0.0%","93.5%","","","","","0.0%","9.7%","0.0%","0.0%","0.0%","0.0%"
"Adams","St Teresa of Calcutta - McSherrystown","7th Grade","31","100.0%","100.0%","100.0%","96.8%","0.0%","100.0%","93.5%","93.5%","","","3.2%","6.5%","0.0%","0.0%","0.0%","0.0%"
"Adams","Upper Adams MS","7th Grade","123","95.1%","95.1%","95.1%","95.9%","0.0%","95.9%","93.5%","93.5%","","","0.0%","3.3%","3.3%","0.0%","0.0%","0.0%"
"Adams","Vida CS","Kindergarten","51","96.1%","94.1%","98.0%","94.1%","0.0%","96.1%","","","","","0.0%","2.0%","0.0%","9.8%","0.0%","9.8%"
"Allegheny","ABK Learning and Development Center","Kindergarten","6","","","","","","","","","","","","","","","",""
"Allegheny","ACLD Tillotson School","7th Grade","6","","","","","","","","","","","","","","","",""
"Allegheny","ACLD Tillotson School","12th Grade","19","","","","","","","","","","","","","","","",""
"Allegheny","Abraham Lincoln El Sch","Kindergarten","54","94.4%","94.4%","94.4%","94.4%","0.0%","94.4%","","","","","0.0%","5.6%","0.0%","0.0%","0.0%","0.0%"
"Allegheny","Academy at Westinghouse","7th Grade","74","97.3%","97.3%","95.9%","95.9%","0.0%","94.6%","66.2%","66.2%","","","0.0%","0.0%","2.7%","0.0%","0.0%","31.1%"
"Allegheny","Academy at Westinghouse","12th Grade","82","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","98.8%","","8.5%","59.8%","0.0%","0.0%","0.0%","0.0%","0.0%","31.7%"
"Allegheny","Acmetonia El Sch","Kindergarten","67","100.0%","100.0%","100.0%","100.0%","0.0%","98.5%","","","","","0.0%","0.0%","1.5%","0.0%","0.0%","0.0%"
"Allegheny","Acton Academy Pittsburgh","Kindergarten","6","","","","","","","","","","","","","","","",""
"Allegheny","Allegheny IU 3","Kindergarten","3","","","","","","","","","","","","","","","",""
"Allegheny","Allegheny IU 3","7th Grade","19","","","","","","","","","","","","","","","",""
"Allegheny","Allegheny IU 3","12th Grade","128","96.9%","96.9%","94.5%","96.9%","0.0%","96.1%","96.1%","","0.0%","89.8%","3.9%","1.6%","5.5%","1.6%","0.0%","0.8%"
"Allegheny","Aquinas Academy","Kindergarten","39","74.4%","74.4%","79.5%","82.1%","0.0%","74.4%","","","","","0.0%","7.7%","23.1%","0.0%","0.0%","0.0%"
"Allegheny","Aquinas Academy","7th Grade","54","87.0%","85.2%","88.9%","90.7%","0.0%","88.9%","85.2%","83.3%","","","0.0%","9.3%","9.3%","0.0%","0.0%","0.0%"
"Allegheny","Aquinas Academy","12th Grade","37","89.2%","89.2%","89.2%","89.2%","0.0%","89.2%","89.2%","","0.0%","81.1%","0.0%","10.8%","8.1%","0.0%","0.0%","0.0%"
"Allegheny","Archangel Gabriel School","Kindergarten","34","91.2%","91.2%","91.2%","91.2%","0.0%","91.2%","","","","","0.0%","8.8%","0.0%","0.0%","0.0%","0.0%"
"Allegheny","Archangel Gabriel School","7th Grade","34","100.0%","100.0%","100.0%","97.1%","0.0%","100.0%","100.0%","100.0%","","","0.0%","0.0%","0.0%","0.0%","0.0%","2.9%"
"Allegheny","Avalon El Sch","Kindergarten","33","97.0%","97.0%","97.0%","97.0%","0.0%","97.0%","","","","","0.0%","0.0%","3.0%","0.0%","0.0%","0.0%"
"Allegheny","Ave Maria Academy-Bethel Park Campus","Kindergarten","52","92.3%","92.3%","92.3%","92.3%","0.0%","92.3%","","","","","0.0%","7.7%","0.0%","0.0%","0.0%","0.0%"
"Allegheny","Ave Maria Academy-Bethel Park Campus","7th Grade","26","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","100.0%","100.0%","","","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"Allegheny","Ave Maria Academy-Mt Lebanon Campus","Kindergarten","25","92.0%","92.0%","92.0%","92.0%","0.0%","92.0%","","","","","0.0%","4.0%","0.0%","0.0%","0.0%","4.0%"
"Allegheny","Ave Maria Academy-Mt Lebanon Campus","7th Grade","17","","","","","","","","","","","","","","","",""
"Allegheny","Avonworth HS","12th Grade","147","95.2%","93.9%","98.6%","97.3%","0.7%","98.0%","98.6%","","0.0%","93.9%","0.0%","1.4%","2.7%","2.0%","0.0%","0.0%"
"Allegheny","Avonworth MS","7th Grade","165","98.8%","97.6%","99.4%","98.8%","0.0%","99.4%","97.6%","97.6%","","","0.0%","0.0%","3.0%","0.0%","0.0%","0.0%"
"Allegheny","Avonworth Primary Center","Kindergarten","124","97.6%","97.6%","97.6%","97.6%","0.0%","96.8%","","","","","0.0%","0.0%","3.2%","0.0%","0.0%","0.0%"
"Allegheny","Baker El Sch","Kindergarten","97","94.8%","94.8%","94.8%","95.9%","1.0%","93.8%","","","","","0.0%","3.1%","2.1%","0.0%","0.0%","0.0%"
"Allegheny","Bakerstown UMC Day School","Kindergarten","11","","","","","","","","","","","","","","","",""
"Allegheny","Baldwin SHS","12th Grade","340","98.2%","98.8%","99.1%","99.1%","0.3%","98.2%","97.6%","","0.6%","91.8%","0.0%","1.2%","0.9%","0.3%","0.0%","10.6%"
"Allegheny","Barrett El Sch","Kindergarten","60","90.0%","93.3%","93.3%","93.3%","0.0%","93.3%","","","","","0.0%","6.7%","0.0%","3.3%","0.0%","0.0%"
"Allegheny","Bellevue El Sch","Kindergarten","47","95.7%","95.7%","95.7%","95.7%","0.0%","95.7%","","","","","0.0%","0.0%","4.3%","0.0%","0.0%","0.0%"
"Allegheny","Benjamin Franklin El Sch","Kindergarten","75","97.3%","97.3%","96.0%","97.3%","0.0%","96.0%","","","","","1.3%","0.0%","2.7%","0.0%","0.0%","0.0%"
"Allegheny","Bethel Memorial El Sch","Kindergarten","51","98.0%","98.0%","98.0%","98.0%","0.0%","98.0%","","","","","0.0%","2.0%","0.0%","0.0%","0.0%","0.0%"
"Allegheny","Bethel Park HS","12th Grade","359","96.4%","95.8%","96.7%","96.1%","1.4%","96.9%","96.1%","","2.8%","93.3%","1.9%","2.8%","4.5%","0.0%","0.0%","0.0%"
"Allegheny","Bishop Canevin High School","12th Grade","41","95.1%","95.1%","95.1%","95.1%","0.0%","95.1%","95.1%","","0.0%","95.1%","0.0%","0.0%","2.4%","24.4%","0.0%","0.0%"
"Allegheny","Blessed Francis Seelos Academy","Kindergarten","49","93.9%","93.9%","91.8%","98.0%","0.0%","91.8%","","","","","2.0%","0.0%","6.1%","0.0%","0.0%","0.0%"
"Allegheny","Blessed Francis Seelos Academy","7th Grade","27","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","92.6%","92.6%","","","3.7%","0.0%","3.7%","0.0%","0.0%","0.0%"
"Allegheny","Blessed Trinity Academy","Kindergarten","23","91.3%","91.3%","91.3%","95.7%","95.7%","0.0%","","","","","0.0%","4.3%","0.0%","0.0%","0.0%","4.3%"
"Allegheny","Blessed Trinity Academy","7th Grade","13","","","","","","","","","","","","","","","",""
"Allegheny","Bon Meade El Sch","Kindergarten","79","98.7%","98.7%","98.7%","98.7%","0.0%","98.7%","","","","","0.0%","1.3%","0.0%","0.0%","0.0%","0.0%"
"Allegheny","Bradford Woods El Sch","Kindergarten","48","97.9%","97.9%","95.8%","97.9%","0.0%","95.8%","","","","","2.1%","2.1%","0.0%","0.0%","0.0%","0.0%"
"Allegheny","Brentwood MS","7th Grade","99","98.0%","98.0%","98.0%","98.0%","3.0%","94.9%","97.0%","97.0%","","","0.0%","2.0%","1.0%","0.0%","1.0%","0.0%"
"Allegheny","Brentwood MS","12th Grade","74","98.6%","97.3%","98.6%","95.9%","2.7%","95.9%","95.9%","","4.1%","93.2%","0.0%","2.7%","0.0%","2.7%","0.0%","0.0%"
"Allegheny","Bright Horizons at AGH","Kindergarten","7","","","","","","","","","","","","","","","",""
"Allegheny","Burchfield Primary Sch","Kindergarten","94","98.9%","98.9%","98.9%","100.0%","0.0%","98.9%","","","","","0.0%","0.0%","0.0%","1.1%","0.0%","0.0%"
"Allegheny","Campus Lab School of Carlow University","Kindergarten","24","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","","","","","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"Allegheny","Campus Lab School of Carlow University","7th Grade","14","","","","","","","","","","","","","","","",""
"Allegheny","Carlynton JSHS","7th Grade","83","98.8%","96.4%","97.6%","97.6%","0.0%","98.8%","81.9%","84.3%","","","2.4%","1.2%","1.2%","0.0%","0.0%","13.3%"
"Allegheny","Carlynton JSHS","12th Grade","106","98.1%","98.1%","97.2%","97.2%","0.0%","96.2%","96.2%","","2.8%","83.0%","0.9%","0.0%","3.8%","0.0%","0.0%","17.0%"
"Allegheny","Carnegie El Sch","Kindergarten","55","96.4%","98.2%","98.2%","94.5%","0.0%","100.0%","","","","","0.0%","0.0%","0.0%","9.1%","0.0%","9.1%"
"Allegheny","Carnegie Mellon University Childrens School","Kindergarten","17","","","","","","","","","","","","","","","",""
"Allegheny","Carriage House Childrens Ctr","Kindergarten","7","","","","","","","","","","","","","","","",""
"Allegheny","Carson MS","7th Grade","222","98.2%","97.7%","98.6%","98.2%","0.5%","97.3%","93.7%","93.2%","","","0.9%","5.4%","0.9%","0.0%","0.0%","0.9%"
"Allegheny","Catalyst Academy CS","Kindergarten","48","81.2%","81.2%","87.5%","85.4%","0.0%","83.3%","","","","","0.0%","0.0%","0.0%","0.0%","0.0%","33.3%"
"Allegheny","Central Catholic","12th Grade","179","97.8%","97.8%","97.8%","97.8%","0.6%","97.2%","97.8%","","0.0%","96.6%","0.0%","2.2%","1.1%","0.0%","0.0%","0.0%"
"Allegheny","Central El Sch - Allison Park location","Kindergarten","64","96.9%","96.9%","96.9%","96.9%","0.0%","96.9%","","","","","0.0%","3.1%","0.0%","0.0%","0.0%","0.0%"
"Allegheny","Central El Sch - Elizabeth location","Kindergarten","49","93.9%","93.9%","93.9%","98.0%","0.0%","93.9%","","","","","0.0%","4.1%","2.0%","0.0%","0.0%","0.0%"
"Allegheny","Chartiers Valley HS","12th Grade","250","96.4%","95.2%","96.0%","97.6%","0.8%","92.4%","98.0%","","38.4%","58.0%","1.2%","2.0%","1.6%","0.8%","0.0%","37.2%"
"Allegheny","Chartiers Valley MS","7th Grade","260","96.2%","99.2%","98.1%","99.2%","0.8%","96.5%","92.3%","91.9%","","","0.8%","1.2%","0.8%","0.0%","0.0%","5.8%"
"Allegheny","Chartiers Valley Primary Sch","Kindergarten","264","96.2%","96.2%","96.2%","97.3%","0.0%","94.3%","","","","","0.4%","0.4%","0.8%","6.4%","0.0%","0.8%"
"Allegheny","Cheswick Christian Academy","Kindergarten","11","","","","","","","","","","","","","","","",""
"Allegheny","Cheswick Christian Academy","7th Grade","9","","","","","","","","","","","","","","","",""
"Allegheny","Cheswick Christian Academy","12th Grade","8","","","","","","","","","","","","","","","",""
"Allegheny","Christ the Divine Tchr Cath Ac","Kindergarten","10","","","","","","","","","","","","","","","",""
"Allegheny","Christ the Divine Tchr Cath Ac","7th Grade","18","","","","","","","","","","","","","","","",""
"Allegheny","City CHS","12th Grade","141","97.9%","97.2%","97.9%","92.2%","0.0%","98.6%","97.9%","","0.0%","95.0%","0.0%","0.7%","11.3%","0.0%","0.0%","2.8%"
"Allegheny","Clairton El Sch","Kindergarten","67","94.0%","94.0%","94.0%","97.0%","0.0%","94.0%","","","","","0.0%","1.5%","0.0%","4.5%","0.0%","0.0%"
"Allegheny","Clairton MS/HS","7th Grade","64","96.9%","96.9%","96.9%","98.4%","0.0%","96.9%","93.8%","92.2%","","","0.0%","4.7%","3.1%","0.0%","0.0%","0.0%"
"Allegheny","Clairton MS/HS","12th Grade","62","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","100.0%","","1.6%","98.4%","0.0%","1.6%","0.0%","0.0%","0.0%","0.0%"
"Allegheny","Clara Barton El Sch","Kindergarten","55","98.2%","98.2%","98.2%","98.2%","0.0%","98.2%","","","","","0.0%","1.8%","0.0%","0.0%","0.0%","0.0%"
"Allegheny","Community Day School","Kindergarten","34","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","","","","","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"Allegheny","Community Day School","7th Grade","28","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","100.0%","100.0%","","","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"Allegheny","Cornell El Sch","Kindergarten","36","94.4%","94.4%","94.4%","94.4%","0.0%","94.4%","","","","","0.0%","5.6%","0.0%","0.0%","0.0%","0.0%"
"Allegheny","Cornell HS","7th Grade","46","97.8%","97.8%","97.8%","97.8%","0.0%","95.7%","89.1%","89.1%","","","0.0%","10.9%","0.0%","0.0%","0.0%","0.0%"
"Allegheny","Cornell HS","12th Grade","39","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","100.0%","","2.6%","97.4%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"Allegheny","Cornerstone Christian Prep-Wilson Campus","Kindergarten","14","","","","","","","","","","","","","","","",""
"Allegheny","Cornerstone Christian Prep-Wilson Campus","7th Grade","16","","","","","","","","","","","","","","","",""
"Allegheny","Cornerstone Christian Prep-Wilson Campus","12th Grade","7","","","","","","","","","","","","","","","",""
"Allegheny","Crafton El Sch","Kindergarten","45","88.9%","88.9%","88.9%","91.1%","0.0%","88.9%","","","","","0.0%","8.9%","0.0%","2.2%","0.0%","2.2%"
"Allegheny","Curtisville Pri Ctr","Kindergarten","115","93.0%","93.0%","93.0%","93.0%","0.0%","93.0%","","","","","0.0%","2.6%","2.6%","1.7%","0.0%","0.0%"
"Allegheny","David E Williams MS","7th Grade","252","98.4%","98.4%","98.8%","98.8%","1.2%","97.6%","96.0%","95.6%","","","2.0%","0.0%","2.8%","0.8%","0.0%","0.0%"
"Allegheny","Day School","Kindergarten","6","","","","","","","","","","","","","","","",""
"Allegheny","Day School","7th Grade","15","","","","","","","","","","","","","","","",""
"Allegheny","Day School","12th Grade","50","94.0%","86.0%","88.0%","100.0%","2.0%","90.0%","94.0%","","8.0%","86.0%","0.0%","8.0%","10.0%","2.0%","0.0%","0.0%"
"Allegheny","DePaul Institute","Kindergarten","3","","","","","","","","","","","","","","","",""
"Allegheny","DePaul Institute","7th Grade","2","","","","","","","","","","","","","","","",""
"Allegheny","Deer Lakes HS","12th Grade","166","97.6%","97.6%","97.0%","97.6%","0.6%","97.6%","94.0%","","6.6%","84.3%","0.6%","6.0%","0.0%","0.0%","0.0%","6.6%"
"Allegheny","Deer Lakes MS","7th Grade","139","96.4%","95.7%","95.7%","96.4%","0.7%","95.7%","91.4%","90.6%","","","0.0%","4.3%","0.7%","1.4%","0.0%","5.0%"
"Allegheny","Dickson Prep STEAM Academy","7th Grade","215","74.0%","74.0%","74.0%","74.0%","0.0%","74.0%","74.0%","74.0%","","","0.9%","1.4%","5.6%","0.0%","0.0%","18.1%"
"Allegheny","Discovery School at Beechwood","Kindergarten","15","","","","","","","","","","","","","","","",""
"Allegheny","Divine Mercy Academy","Kindergarten","17","","","","","","","","","","","","","","","",""
"Allegheny","Divine Mercy Academy","7th Grade","17","","","","","","","","","","","","","","","",""
"Allegheny","Donaldson Elem Sch","Kindergarten","89","95.5%","93.3%","92.1%","97.8%","0.0%","92.1%","","","","","0.0%","4.5%","2.2%","2.2%","0.0%","0.0%"
"Allegheny","Dormont El Sch","Kindergarten","55","92.7%","92.7%","96.4%","96.4%","0.0%","94.5%","","","","","1.8%","0.0%","3.6%","1.8%","0.0%","1.8%"
"Allegheny","Dorseyville MS","7th Grade","341","98.2%","98.5%","98.5%","98.2%","0.3%","98.2%","95.3%","95.0%","","","0.0%","4.7%","0.6%","0.0%","0.0%","0.3%"
"Allegheny","Dr Cleveland Steward Jr El Sch","Kindergarten","60","93.3%","93.3%","93.3%","93.3%","0.0%","93.3%","","","","","0.0%","1.7%","3.3%","1.7%","0.0%","0.0%"
"Allegheny","Duquesne El Sch","Kindergarten","57","91.2%","94.7%","98.2%","98.2%","0.0%","98.2%","","","","","0.0%","0.0%","3.5%","0.0%","0.0%","5.3%"
"Allegheny","Duquesne El Sch","7th Grade","51","88.2%","96.1%","98.0%","100.0%","0.0%","98.0%","76.5%","80.4%","","","0.0%","2.0%","0.0%","0.0%","0.0%","21.6%"
"Allegheny","East Allegheny JSHS","7th Grade","99","94.9%","94.9%","94.9%","94.9%","0.0%","94.9%","77.8%","77.8%","","","0.0%","4.0%","1.0%","0.0%","0.0%","17.2%"
"Allegheny","East Allegheny JSHS","12th Grade","121","95.0%","95.0%","95.0%","95.0%","0.0%","95.0%","95.0%","","66.1%","28.9%","0.0%","1.7%","3.3%","0.0%","0.0%","28.9%"
"Allegheny","Easter Seals of Western and Central PA","Kindergarten","6","","","","","","","","","","","","","","","",""
"Allegheny","Eden Christian Academy","Kindergarten","24","91.7%","91.7%","75.0%","91.7%","0.0%","75.0%","","","","","0.0%","16.7%","0.0%","0.0%","0.0%","8.3%"
"Allegheny","Eden Christian Academy - Mt Nebo","7th Grade","49","93.9%","93.9%","93.9%","95.9%","0.0%","93.9%","87.8%","83.7%","","","0.0%","0.0%","16.3%","0.0%","0.0%","0.0%"
"Allegheny","Eden Christian Academy - Mt Nebo","12th Grade","52","92.3%","92.3%","90.4%","94.2%","0.0%","90.4%","90.4%","","0.0%","76.9%","0.0%","7.7%","15.4%","0.0%","0.0%","0.0%"
"Allegheny","Eden Christian Academy - Wexford","Kindergarten","34","85.3%","85.3%","88.2%","91.2%","0.0%","88.2%","","","","","0.0%","5.9%","11.8%","0.0%","0.0%","0.0%"
"Allegheny","Edgewood El STEAM Academy","Kindergarten","82","65.9%","65.9%","65.9%","65.9%","0.0%","65.9%","","","","","0.0%","0.0%","22.0%","0.0%","0.0%","12.2%"
"Allegheny","Edgeworth El Sch","Kindergarten","62","98.4%","98.4%","96.8%","96.8%","0.0%","96.8%","","","","","3.2%","0.0%","0.0%","1.6%","0.0%","0.0%"
"Allegheny","Eisenhower El Sch","Kindergarten","88","98.9%","98.9%","97.7%","98.9%","0.0%","97.7%","","","","","0.0%","1.1%","1.1%","0.0%","0.0%","0.0%"
"Allegheny","Elizabeth Forward SHS","12th Grade","191","99.0%","99.0%","97.9%","99.0%","0.0%","98.4%","96.9%","","56.0%","42.4%","0.0%","0.5%","5.8%","0.0%","0.0%","0.0%"
"Allegheny","Elroy Avenue El Sch","Kindergarten","45","97.8%","97.8%","97.8%","95.6%","2.2%","95.6%","","","","","0.0%","0.0%","2.2%","2.2%","0.0%","0.0%"
"Allegheny","Environmental CS at Frick Park","Kindergarten","75","94.7%","94.7%","94.7%","97.3%","0.0%","94.7%","","","","","0.0%","5.3%","0.0%","0.0%","0.0%","0.0%"
"Allegheny","Environmental CS at Frick Park","7th Grade","104","98.1%","98.1%","98.1%","100.0%","0.0%","98.1%","97.1%","97.1%","","","0.0%","2.9%","0.0%","0.0%","0.0%","0.0%"
"Allegheny","Environmental CS at Frick Park","12th Grade","33","97.0%","97.0%","97.0%","97.0%","0.0%","97.0%","97.0%","","0.0%","97.0%","0.0%","3.0%","0.0%","0.0%","0.0%","0.0%"
"Allegheny","Evergreen El Sch","Kindergarten","62","85.5%","83.9%","85.5%","87.1%","0.0%","85.5%","","","","","0.0%","1.6%","8.1%","6.5%","0.0%","0.0%"
"Allegheny","Fairview El Sch","Kindergarten","72","97.2%","97.2%","97.2%","97.2%","0.0%","97.2%","","","","","0.0%","0.0%","2.8%","0.0%","0.0%","0.0%"
"Allegheny","Falk Laboratory School","Kindergarten","48","97.9%","97.9%","100.0%","97.9%","0.0%","100.0%","","","","","0.0%","0.0%","2.1%","0.0%","0.0%","0.0%"
"Allegheny","Falk Laboratory School","7th Grade","45","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","100.0%","100.0%","","","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"Allegheny","Fort Couch MS","7th Grade","317","98.7%","98.4%","98.1%","98.4%","0.0%","98.7%","97.8%","97.5%","","","0.3%","1.3%","2.8%","0.0%","0.0%","0.3%"
"Allegheny","Foster El Sch","Kindergarten","47","93.6%","93.6%","95.7%","97.9%","93.6%","0.0%","","","","","0.0%","2.1%","0.0%","6.4%","0.0%","0.0%"
"Allegheny","Founders Hall Middle Sch","7th Grade","195","94.4%","94.4%","94.4%","94.4%","0.0%","94.4%","87.2%","87.2%","","","0.0%","3.6%","2.1%","7.2%","0.0%","0.0%"
"Allegheny","Fox Chapel Area HS","12th Grade","326","98.2%","98.2%","98.8%","97.9%","1.5%","98.5%","98.8%","","8.3%","88.3%","2.1%","1.5%","2.1%","0.0%","0.0%","8.3%"
"Allegheny","Francis McClure El Sch","Kindergarten","133","90.2%","93.2%","93.2%","94.0%","0.0%","93.2%","","","","","0.0%","2.3%","2.3%","2.3%","0.0%","3.0%"
"Allegheny","Franklin El Sch","Kindergarten","82","96.3%","96.3%","96.3%","95.1%","0.0%","96.3%","","","","","0.0%","1.2%","2.4%","0.0%","0.0%","1.2%"
"Allegheny","Fred L Aiken El Sch","Kindergarten","39","92.3%","92.3%","89.7%","100.0%","0.0%","92.3%","","","","","0.0%","0.0%","7.7%","2.6%","0.0%","0.0%"
"Allegheny","Gateway MS","7th Grade","288","97.6%","97.6%","96.9%","96.9%","0.3%","96.5%","95.1%","95.8%","","","0.0%","2.4%","5.6%","0.0%","0.0%","0.3%"
