State,School District or Name,County,Age Group,Old Rate,New Rate,Difference
AZ,BASIS - FLAGSTAFF,COCONINO,KINDERGARTEN,98.59,92.7,-5.89
AZ,CHARLES W SECHRIST ELEMENTARY SCHOOL,COCONINO,KINDERGARTEN,95.08,95.6,0.52
AZ,EVA MARSHALL ELEMENTARY SCHOOL,COCONINO,KINDERGARTEN,94.64,55.6,-39.04
AZ,FLAGSTAFF CHRISTIAN SCHOOL,COCONINO,6TH GRADE,89.74,92.3,2.56
AZ,FLAGSTAFF CHRISTIAN SCHOOL,COCONINO,KINDERGARTEN,65.38,43.5,-21.88
AZ,FLAGSTAFF JUNIOR ACADEMY ELEMENTARY CAMPUS,COCONINO,6TH GRADE,98.53,86.9,-11.63
AZ,FLAGSTAFF JUNIOR ACADEMY ELEMENTARY CAMPUS,COCONINO,KINDERGARTEN,94.12,80.0,-14.12
AZ,GRAND CANYON ELEMENTARY,COCONINO,6TH GRADE,100.0,95.0,-5.0
AZ,JOHN Q THOMAS ELEMENTARY SCHOOL,COCONINO,KINDERGARTEN,83.64,97.7,14.06
AZ,KINSEY INQUIRY AND DISCOVERY SCHOOL,COCONINO,KINDERGARTEN,90.48,89.2,-1.28
AZ,MANUEL DEMIGUEL ELEMENTARY SCHOOL,COCONINO,KINDERGARTEN,97.22,95.4,-1.82
AZ,MOUNT ELDEN MIDDLE SCHOOL,COCONINO,6TH GRADE,97.61,97.7,0.09
AZ,MOUNTAIN SCHOOL,COCONINO,KINDERGARTEN,100.0,91.7,-8.3
AZ,NORTHLAND PREPARATORY ACADEMY,COCONINO,6TH GRADE,94.17,93.4,-0.77
AZ,PAGE MIDDLE SCHOOL,COCONINO,6TH GRADE,97.63,88.4,-9.23
AZ,SAN FRANCISCO DE ASIS CATHOLIC SCHOOL,COCONINO,KINDERGARTEN,100.0,78.3,-21.7
AZ,SINAGUA MIDDLE SCHOOL,COCONINO,6TH GRADE,95.93,96.5,0.57
AZ,STURGEON CROMER ELEMENTARY SCHOOL,COCONINO,KINDERGARTEN,92.45,83.3,-9.15
AZ,THOMAS M KNOLES ELEMENTARY SCHOOL,COCONINO,KINDERGARTEN,94.0,94.2,0.2
AZ,TUBA CITY JUNIOR HIGH SCHOOL,COCONINO,6TH GRADE,100.0,100.0,0.0
AZ,W F KILLIP ELEMENTARY SCHOOL,COCONINO,KINDERGARTEN,91.94,91.5,-0.44
AZ,WEITZEL'S PUENTE DE HOZHO BILINQUAL SCHOOL,COCONINO,KINDERGARTEN,96.0,95.6,-0.4
AZ,WILLIAMS ELEMENTARY/MIDDLE SCHOOL,COCONINO,6TH GRADE,83.33,88.0,4.67
AZ,WILLIAMS ELEMENTARY/MIDDLE SCHOOL,COCONINO,KINDERGARTEN,50.0,83.3,33.3
AZ,COPPER RIM ELEMENTARY SCHOOL,GILA,KINDERGARTEN,91.49,89.7,-1.79
AZ,DESTINY SCHOOL,GILA,6TH GRADE,93.33,97.6,4.27
