State,Old rows,New rows,Matched rows,Match rate vs old (%)
AZ,2314,2015,1852,80.0
CA,6623,6434,6040,91.2
CO,4736,4921,4198,88.6
CT,805,786,0,0.0
IN,4068,4084,3817,93.8
KS,242,243,209,86.4
KY,1606,1571,849,52.9
LA,2045,2046,2043,99.9
MA,1708,1728,1559,91.3
MD,1016,1058,459,45.2
ME,693,699,403,58.2
MN,1939,1744,1603,82.7
NC,1814,1600,1092,60.2
NY,5179,4847,4511,87.1
OR,1687,1666,1509,89.4
PA,3785,3714,3463,91.5
TX,3343,3322,2994,89.6
WA,2729,2658,2460,90.1
WI,3963,4047,577,14.6
