State,Dataset,Bin,Count,Proportion
IN,Old,92-93,223,0.0548
IN,Old,93-94,251,0.0617
IN,Old,94-95,247,0.0607
IN,Old,95-96,343,0.0843
IN,Old,96-97,368,0.0905
IN,Old,97-98,369,0.0907
IN,Old,98-99,336,0.0826
IN,Old,99-100,634,0.1559
KS,New,<50,1,0.0041
KS,New,50-60,7,0.0288
KS,New,60-70,12,0.0494
KS,New,70-80,24,0.0988
KS,New,80-85,29,0.1193
KS,New,85-86,7,0.0288
KS,New,86-87,10,0.0412
KS,New,87-88,6,0.0247
KS,New,88-89,5,0.0206
KS,New,89-90,7,0.0288
KS,New,90-91,17,0.07
KS,New,91-92,8,0.0329
KS,New,92-93,6,0.0247
KS,New,93-94,25,0.1029
KS,New,94-95,7,0.0288
KS,New,95-96,7,0.0288
KS,New,96-97,25,0.1029
KS,New,97-98,3,0.0123
KS,New,98-99,4,0.0165
KS,New,99-100,33,0.1358
KS,Old,<50,3,0.0124
KS,Old,50-60,4,0.0165
KS,Old,60-70,12,0.0496
KS,Old,70-80,16,0.0661
KS,Old,80-85,39,0.1612
KS,Old,85-86,8,0.0331
KS,Old,86-87,9,0.0372
KS,Old,87-88,5,0.0207
KS,Old,88-89,3,0.0124
KS,Old,89-90,5,0.0207
KS,Old,90-91,21,0.0868
KS,Old,91-92,4,0.0165
KS,Old,92-93,10,0.0413
KS,Old,93-94,15,0.062
KS,Old,94-95,6,0.0248
KS,Old,95-96,10,0.0413
KS,Old,96-97,28,0.1157
KS,Old,97-98,8,0.0331
KS,Old,98-99,0,0.0
KS,Old,99-100,36,0.1488
KY,New,<50,21,0.0134
KY,New,50-60,8,0.0051
KY,New,60-70,20,0.0127
KY,New,70-80,56,0.0356
KY,New,80-85,84,0.0535
KY,New,85-86,29,0.0185
KY,New,86-87,21,0.0134
KY,New,87-88,34,0.0216
KY,New,88-89,49,0.0312
KY,New,89-90,47,0.0299
KY,New,90-91,54,0.0344
KY,New,91-92,57,0.0363
KY,New,92-93,82,0.0522
KY,New,93-94,92,0.0586
KY,New,94-95,102,0.0649
KY,New,95-96,135,0.0859
KY,New,96-97,145,0.0923
KY,New,97-98,180,0.1146
KY,New,98-99,126,0.0802
KY,New,99-100,229,0.1458
KY,Old,<50,59,0.0367
KY,Old,50-60,19,0.0118
KY,Old,60-70,36,0.0224
KY,Old,70-80,59,0.0367
KY,Old,80-85,81,0.0504
KY,Old,85-86,15,0.0093
KY,Old,86-87,30,0.0187
KY,Old,87-88,25,0.0156
KY,Old,88-89,33,0.0205
KY,Old,89-90,43,0.0268
KY,Old,90-91,55,0.0342
KY,Old,91-92,49,0.0305
KY,Old,92-93,99,0.0616
KY,Old,93-94,76,0.0473
KY,Old,94-95,91,0.0567
KY,Old,95-96,106,0.066
KY,Old,96-97,160,0.0996
KY,Old,97-98,139,0.0866
KY,Old,98-99,131,0.0816
KY,Old,99-100,300,0.1868
LA,New,<50,2,0.001
LA,New,50-60,3,0.0015
LA,New,60-70,20,0.0098
LA,New,70-80,55,0.0269
LA,New,80-85,79,0.0386
LA,New,85-86,31,0.0152
LA,New,86-87,38,0.0186
LA,New,87-88,39,0.0191
LA,New,88-89,42,0.0205
LA,New,89-90,28,0.0137
LA,New,90-91,65,0.0318
LA,New,91-92,65,0.0318
LA,New,92-93,98,0.0479
LA,New,93-94,73,0.0357
LA,New,94-95,100,0.0489
LA,New,95-96,124,0.0606
LA,New,96-97,166,0.0811
LA,New,97-98,177,0.0865
LA,New,98-99,212,0.1036
LA,New,99-100,629,0.3074
LA,Old,<50,2,0.001
LA,Old,50-60,3,0.0015
LA,Old,60-70,20,0.0098
LA,Old,70-80,55,0.0269
LA,Old,80-85,79,0.0386
LA,Old,85-86,31,0.0152
LA,Old,86-87,38,0.0186
LA,Old,87-88,39,0.0191
LA,Old,88-89,42,0.0205
LA,Old,89-90,28,0.0137
LA,Old,90-91,65,0.0318
LA,Old,91-92,65,0.0318
LA,Old,92-93,98,0.0479
LA,Old,93-94,73,0.0357
LA,Old,94-95,100,0.0489
LA,Old,95-96,124,0.0606
LA,Old,96-97,166,0.0812
LA,Old,97-98,177,0.0866
LA,Old,98-99,212,0.1037
LA,Old,99-100,628,0.3071
MA,New,<50,2,0.0012
MA,New,50-60,3,0.0017
MA,New,60-70,1,0.0006
MA,New,70-80,10,0.0058
MA,New,80-85,19,0.011
MA,New,85-86,3,0.0017
MA,New,86-87,2,0.0012
MA,New,87-88,5,0.0029
MA,New,88-89,8,0.0046
MA,New,89-90,23,0.0133
MA,New,90-91,19,0.011
MA,New,91-92,28,0.0162
MA,New,92-93,28,0.0162
MA,New,93-94,43,0.0249
MA,New,94-95,50,0.0289
MA,New,95-96,67,0.0388
MA,New,96-97,94,0.0544
MA,New,97-98,195,0.1128
MA,New,98-99,245,0.1418
MA,New,99-100,883,0.511
MA,Old,<50,3,0.0018
MA,Old,50-60,0,0.0
MA,Old,60-70,1,0.0006
MA,Old,70-80,13,0.0076
MA,Old,80-85,27,0.0158
MA,Old,85-86,9,0.0053
MA,Old,86-87,2,0.0012
MA,Old,87-88,10,0.0059
MA,Old,88-89,13,0.0076
MA,Old,89-90,11,0.0064
MA,Old,90-91,13,0.0076
MA,Old,91-92,26,0.0152
MA,Old,92-93,33,0.0193
MA,Old,93-94,39,0.0228
MA,Old,94-95,53,0.031
MA,Old,95-96,80,0.0468
MA,Old,96-97,87,0.0509
MA,Old,97-98,164,0.096
MA,Old,98-99,262,0.1534
MA,Old,99-100,862,0.5047
MD,New,<50,1,0.0009
MD,New,50-60,3,0.0028
MD,New,60-70,4,0.0038
MD,New,70-80,16,0.0151
MD,New,80-85,22,0.0208
MD,New,85-86,3,0.0028
MD,New,86-87,2,0.0019
MD,New,87-88,5,0.0047
MD,New,88-89,11,0.0104
MD,New,89-90,10,0.0095
MD,New,90-91,35,0.0331
MD,New,91-92,21,0.0198
MD,New,92-93,31,0.0293
MD,New,93-94,34,0.0321
MD,New,94-95,50,0.0473
MD,New,95-96,76,0.0718
MD,New,96-97,110,0.104
MD,New,97-98,123,0.1163
MD,New,98-99,159,0.1503
MD,New,99-100,342,0.3233
MD,Old,<50,3,0.003
MD,Old,50-60,0,0.0
MD,Old,60-70,0,0.0
MD,Old,70-80,7,0.0069
MD,Old,80-85,2,0.002
MD,Old,85-86,2,0.002
MD,Old,86-87,0,0.0
MD,Old,87-88,3,0.003
MD,Old,88-89,0,0.0
MD,Old,89-90,2,0.002
MD,Old,90-91,4,0.0039
MD,Old,91-92,2,0.002
MD,Old,92-93,10,0.0098
MD,Old,93-94,6,0.0059
MD,Old,94-95,9,0.0089
MD,Old,95-96,11,0.0108
MD,Old,96-97,11,0.0108
MD,Old,97-98,35,0.0344
MD,Old,98-99,44,0.0433
MD,Old,99-100,865,0.8514
ME,New,<50,1,0.0014
ME,New,50-60,0,0.0
ME,New,60-70,2,0.0029
ME,New,70-80,3,0.0043
ME,New,80-85,7,0.01
ME,New,85-86,3,0.0043
ME,New,86-87,2,0.0029
ME,New,87-88,4,0.0057
ME,New,88-89,3,0.0043
ME,New,89-90,2,0.0029
ME,New,90-91,6,0.0086
ME,New,91-92,5,0.0072
ME,New,92-93,6,0.0086
ME,New,93-94,10,0.0143
ME,New,94-95,20,0.0286
ME,New,95-96,22,0.0315
ME,New,96-97,19,0.0272
ME,New,97-98,42,0.0601
ME,New,98-99,60,0.0858
ME,New,99-100,482,0.6896
ME,Old,<50,0,0.0
ME,Old,50-60,2,0.0029
ME,Old,60-70,3,0.0043
ME,Old,70-80,8,0.0115
ME,Old,80-85,5,0.0072
ME,Old,85-86,5,0.0072
ME,Old,86-87,2,0.0029
ME,Old,87-88,2,0.0029
ME,Old,88-89,2,0.0029
ME,Old,89-90,2,0.0029
ME,Old,90-91,10,0.0144
ME,Old,91-92,10,0.0144
ME,Old,92-93,9,0.013
ME,Old,93-94,14,0.0202
ME,Old,94-95,16,0.0231
ME,Old,95-96,18,0.026
ME,Old,96-97,15,0.0216
ME,Old,97-98,38,0.0548
ME,Old,98-99,52,0.075
ME,Old,99-100,480,0.6926
MN,New,<50,52,0.0298
MN,New,50-60,43,0.0247
MN,New,60-70,77,0.0442
MN,New,70-80,174,0.0998
MN,New,80-85,186,0.1067
MN,New,85-86,41,0.0235
MN,New,86-87,53,0.0304
MN,New,87-88,42,0.0241
MN,New,88-89,62,0.0356
MN,New,89-90,58,0.0333
MN,New,90-91,86,0.0493
MN,New,91-92,65,0.0373
MN,New,92-93,83,0.0476
MN,New,93-94,94,0.0539
MN,New,94-95,81,0.0464
MN,New,95-96,237,0.1359
MN,New,96-97,98,0.0562
MN,New,97-98,94,0.0539
MN,New,98-99,118,0.0677
MN,New,99-100,0,0.0
MN,Old,<50,52,0.0268
MN,Old,50-60,48,0.0248
MN,Old,60-70,112,0.0578
MN,Old,70-80,151,0.0779
MN,Old,80-85,183,0.0944
MN,Old,85-86,51,0.0263
MN,Old,86-87,48,0.0248
MN,Old,87-88,48,0.0248
MN,Old,88-89,89,0.0459
MN,Old,89-90,56,0.0289
MN,Old,90-91,74,0.0382
MN,Old,91-92,65,0.0335
MN,Old,92-93,72,0.0371
MN,Old,93-94,93,0.048
MN,Old,94-95,118,0.0609
MN,Old,95-96,113,0.0583
MN,Old,96-97,118,0.0609
MN,Old,97-98,121,0.0624
MN,Old,98-99,71,0.0366
MN,Old,99-100,256,0.132
NC,New,<50,14,0.0088
NC,New,50-60,15,0.0094
NC,New,60-70,31,0.0194
NC,New,70-80,65,0.0406
NC,New,80-85,90,0.0562
NC,New,85-86,29,0.0181
NC,New,86-87,31,0.0194
NC,New,87-88,32,0.02
NC,New,88-89,52,0.0325
NC,New,89-90,45,0.0281
NC,New,90-91,61,0.0381
NC,New,91-92,79,0.0494
NC,New,92-93,118,0.0738
NC,New,93-94,110,0.0688
NC,New,94-95,122,0.0762
NC,New,95-96,156,0.0975
NC,New,96-97,143,0.0894
NC,New,97-98,138,0.0862
NC,New,98-99,96,0.06
NC,New,99-100,173,0.1081
NC,Old,<50,16,0.0088
NC,Old,50-60,19,0.0105
NC,Old,60-70,34,0.0187
NC,Old,70-80,66,0.0364
NC,Old,80-85,80,0.0441
NC,Old,85-86,36,0.0198
NC,Old,86-87,33,0.0182
NC,Old,87-88,46,0.0254
NC,Old,88-89,46,0.0254
NC,Old,89-90,48,0.0265
NC,Old,90-91,76,0.0419
NC,Old,91-92,87,0.048
NC,Old,92-93,103,0.0568
NC,Old,93-94,128,0.0706
NC,Old,94-95,160,0.0882
NC,Old,95-96,168,0.0926
NC,Old,96-97,183,0.1009
NC,Old,97-98,154,0.0849
NC,Old,98-99,121,0.0667
NC,Old,99-100,210,0.1158
NY,New,<50,41,0.0085
NY,New,50-60,9,0.0019
NY,New,60-70,20,0.0041
NY,New,70-80,25,0.0052
NY,New,80-85,18,0.0037
NY,New,85-86,9,0.0019
NY,New,86-87,3,0.0006
NY,New,87-88,9,0.0019
NY,New,88-89,7,0.0014
NY,New,89-90,8,0.0017
NY,New,90-91,11,0.0023
NY,New,91-92,13,0.0027
NY,New,92-93,22,0.0045
NY,New,93-94,27,0.0056
NY,New,94-95,11,0.0023
NY,New,95-96,38,0.0078
NY,New,96-97,63,0.013
NY,New,97-98,97,0.02
NY,New,98-99,239,0.0493
NY,New,99-100,4177,0.8618
NY,Old,<50,35,0.0068
NY,Old,50-60,15,0.0029
NY,Old,60-70,12,0.0023
NY,Old,70-80,22,0.0042
NY,Old,80-85,11,0.0021
NY,Old,85-86,2,0.0004
NY,Old,86-87,4,0.0008
NY,Old,87-88,6,0.0012
NY,Old,88-89,5,0.001
NY,Old,89-90,6,0.0012
NY,Old,90-91,6,0.0012
NY,Old,91-92,12,0.0023
NY,Old,92-93,14,0.0027
NY,Old,93-94,21,0.0041
NY,Old,94-95,27,0.0052
NY,Old,95-96,41,0.0079
NY,Old,96-97,55,0.0106
NY,Old,97-98,71,0.0137
NY,Old,98-99,195,0.0376
NY,Old,99-100,4621,0.8919
OR,New,<50,22,0.0132
OR,New,50-60,18,0.0108
