State,Bin,Count (New),Count (Old),Proportion (New),Proportion (Old)
KY,86-87,21.0,30.0,0.0134,0.0187
KY,87-88,34.0,25.0,0.0216,0.0156
KY,88-89,49.0,33.0,0.0312,0.0205
KY,89-90,47.0,43.0,0.0299,0.0268
KY,90-91,54.0,55.0,0.0344,0.0342
KY,91-92,57.0,49.0,0.0363,0.0305
KY,92-93,82.0,99.0,0.0522,0.0616
KY,93-94,92.0,76.0,0.0586,0.0473
KY,94-95,102.0,91.0,0.0649,0.0567
KY,95-96,135.0,106.0,0.0859,0.066
KY,96-97,145.0,160.0,0.0923,0.0996
KY,97-98,180.0,139.0,0.1146,0.0866
KY,98-99,126.0,131.0,0.0802,0.0816
KY,99-100,229.0,300.0,0.1458,0.1868
LA,<50,2.0,2.0,0.001,0.001
LA,50-60,3.0,3.0,0.0015,0.0015
LA,60-70,20.0,20.0,0.0098,0.0098
LA,70-80,55.0,55.0,0.0269,0.0269
LA,80-85,79.0,79.0,0.0386,0.0386
LA,85-86,31.0,31.0,0.0152,0.0152
LA,86-87,38.0,38.0,0.0186,0.0186
LA,87-88,39.0,39.0,0.0191,0.0191
LA,88-89,42.0,42.0,0.0205,0.0205
LA,89-90,28.0,28.0,0.0137,0.0137
LA,90-91,65.0,65.0,0.0318,0.0318
LA,91-92,65.0,65.0,0.0318,0.0318
LA,92-93,98.0,98.0,0.0479,0.0479
LA,93-94,73.0,73.0,0.0357,0.0357
LA,94-95,100.0,100.0,0.0489,0.0489
LA,95-96,124.0,124.0,0.0606,0.0606
LA,96-97,166.0,166.0,0.0811,0.0812
LA,97-98,177.0,177.0,0.0865,0.0866
LA,98-99,212.0,212.0,0.1036,0.1037
LA,99-100,629.0,628.0,0.3074,0.3071
MA,<50,2.0,3.0,0.0012,0.0018
MA,50-60,3.0,0.0,0.0017,0.0
MA,60-70,1.0,1.0,0.0006,0.0006
MA,70-80,10.0,13.0,0.0058,0.0076
MA,80-85,19.0,27.0,0.011,0.0158
MA,85-86,3.0,9.0,0.0017,0.0053
MA,86-87,2.0,2.0,0.0012,0.0012
MA,87-88,5.0,10.0,0.0029,0.0059
MA,88-89,8.0,13.0,0.0046,0.0076
MA,89-90,23.0,11.0,0.0133,0.0064
MA,90-91,19.0,13.0,0.011,0.0076
MA,91-92,28.0,26.0,0.0162,0.0152
MA,92-93,28.0,33.0,0.0162,0.0193
MA,93-94,43.0,39.0,0.0249,0.0228
MA,94-95,50.0,53.0,0.0289,0.031
MA,95-96,67.0,80.0,0.0388,0.0468
MA,96-97,94.0,87.0,0.0544,0.0509
MA,97-98,195.0,164.0,0.1128,0.096
MA,98-99,245.0,262.0,0.1418,0.1534
MA,99-100,883.0,862.0,0.511,0.5047
MD,<50,1.0,3.0,0.0009,0.003
MD,50-60,3.0,0.0,0.0028,0.0
MD,60-70,4.0,0.0,0.0038,0.0
MD,70-80,16.0,7.0,0.0151,0.0069
MD,80-85,22.0,2.0,0.0208,0.002
MD,85-86,3.0,2.0,0.0028,0.002
MD,86-87,2.0,0.0,0.0019,0.0
MD,87-88,5.0,3.0,0.0047,0.003
MD,88-89,11.0,0.0,0.0104,0.0
MD,89-90,10.0,2.0,0.0095,0.002
MD,90-91,35.0,4.0,0.0331,0.0039
MD,91-92,21.0,2.0,0.0198,0.002
MD,92-93,31.0,10.0,0.0293,0.0098
MD,93-94,34.0,6.0,0.0321,0.0059
MD,94-95,50.0,9.0,0.0473,0.0089
MD,95-96,76.0,11.0,0.0718,0.0108
MD,96-97,110.0,11.0,0.104,0.0108
MD,97-98,123.0,35.0,0.1163,0.0344
MD,98-99,159.0,44.0,0.1503,0.0433
MD,99-100,342.0,865.0,0.3233,0.8514
ME,<50,1.0,0.0,0.0014,0.0
ME,50-60,0.0,2.0,0.0,0.0029
ME,60-70,2.0,3.0,0.0029,0.0043
ME,70-80,3.0,8.0,0.0043,0.0115
