Facility Number,School Type,School District or Name,Facility Address,County,MMR Vaccination Rate,Age Group
9057829000,Public School,A+ ACADEMY,"8225 BRUTON RD, DALLAS, TX, .",Dallas,100.0,Kindergarten
9109901000,Public School,ABBOTT ISD,"P O BOX 226, ABBOTT, TX, .",Hill,92.31,Kindergarten
9095901000,Public School,ABERNATHY ISD,"505 7TH ST, ABERNATHY, TX, .",Hale,86.67,Kindergarten
9221901000,Public School,ABILENE ISD,"P O BOX 981, ABILENE, TX, .",Taylor,94.94,Kindergarten
9014901000,Public School,ACADEMY ISD,"704 E MAIN ST, LITTLE RIVER, TX, .",Bell,96.9,Kindergarten
9101810000,Public School,ACADEMY OF ACCELERATED LEARNING INC,"5300 BRAESWOOD #8, HOUSTON, TX, .",Harris,100.0,Kindergarten
7227109001,Private School,AESA Prep Academy,"13730 W Highway 290, Austin, TX, .",Travis,78.57,Kindergarten
9178901000,Public School,AGUA DULCE ISD,"P O BOX 250, AGUA DULCE, TX, .",Nueces,95.0,Kindergarten
7227360001,Private School,AHB Community School,"1509 Dartmouth Ave., Austin, TX, .",Travis,100.0,Kindergarten
9015901000,Public School,ALAMO HEIGHTS ISD,"7101 BROADWAY ST, SAN ANTONIO, TX, .",Bexar,96.91,Kindergarten
9250906000,Public School,ALBA-GOLDEN ISD,"1373 CR 2377, ALBA, TX, .",Wood,83.67,Kindergarten
9209901000,Public School,ALBANY ISD,"P O BOX 2050, ALBANY, TX, .",Shackelford,94.44,Kindergarten
9101902000,Public School,ALDINE ISD,"2520 W W THORNE DR, HOUSTON, TX, .",Harris,90.41,Kindergarten
9184907000,Public School,ALEDO ISD,"1008 BAILEY RANCH RD, ALEDO, TX, .",Parker,89.03,Kindergarten
9125901000,Public School,ALICE ISD,"#2 COYOTE TRL, ALICE, TX, .",Jim Wells,97.02,Kindergarten
9101903000,Public School,ALIEF ISD,"P O BOX 68, ALIEF, TX, .",Harris,90.01,Kindergarten
9101815000,Public School,ALIEF MONTESSORI COMMUNITY SCHOOL,"12013 6TH ST, HOUSTON, TX, .",Harris,97.67,Kindergarten
9043901000,Public School,ALLEN ISD,"P O BOX 13, ALLEN, TX, .",Collin,94.43,Kindergarten
9022901000,Public School,ALPINE ISD,"704 W SUL ROSS AVE, ALPINE, TX, .",Brewster,86.21,Kindergarten
