Facility Number,School Type,School District or Name,Facility Address,County,MMR Vaccination Rate,Age Group
500402226151.0,Private School,CONGREGATION KHAL YEREIM YESH BAIS HILLEL,,Rockland,100.0,All Grades
580101030002.0,Public School,BABYLON J S H S,,Suffolk,99.85,All Grades
411701040001.0,Public School,REMSEN ELEM SCHOOL,,Oneida,100.0,All Grades
331900228395.0,Private School,BEER HAGOLAH INSTITUTE ELEMENTARY SCHOOL,,Kings,98.0,All Grades
580211060009.0,Public School,DAWNWOOD J H S,,Suffolk,100.0,All Grades
580413998548.0,Private School,LONG ISLAND SCHOOL-GIFTED,,Suffolk,100.0,All Grades
141800010000.0,Public School,LACKAWANNA CITY SCHOOL DISTRICT,,Erie,99.41,All Grades
460102040006.0,Public School,ALTMAR-PARISH-WILLIAMSTOWN JR/SR HS,,Oswego,100.0,All Grades
61503040002.0,Public School,FORESTVILLE ES,,Chautauqua,100.0,All Grades
410601040007.0,Public School,CAMDEN ELEM SCHOOL,,Oneida,85.64,All Grades
21601040004.0,Public School,FRIENDSHIP CENTRAL SCHOOL,,Allegany,100.0,All Grades
280517998105.0,Private School,BROOKVILLE CENTER FOR CHILDREN'S SERVICES,,Nassau,96.75,All Grades
140101060006.0,Public School,ALDEN SENIOR HIGH SCHOOL,,Erie,100.0,All Grades
661100010011.0,Public School,DANIEL WEBSTER ELEM SCHOOL,,Westchester,100.0,All Grades
211701040000.0,School District,VAN HORNSVILLE-O D YOUNG CENTRAL SCH,,Herkimer,98.73,All Grades
260501060001.0,Public School,AUTUMN LANE ELEM SCHOOL,,Monroe,100.0,All Grades
51101658564.0,Private School,FINGER LAKES MENNONITE SCHOOL,,Cayuga,94.44,All Grades
60701655117.0,Private School,MAPLE LANE SCHOOL,,Chautauqua,62.96,All Grades
332100126097.0,Private School,OUR LADY OF GRACE SCHOOL,,Kings,99.4,All Grades
130200010006.0,Public School,SARGENT SCHOOL,,Dutchess,99.61,All Grades
580512030016.0,Public School,NORTH MIDDLE SCHOOL,,Suffolk,99.43,All Grades
512300010004.0,Public School,GRANT C MADILL ELEMENTARY SCHOOL,,St.Lawrence,100.0,All Grades
332000996880.0,Private School,ADELPHI ACADEMY,,Kings,100.0,All Grades
280404996624.0,Private School,VINCENT SMITH SCHOOL,,Nassau,100.0,All Grades
230201040001.0,Public School,COPENHAGEN CENTRAS SCHOOL,,Lewis,97.76,All Grades
662200010005.0,Public School,POST ROAD SCHOOL,,Westchester,99.83,All Grades
580413999321.0,Private School,DAYTOP PREPARATORY SCHOOL,,Suffolk,100.0,All Grades
421800010041.0,Public School,DELAWARE SCHOOL,,Onondaga,96.7,All Grades
131601060008.0,Public School,ARLINGTON HS,,Dutchess,100.0,All Grades
332000126013.0,Private School,BAY RIDGE CATHOLIC ACADEMY,,Kings,100.0,All Grades
260401060001.0,Public School,GATES CHILI H S,,Monroe,100.0,All Grades
