,Facility Number,School Type,School District or Name,County,MMR Vaccination Rate,Age Group,Facility Address
0,3700011,School District,Cumberland County Schools,Cumberland County,86.72,Kindergarten,
1,3700012,School District,Pitt County Schools,Pitt County,94.25,Kindergarten,
2,3700030,School District,Alamance-Burlington Schools,Alamance County,95.1,Kindergarten,
3,3700090,School District,Alexander County Schools,Alexander County,94.23,Kindergarten,
4,3700120,School District,Alleghany County Schools,Alleghany County,94.23,Kindergarten,
5,3700180,School District,Anson County Schools,Anson County,96.38,Kindergarten,
6,3700210,School District,Ashe County Schools,Ashe County,91.36,Kindergarten,
7,3700240,School District,Asheboro City Schools,Randolph County,96.58,Kindergarten,
8,3700270,School District,Asheville City Schools,Buncombe County,94.63,Kindergarten,
9,3700300,School District,Avery County Schools,Avery County,92.7,Kindergarten,
10,3700330,School District,Beaufort County Schools,Beaufort County,95.18,Kindergarten,
11,3700360,School District,Bertie County Schools,Bertie County,97.14,Kindergarten,
12,3700390,School District,Bladen County Schools,Bladen County,93.54,Kindergarten,
13,3700420,School District,Brunswick County Schools,Brunswick County,95.63,Kindergarten,
14,3700450,School District,Buncombe County Schools,Buncombe County,92.35,Kindergarten,
15,3700480,School District,Burke County Schools,Burke County,96.79,Kindergarten,
16,3700530,School District,Cabarrus County Schools,Cabarrus County,94.15,Kindergarten,
17,3700580,School District,Caldwell County Schools,Caldwell County,94.27,Kindergarten,
18,3700600,School District,Camden County Schools,Camden County,96.4,Kindergarten,
19,3700630,School District,Carteret County Schools,Carteret County,96.61,Kindergarten,
20,3700660,School District,Caswell County Schools,Caswell County,92.07,Kindergarten,
21,3700690,School District,Catawba County Schools,Catawba County,94.38,Kindergarten,
22,3700720,School District,Chapel Hill-Carrboro Schools,Orange County,98.68,Kindergarten,
23,3700750,School District,Chatham County Schools,Chatham County,93.63,Kindergarten,
24,3700780,School District,Cherokee County Schools,Cherokee County,83.69,Kindergarten,
25,3700840,School District,Edenton-Chowan Schools,Chowan County,95.93,Kindergarten,
26,3700870,School District,Clay County Schools,Clay County,86.6,Kindergarten,
27,3700900,School District,Cleveland County Schools,Cleveland County,95.62,Kindergarten,
28,3700930,School District,Clinton City Schools,Sampson County,97.3,Kindergarten,
29,3700960,School District,Columbus County Schools,Columbus County,93.59,Kindergarten,
30,3701080,School District,Currituck County Schools,Currituck County,94.98,Kindergarten,
31,3701110,School District,Dare County Schools,Dare County,97.01,Kindergarten,
32,3701140,School District,Davidson County Schools,Davidson County,96.75,Kindergarten,
33,3701170,School District,Davie County Schools,Davie County,95.17,Kindergarten,
34,3701200,School District,Duplin County Schools,Duplin County,96.1,Kindergarten,
35,3701260,School District,Durham Public Schools,Durham County,52.63,Kindergarten,
36,3701320,School District,Edgecombe County Schools,Edgecombe County,88.65,Kindergarten,
37,3701380,School District,Elkin City Schools,Surry County,93.68,Kindergarten,
38,3701500,School District,Forsyth County Schools,Forsyth County,93.26,Kindergarten,
39,3701530,School District,Franklin County Schools,Franklin County,92.67,Kindergarten,
40,3701620,School District,Gaston County Schools,Gaston County,92.75,Kindergarten,
41,3701680,School District,Gates County Schools,Gates County,95.51,Kindergarten,
42,3701770,School District,Graham County Schools,Graham County,87.36,Kindergarten,
43,3701800,School District,Granville County Schools,Granville County,96.38,Kindergarten,
44,3701830,School District,Greene County Schools,Greene County,98.48,Kindergarten,
45,3701920,School District,Guilford County Schools,Guilford County,92.19,Kindergarten,
46,3701950,School District,Halifax County Schools,Halifax County,95.78,Kindergarten,
47,3702010,School District,Harnett County Schools,Harnett County,90.51,Kindergarten,
48,3702040,School District,Haywood County Schools,Haywood County,94.75,Kindergarten,
49,3702100,School District,Henderson County Schools,Henderson County,86.87,Kindergarten,
50,3702160,School District,Hertford County Schools,Hertford County,96.11,Kindergarten,
51,3702190,School District,Hickory City Schools,Catawba County,96.02,Kindergarten,
52,3702250,School District,Hoke County Schools,Hoke County,92.9,Kindergarten,
53,3702280,School District,Hyde County Schools,Hyde County,100.0,Kindergarten,
54,3702310,School District,Iredell-Statesville Schools,Iredell County,94.96,Kindergarten,
55,3702340,School District,Jackson County Schools,Jackson County,89.73,Kindergarten,
56,3702370,School District,Johnston County Schools,Johnston County,95.55,Kindergarten,
57,3702400,School District,Jones County Schools,Jones County,97.53,Kindergarten,
58,3702430,School District,Kannapolis City Schools,Cabarrus County,92.92,Kindergarten,
59,3702430,School District,Kannapolis City Schools,Rowan County,97.67,Kindergarten,
60,3702560,School District,Lee County Schools,Lee County,94.31,Kindergarten,
61,3702610,School District,Lenoir County Schools,Lenoir County,93.95,Kindergarten,
62,3702640,School District,Lexington City Schools,Davidson County,90.57,Kindergarten,
63,3702680,School District,Lincoln County Schools,Lincoln County,90.66,Kindergarten,
64,3702760,School District,Macon County Schools,Macon County,92.36,Kindergarten,
65,3702820,School District,Madison County Schools,Madison County,92.9,Kindergarten,
66,3702880,School District,Martin County Schools,Martin County,94.57,Kindergarten,
67,3702940,School District,McDowell County Schools,McDowell County,95.65,Kindergarten,
68,3702970,School District,Charlotte-Mecklenburg Schools,Mecklenburg County,90.21,Kindergarten,
69,3703000,School District,Mitchell County Schools,Mitchell County,91.27,Kindergarten,
70,3703060,School District,Montgomery County Schools,Montgomery County,96.69,Kindergarten,
71,3703090,School District,Moore County Schools,Moore County,95.17,Kindergarten,
72,3703120,School District,Mooresville City Schools,Iredell County,95.31,Kindergarten,
73,3703210,School District,Mount Airy City Schools,Surry County,99.2,Kindergarten,
74,3703270,School District,Nash-Rocky Mount Schools,Edgecombe County,87.05,Kindergarten,
75,3703270,School District,Nash-Rocky Mount Schools,Nash County,95.72,Kindergarten,
76,3703310,School District,Craven County Schools,Craven County,95.57,Kindergarten,
77,3703330,School District,New Hanover County Schools,New Hanover County,93.3,Kindergarten,
78,3703360,School District,Newton-Conover City Schools,Catawba County,95.09,Kindergarten,
79,3703450,School District,Onslow County Schools,Onslow County,91.2,Kindergarten,
80,3703480,School District,Orange County Schools,Orange County,95.88,Kindergarten,
81,3703510,School District,Pamlico County Schools,Pamlico County,100.0,Kindergarten,
82,3703540,School District,Pasquotank County Schools,Pasquotank County,95.55,Kindergarten,
83,3703570,School District,Pender County Schools,Pender County,93.24,Kindergarten,
84,3703600,School District,Perquimans County Schools,Perquimans County,94.55,Kindergarten,
85,3703630,School District,Person County Schools,Person County,97.01,Kindergarten,
86,3703720,School District,Polk County Schools,Polk County,91.84,Kindergarten,
87,3703780,School District,Randolph County Schools,Randolph County,94.52,Kindergarten,
88,3703870,School District,Richmond County Schools,Richmond County,98.01,Kindergarten,
89,3703900,School District,Roanoke Rapids City Schools,Halifax County,89.01,Kindergarten,
90,3703930,School District,Robeson County Schools,Robeson County,93.22,Kindergarten,
91,3703990,School District,Rockingham County Schools,Rockingham County,94.79,Kindergarten,
92,3704050,School District,Rowan-Salisbury Schools,Rowan County,90.36,Kindergarten,
93,3704080,School District,Rutherford County Schools,Rutherford County,95.0,Kindergarten,
94,3704140,School District,Sampson County Schools,Sampson County,94.75,Kindergarten,
95,3704200,School District,Scotland County Schools,Scotland County,92.89,Kindergarten,
96,3704320,School District,Stanly County Schools,Stanly County,95.05,Kindergarten,
97,3704380,School District,Stokes County Schools,Stokes County,95.8,Kindergarten,
98,3704410,School District,Surry County Schools,Surry County,96.28,Kindergarten,
99,3704440,School District,Swain County Schools,Swain County,92.81,Kindergarten,
100,3704500,School District,Thomasville City Schools,Davidson County,94.41,Kindergarten,
101,3704530,School District,Transylvania County Schools,Transylvania County,91.3,Kindergarten,
102,3704590,School District,Tyrrell County Schools,Tyrrell County,95.65,Kindergarten,
103,3704620,School District,Union County Public Schools,Union County,90.82,Kindergarten,
104,3704650,School District,Vance County Schools,Vance County,94.92,Kindergarten,
105,3704720,School District,Wake County Schools,Wake County,93.79,Kindergarten,
106,3704740,School District,Warren County Schools,Warren County,94.02,Kindergarten,
107,3704800,School District,Washington County Schools,Washington County,92.75,Kindergarten,
108,3704830,School District,Watauga County Schools,Watauga County,95.11,Kindergarten,
109,3704880,School District,Wayne County Public Schools,Wayne County,96.82,Kindergarten,
110,3704890,School District,Weldon City Schools,Halifax County,93.18,Kindergarten,
111,3704920,School District,Whiteville City Schools,Columbus County,88.06,Kindergarten,
112,3704950,School District,Wilkes County Schools,Wilkes County,97.03,Kindergarten,
113,3705020,School District,Wilson County Schools,Wilson County,88.73,Kindergarten,
114,3705040,School District,Yadkin County Schools,Yadkin County,96.57,Kindergarten,
115,3705070,School District,Yancey County Schools,Yancey County,97.02,Kindergarten,
116,1,Private,Alamance Christian School,Alamance County,80.0,Kindergarten,
117,370046703528,Charter/Lab,Alamance Community School,Alamance County,98.1,Kindergarten,"195 Kronbergs Court, Haw River, NC 27258"
118,370003000001,Public,Alexander Wilson Elementary,Alamance County,96.4,Kindergarten,"2518 NC 54, Graham, NC 27253"
119,370003000002,Public,Altamahaw-Ossipee Elementary,Alamance County,94.7,Kindergarten,"2832 N NC 87, Elon, NC 27244"
120,370003002501,Public,Audrey W. Garrett Elementary,Alamance County,93.9,Kindergarten,"3224 Old Hillsborough Road, Mebane, NC 27302"
121,370003000003,Public,B. Everett Jordan Elementary,Alamance County,97.8,Kindergarten,"5827 Church Road, Graham, NC 27253"
122,2,Private,Bradford Academy,Alamance County,86.2,Kindergarten,
123,3,Private,Burlington Christian Academy,Alamance County,96.1,Kindergarten,
124,370011602565,Charter/Lab,Clover Garden,Alamance County,98.5,Kindergarten,"2454 Altamahaw Union Ridge Roa, Burlington, NC 27217"
125,370003000005,Public,E M Yoder Elementary,Alamance County,93.5,Kindergarten,"301 N Charles Street, Mebane, NC 27302"
126,370003000197,Public,Eastlawn Elementary,Alamance County,100.0,Kindergarten,"502 N Graham Hopedale Road, Burlington, NC 27217"
127,370003000007,Public,Edwin M Holt Elementary,Alamance County,91.8,Kindergarten,"4751 S NC 62, Burlington, NC 27215"
128,370003000008,Public,Elon Elementary,Alamance County,97.4,Kindergarten,"720 Walker Road, Elon, NC 27244"
129,4,Private,Grace Christian Academy,Alamance County,84.6,Kindergarten,
130,370003000199,Public,Grove Park Elementary,Alamance County,94.1,Kindergarten,"141 Trail One, Burlington, NC 27215"
131,370003000200,Public,Harvey R Newlin Elementary,Alamance County,94.4,Kindergarten,"316 Carden Street, Burlington, NC 27215"
132,370003000011,Public,Haw River Elementary,Alamance County,87.0,Kindergarten,"701 E Main Street, Haw River, NC 27258"
133,370003002838,Public,Highland Elementary,Alamance County,97.0,Kindergarten,"3720 Bonnar Bridge Parkway, Burlington, NC 27215"
134,370003000201,Public,Hillcrest Elementary,Alamance County,94.9,Kindergarten,"1714 W Davis Street, Burlington, NC 27215"
135,370003000203,Public,Marvin B Smith Elementary,Alamance County,96.4,Kindergarten,"2235 Delaney Drive, Burlington, NC 27215"
136,370003000012,Public,North Graham Elementary,Alamance County,95.2,Kindergarten,"1025 Trollinger Road, Graham, NC 27253"
137,370003000013,Public,Pleasant Grove Elementary,Alamance County,94.2,Kindergarten,"2847 Pleasant Grv Sch Road, Burlington, NC 27217"
138,370003000204,Public,R Homer Andrews Elementary,Alamance County,94.9,Kindergarten,"2630 Buckingham Road, Burlington, NC 27217"
139,370005002366,Charter/Lab,River Mill Academy,Alamance County,98.5,Kindergarten,"235 Cheeks Lane, Graham, NC 27253"
140,370003000014,Public,South Graham Elementary,Alamance County,95.8,Kindergarten,"320 Ivey Road, Graham, NC 27253"
141,370003000015,Public,South Mebane Elementary,Alamance County,96.6,Kindergarten,"600 S 3rd Street, Mebane, NC 27302"
142,370003000018,Public,Sylvan Elementary,Alamance County,92.3,Kindergarten,"7718 Sylvan Road, Snow Camp, NC 27349"
143,5,Private,The Burlington School,Alamance County,100.0,Kindergarten,
144,370013202703,Charter/Lab,The Hawbridge School,Alamance County,93.8,Kindergarten,"1735 Saxapahaw Bethlehem Churc, Saxapahaw, NC 27340"
145,370009000029,Public,Bethlehem Elementary,Alexander County,90.0,Kindergarten,"7900 NC Hwy 127, Taylorsville, NC 28681"
146,370009000032,Public,Ellendale Elementary,Alexander County,96.6,Kindergarten,"175 Ellendale Park Lane, Taylorsville, NC 28681"
147,370009000031,Public,Hiddenite Elementary,Alexander County,98.4,Kindergarten,"374 Sulphur Springs Road, Hiddenite, NC 28636"
148,6,Private,Millersville Christian Academy,Alexander County,100.0,Kindergarten,
149,370009000033,Public,Stony Point Elementary,Alexander County,96.8,Kindergarten,"311 Stony Point School Road, Stony Point, NC 28678"
150,370009000034,Public,Sugar Loaf Elementary,Alexander County,88.9,Kindergarten,"3600 NC Hwy 16N, Taylorsville, NC 28681"
151,370009000030,Public,Taylorsville Elementary,Alexander County,100.0,Kindergarten,"100 7th Street SW, Taylorsville, NC 28681"
152,370009000036,Public,Wittenburg Elementary,Alexander County,91.1,Kindergarten,"7300 Church Road, Taylorsville, NC 28681"
153,370012000038,Public,Glade Creek Elementary,Alleghany County,93.1,Kindergarten,"32 Glade Creek Sch Road, Ennice, NC 28623"
154,370012000039,Public,Piney Creek Elementary,Alleghany County,100.0,Kindergarten,"559 Piney Creek Sch Road, Piney Creek, NC 28663"
155,370012000040,Public,Sparta Elementary,Alleghany County,92.3,Kindergarten,"450 N Main Street, Sparta, NC 28675"
156,370018000042,Public,Ansonville Elementary,Anson County,100.0,Kindergarten,"9104 Hwy 52 N, Ansonville, NC 28007"
157,370018000049,Public,Lilesville Elementary,Anson County,91.2,Kindergarten,"121 Camden Street, Lilesville, NC 28091"
158,370018000046,Public,Morven Elementary,Anson County,100.0,Kindergarten,"6715 Hwy 52 S, Morven, NC 28119"
159,370018000953,Public,Peachland-Polkton Elem,Anson County,97.3,Kindergarten,"9633 Hwy 74 W, Peachland, NC 28133"
160,370018000044,Public,Wadesboro Primary,Anson County,95.1,Kindergarten,"1542 Hwy 52 S, Wadesboro, NC 28170"
161,370021000971,Public,Blue Ridge Elementary,Ashe County,91.7,Kindergarten,"5778 NC Hwy 88 W, Warrensville, NC 28693"
162,370021002284,Public,Mountain View Elementary,Ashe County,93.2,Kindergarten,"2789 Hwy 221 N, Jefferson, NC 28640"
163,370021002704,Public,Westwood Elementary,Ashe County,89.1,Kindergarten,"4083 US Hwy 221S, West Jefferson, NC 28694"
164,370030000082,Public,Banner Elk Elementary,Avery County,84.6,Kindergarten,"155 Orchard Lane, Banner Elk, NC 28604"
165,370030000084,Public,Crossnore Elementary,Avery County,100.0,Kindergarten,"1000 Walt Clark Road, Crossnore, NC 28616"
166,370030001760,Public,Freedom Trail Elementary,Avery County,90.6,Kindergarten,"6110 North US Hwy 19E, Elk Park, NC 28622"
167,370007702427,Charter/Lab,Marjorie Williams Academy,Avery County,100.0,Kindergarten,"129 Allen Circle, Newland, NC 28657"
168,370030000088,Public,Newland Elementary,Avery County,91.4,Kindergarten,"750 Linville Street, Newland, NC 28657"
169,370030000089,Public,Riverside Elementary,Avery County,100.0,Kindergarten,"8020 US 19E Hwy South, Newland, NC 28657"
170,370033000091,Public,Bath Elementary,Beaufort County,91.7,Kindergarten,"110 S King Street, Bath, NC 27808"
171,370033002106,Public,Chocowinity Primary,Beaufort County,96.7,Kindergarten,"606 Gray Road, Chocowinity, NC 27817"
172,370033001922,Public,Eastern Elementary,Beaufort County,98.2,Kindergarten,"947 Hudnell Street, Washington, NC 27889"
173,370033002568,Public,Northeast Elementary,Beaufort County,92.3,Kindergarten,"21000 US Hwy 264 East, Pinetown, NC 27865"
174,7,Private,Pungo Christian Academy,Beaufort County,93.8,Kindergarten,
175,370033000098,Public,S W Snowden Elementary,Beaufort County,62.5,Kindergarten,"693 North 7th Street, Aurora, NC 27806"
176,8,Private,Terra Ceia Christian School,Beaufort County,91.7,Kindergarten,
177,9,Private,Unity Christian Academy,Beaufort County,100.0,Kindergarten,
178,10,Private,Bethel Assembly Christian Acad.,Bertie County,100.0,Kindergarten,
179,370036000107,Public,Colerain Elementary,Bertie County,96.3,Kindergarten,"202 N Academy Street, Colerain, NC 27924"
180,11,Private,Lawrence Academy,Bertie County,91.3,Kindergarten,
181,370036000106,Public,West Bertie Elementary,Bertie County,100.0,Kindergarten,"3734 Governors Road, Kelford, NC 27847"
182,370036002285,Public,Windsor Elementary,Bertie County,96.3,Kindergarten,"104 Cooper Hill Road, Windsor, NC 27983"
183,370039000111,Public,Bladen Lakes Primary,Bladen County,96.9,Kindergarten,"9554 Johnsontown Road, Elizabethtown, NC 28337"
184,370039002150,Public,Bladenboro Primary,Bladen County,95.2,Kindergarten,"312 Old Whiteville Road, Bladenboro, NC 28320"
185,370039000114,Public,Dublin Primary,Bladen County,92.3,Kindergarten,"7048 Albert Street, Dublin, NC 28332"
186,12,Private,Elizabethtown Christian Academy,Bladen County,100.0,Kindergarten,
187,370039000118,Public,Elizabethtown Primary,Bladen County,90.9,Kindergarten,"301 Mercer Road, Elizabethtown, NC 28337"
188,370041303430,Charter/Lab,Emereau: Bladen,Bladen County,98.0,Kindergarten,"995 Airport Rd, Elizabethtown, NC 28337"
189,370039000119,Public,Plain View Primary,Bladen County,94.7,Kindergarten,"1963 Chicken Foot Road, Tar Heel, NC 28392"
190,13,Private,Academy of Coastal Carolina,Brunswick County,66.7,Kindergarten,
191,370042001771,Public,Belville Elementary,Brunswick County,92.3,Kindergarten,"575 River Road, Leland, NC 28451"
192,370042000122,Public,Bolivia Elementary,Brunswick County,96.0,Kindergarten,"4036 Business Hwy 17-E, Bolivia, NC 28422"
193,370010202506,Charter/Lab,Classical Charter Schools of Leland,Brunswick County,93.2,Kindergarten,"7055 Bacon's Way, Leland, NC 28451"
194,370037803334,Charter/Lab,Classical Charter Schools of Southport,Brunswick County,98.7,Kindergarten,"2260 Achievement Ave SE, Bolivia, NC 28422"
195,370042002621,Public,Jessie Mae Monroe Elementary,Brunswick County,98.0,Kindergarten,"250 Pea Landing Road NW, Ash, NC 28420"
196,370042000124,Public,Lincoln Elementary,Brunswick County,99.2,Kindergarten,"1664 Lincoln Road, Leland, NC 28451"
197,14,Private,Southeastern Christian Academy,Brunswick County,95.0,Kindergarten,
198,15,Private,Southport Christian School,Brunswick County,75.0,Kindergarten,
199,370042000129,Public,Southport Elementary,Brunswick County,94.5,Kindergarten,"701 West 9th Street, Southport, NC 28461"
200,370042000053,Public,Supply Elementary,Brunswick County,94.3,Kindergarten,"51 Benton Road SE, Supply, NC 28462"
201,370042003134,Public,Town Creek Elementary,Brunswick County,94.4,Kindergarten,"6330 Lake Park Dr SE, Winnabow, NC 28479"
202,370042000130,Public,Union Elementary,Brunswick County,97.9,Kindergarten,"180 Union School Road NW, Shallotte, NC 28470"
203,370042002428,Public,Virginia Williamson Elem,Brunswick County,93.8,Kindergarten,"1020 Zion Hill Road, Bolivia, NC 28422"
204,370042000131,Public,Waccamaw,Brunswick County,98.0,Kindergarten,"5901 Waccamaw School Road NW, Ash, NC 28420"
205,370011702569,Charter/Lab,ArtSpace Charter School,Buncombe County,88.2,Kindergarten,"2030 US Hwy 70, Swannanoa, NC 28778"
206,16,Private,Asheville Christian Academy,Buncombe County,82.9,Kindergarten,
207,17,Private,Asheville Montessori School,Buncombe County,81.8,Kindergarten,
208,370046903552,Charter/Lab,Asheville PEAK Academy,Buncombe County,76.3,Kindergarten,"27 Balm Grove Avenue, Asheville, NC 28806"
209,18,Private,Asheville Waldorf School,Buncombe County,37.5,Kindergarten,
210,19,Private,Asheville-Pisgah Christian Sch.,Buncombe County,52.6,Kindergarten,
211,370045001781,Public,Avery's Creek Elementary,Buncombe County,94.9,Kindergarten,"15 Park South Boulevard, Arden, NC 28704"
212,370045001003,Public,Barnardsville Elementary,Buncombe County,95.2,Kindergarten,"20 Hillcrest Drive, Barnardsville, NC 28709"
213,370045000139,Public,Bell Elementary,Buncombe County,97.4,Kindergarten,"90 Maple Springs Road, Asheville, NC 28805"
214,370045000138,Public,Black Mountain Primary,Buncombe County,93.6,Kindergarten,"301 East State Street, Black Mountain, NC 28711"
215,370045000140,Public,Candler Elementary,Buncombe County,89.4,Kindergarten,"121 Candler School Road, Candler, NC 28715"
216,20,Private,Carolina Day School,Buncombe County,91.2,Kindergarten,
217,370027000072,Public,Claxton Elementary,Buncombe County,95.7,Kindergarten,"241 Merrimon Avenue, Asheville, NC 28801"
218,370045000146,Public,Emma Elementary,Buncombe County,96.2,Kindergarten,"37 Brickyard Road, Asheville, NC 28806"
219,21,Private,Emmanuel Lutheran School,Buncombe County,100.0,Kindergarten,
220,370045002063,Public,Estes Elementary,Buncombe County,92.2,Kindergarten,"275 Overlook Road, Asheville, NC 28803"
221,370007802430,Charter/Lab,Evergreen Community Charter,Buncombe County,81.8,Kindergarten,"50 Bell Road, Asheville, NC 28805"
222,370045000148,Public,Fairview Elementary,Buncombe County,93.8,Kindergarten,"1355 Charlotte Hwy, Fairview, NC 28730"
223,370001702069,Charter/Lab,Francine Delany New School,Buncombe County,81.0,Kindergarten,"119 Brevard Road, Asheville, NC 28806"
224,370045000151,Public,Glen Arden Elementary,Buncombe County,97.5,Kindergarten,"50 Pinehurst Circle, Arden, NC 28704"
225,370027000071,Public,Hall Fletcher Elementary,Buncombe County,97.5,Kindergarten,"60 Ridgelawn Road, Asheville, NC 28806"
226,370045000152,Public,Haw Creek Elementary,Buncombe County,87.9,Kindergarten,"10 Bethesda Road, Asheville, NC 28805"
227,370045002508,Public,Hominy Valley Elementary,Buncombe County,95.7,Kindergarten,"450 Enka Lake Road, Candler, NC 28715"
228,370036903340,Charter/Lab,IC Imagine,Buncombe County,95.1,Kindergarten,"110 Champion Way, Asheville, NC 28806"
229,370027002202,Public,Isaac Dickson Elementary,Buncombe County,92.7,Kindergarten,"125 Hill Street, Asheville, NC 28801"
230,370045000153,Public,Johnston Elementary,Buncombe County,89.3,Kindergarten,"230 Johnston Boulevard, Asheville, NC 28806"
231,22,Private,Learning Community Sch,Buncombe County,83.3,Kindergarten,
232,370045000154,Public,Leicester Elementary,Buncombe County,90.6,Kindergarten,"31 Gilbert Road, Leicester, NC 28748"
233,370027000080,Public,Lucy S. Herring Elementary,Buncombe County,92.5,Kindergarten,"98 Sulphur Springs Road, Asheville, NC 28806"
234,370507103642,Charter/Lab,Mountain City Public Montessori,Buncombe County,57.1,Kindergarten,"27 Church Street, Asheville, NC 28801"
235,370045002259,Public,North Buncombe Elementary,Buncombe County,92.2,Kindergarten,"251 Flat Creek Church Rd, Weaverville, NC 28787"
236,370045000157,Public,Oakley Elementary,Buncombe County,94.5,Kindergarten,"753 Fairview Road, Asheville, NC 28803"
237,23,Private,Odyssey Community School,Buncombe County,64.7,Kindergarten,
238,370045000159,Public,Pisgah Elementary,Buncombe County,90.3,Kindergarten,"1495 Pisgah Hwy, Candler, NC 28715"
239,24,Private,Rainbow Community School,Buncombe County,85.0,Kindergarten,
240,25,Private,Reynolds Mountain Christ. Acad.,Buncombe County,88.5,Kindergarten,
241,370045000626,Public,Sand Hill-Venable Elem,Buncombe County,87.0,Kindergarten,"154 Sand Hill School Road, Asheville, NC 28806"
242,26,Private,Temple Baptist School,Buncombe County,23.5,Kindergarten,
243,27,Private,Trinity of Fairview Academy,Buncombe County,76.2,Kindergarten,
244,370045000168,Public,Weaverville Primary,Buncombe County,91.0,Kindergarten,"39 S Main Street, Weaverville, NC 28787"
245,370045000169,Public,West Buncombe Elementary,Buncombe County,88.2,Kindergarten,"175 Erwin Hills Road, Asheville, NC 28806"
246,370045000163,Public,Williams Elementary,Buncombe County,94.7,Kindergarten,"161 Bee Tree Road, Swannanoa, NC 28778"
247,370045000170,Public,Woodfin Elementary,Buncombe County,93.3,Kindergarten,"108 Elk Mountain Road, Asheville, NC 28804"
248,28,Private,Christ Classical Academy,Burke County,75.7,Kindergarten,
249,370048002705,Public,Drexel Elementary,Burke County,97.0,Kindergarten,"100 Alta Vista Street, Morganton, NC 28655"
250,370048000175,Public,Forest Hill Elementary,Burke County,100.0,Kindergarten,"304 Ann Street, Morganton, NC 28655"
251,370048000177,Public,George Hildebrand Elementary,Burke County,95.1,Kindergarten,"8078 G Hildebrand Sch Road, Connelly Springs, NC 28612"
252,370048000179,Public,Glen Alpine Elementary,Burke County,98.0,Kindergarten,"302 London Street, Morganton, NC 28655"
253,370048000182,Public,Hildebran Elementary,Burke County,93.5,Kindergarten,"703 US Hwy 70 West, Hildebran, NC 28637"
254,370048000183,Public,Hillcrest Elementary,Burke County,94.7,Kindergarten,"201 Tennessee Street, Morganton, NC 28655"
255,370048000184,Public,Icard Elementary,Burke County,95.0,Kindergarten,"3087 Icard School Road, Connelly Springs, NC 28612"
256,29,Private,Morganton Day School,Burke County,100.0,Kindergarten,
257,370048003480,Public,Mountain View Elementary,Burke County,95.0,Kindergarten,"805 Bouchelle St, Morganton, NC 28655"
258,370048000187,Public,Mull Elementary,Burke County,97.1,Kindergarten,"1140 Old NC 18 South, Morganton, NC 28655"
259,370011802603,Charter/Lab,New Dimensions,Burke County,96.8,Kindergarten,"550 Lenoir Road, Morganton, NC 28655"
260,370048000188,Public,Oak Hill Elementary,Burke County,98.2,Kindergarten,"2363 NC 181, Morganton, NC 28655"
261,370048002431,Public,Ray Childers Elementary,Burke County,98.5,Kindergarten,"1183 Cape Hickory Road, Hickory, NC 28601"
262,370048000191,Public,Salem Elementary,Burke County,96.8,Kindergarten,"1329 Salem Road, Morganton, NC 28655"
263,370048000193,Public,Valdese Elementary,Burke County,98.6,Kindergarten,"298 Praley Street, Valdese, NC 28690"
264,370048002432,Public,W A Young Elementary,Burke County,97.8,Kindergarten,"325 Conley Road, Morganton, NC 28655"
265,370053000208,Public,A T Allen Elementary,Cabarrus County,92.2,Kindergarten,"3939 Abilene Rd, Concord, NC 28025"
266,370037203324,Charter/Lab,A.C.E. Academy,Cabarrus County,100.0,Kindergarten,"7807 Caldwell Road, Harrisburg, NC 28075"
267,370053000209,Public,Bethel Elementary,Cabarrus County,91.4,Kindergarten,"2425 Midland Road, Midland, NC 28107"
268,370053000375,Public,Beverly Hills Elementary,Cabarrus County,96.6,Kindergarten,"87 Palaside Drive NE, Concord, NC 28025"
269,30,Private,Cannon School,Cabarrus County,96.0,Kindergarten,
270,370053002839,Public,Carl A Furr Elementary,Cabarrus County,96.8,Kindergarten,"2725 Clover Road, Concord, NC 28027"
271,370013302706,Charter/Lab,Carolina International School,Cabarrus County,94.7,Kindergarten,"9545 Poplar Tent Road, Concord, NC 28027"
272,370053002820,Public,Charles E Boger Elementary,Cabarrus County,94.1,Kindergarten,"5150 Dove Field Lane, Kannapolis, NC 28081"
273,370053000376,Public,Coltrane-Webb Elementary,Cabarrus County,85.4,Kindergarten,"61 Spring St NW, Concord, NC 28025"
274,31,Private,Concord Academy,Cabarrus County,80.6,Kindergarten,
275,370039903387,Charter/Lab,Concord Lake STEAM Academy,Cabarrus County,45.0,Kindergarten,"1911 Concord Lake Road, Kannapolis, NC 28083"
276,370053002624,Public,Cox Mill Elementary,Cabarrus County,97.9,Kindergarten,"1450 Cox Mill Road, Concord, NC 28027"
277,32,Private,Faith Christian Academy,Cabarrus County,100.0,Kindergarten,
278,370243001040,Public,Forest Park Elementary,Cabarrus County,86.4,Kindergarten,"1333 Forest Park Drive, Kannapolis, NC 28083"
279,370243001041,Public,Fred L Wilson Elementary,Cabarrus County,91.9,Kindergarten,"1401 Pine Street, Kannapolis, NC 28081"
280,370243003429,Public,GW Carver Elementary,Cabarrus County,93.4,Kindergarten,"525 East C St, Kannapolis, NC 28083"
281,370053000211,Public,Harrisburg Elementary,Cabarrus County,95.2,Kindergarten,"3900 Stallings Road, Harrisburg, NC 28075"
282,370053003518,Public,Hickory Ridge Elementary,Cabarrus County,94.7,Kindergarten,"9464 Hickory Ridge Rd, Harrisburg, NC 28075"
283,33,Private,Hope Academy,Cabarrus County,68.4,Kindergarten,
