Facility Number,School Type,School District or Name,County,Facility Address,MMR Vaccination Rate,Age Group
,Public,St. Maries Middle School,Adams,1315 Jefferson Avenue,86.76,7th Grade
,PRIVATE,St. Mary's Catholic School - Moscow,Adams,412 N Monroe St,100,7th Grade
,PRIVATE,St. Mary's School - Boise,Adams,2620 West State,100,7th Grade
,Public,Star Middle School,Ada,2211 N Pollard Ln,92.47,7th Grade
,Public,Sugar-Salem Junior High School,Ada,205 East 3rd North,66.41,7th Grade
,Public,Summitvue Middle School,Nez Perce,320 Smeed Pkwy,92.86,7th Grade
,Private,Sun Valley Community School,Nez Perce,1 Community School Drive ,88.24,7th Grade
,Public,Synergry Middle School,Nez Perce,441 E Porter St Kuna,97.06,7th Grade
,Public,Syringa Middle School,Ada,1100 Willow,94.15,7th Grade
,Charter,Syringa Mountain School,Ada,4021 Glenbrook Dr,90,7th Grade
,Charter,Taylor's Crossing Charter School,Ada,1445 N Woodriver Dr,93.33,7th Grade
,Public,Taylorview Middle School,Kootenai,350 Castle Rock Ln,95.31,7th Grade
,Public,Terreton Elementary-West Jefferson Middle/High School,Kootenai,1252 E 1500 N,93.18,7th Grade
,Public,Teton Middle School,Bingham,935 North 5th East,93.33,7th Grade
,PRIVATE,The Ambrose School,Latah,6100 N Locust Grove Road,55,7th Grade
,Private,The Sage School Inc,Cassia,PO Box 30,85.71,7th Grade
,Charter,Thomas Jefferson Charter,Cassia,1209 Adam Smith Ave,86.67,7th Grade
,Public,Tigert Middle School,Cassia,250 E. 2nd S.,86.36,7th Grade
,Public,Timberlake Junior High School,Ada,PO Box 1080; 5830 W Blackwell Blvd,92.8,7th Grade
,Public,Timberline K-12 School,Ada,22869 US Highway 11,45.45,7th Grade
,Charter,Treasure Valley Classical Academy,Canyon,500 SW 3rd St,80.77,7th Grade
,Public,Troy Jr/Sr High School,Lincoln,101 Trojan Drive,89.66,7th Grade
,Public,Twin Falls Bridge Academy,Lincoln,616 Eastland Drive,100,7th Grade
,PRIVATE,Twin Falls Christian Academy,Lincoln,798 Eastland Dr N,85.71,7th Grade
,Public,TWIN FALLS VIRTUAL SCHOOLHOUSE,Ada,616 Eastland Drive,82.76,7th Grade
,Public,Union High School,Kootenai,28 S Midland Blvd,100,7th Grade
,Public,Valley School,Bonneville,882 Valley Road S,97.3,7th Grade
,Public,Vallivue Middle School,Bonneville,16412 S 10th,94.63,7th Grade
,Public,Vera C O'leary Middle School,Ada,2350 Elizabeth Blvd,94.12,7th Grade
,Charter,Victory Charter School,Ada,9779 Kris Jensen Lane,76.92,7th Grade
,Public,Victory Middle School,Bingham,920 w kodiak dr,93.56,7th Grade
,Charter,Vision Charter School,Bingham,19291 Ward Rd.,92.19,7th Grade
,Public,Wallace Jr Sr High School,Bingham,#1 Miner's Alley,86.84,7th Grade
,Private,Watersprings School (Calvary Chapel School Idaho Falls),Valley,4250 S 25th E,84.21,7th Grade
,Public,Weiser Middle School,Valley,320 East Galloway Avenue,90,7th Grade
,Public,Wendell Middle School,Bonneville,800 East Main St,91.25,7th Grade
,Public,West Junior High School,Bonneville,8371 W Saltcreek Ct,94.98,7th Grade
,Public,West Minico Middle School,Ada,155 S. 600 W.,96.75,7th Grade
,Charter,White Pine Charter School,Ada,2959 John Adams Pkwy,100,7th Grade
,Public,Wilder Academy of Virtual Education,Ada,419 Huff Rd,76.92,7th Grade
,Public,Wilder Middle School,Bannock,419 Huff Rd,100,7th Grade
,Public,William Thomas Middle School,Bannock,355 Bannock,94.74,7th Grade
,Public,Wood River Middle School,Teton,900 2nd Avenue N,87.04,7th Grade
,Public,Woodland Middle School,Teton,2101 W Ste Michelle,89.15,7th Grade
,Charter,Xavier Charter School,Cassia,1218 N. College Rd. W.,87.69,7th Grade
