Facility Number,School Type,School District or Name,Facility Address,County,MMR Vaccination Rate,Age Group
,,NATIVITY OF MARY,,Hennepin,95.0,Kindergarten
,,NORMANDALE HILLS EL.,,Hennepin,79.49,Kindergarten
,,OAK GROVE EL.,,Hennepin,90.16,Kindergarten
,,OLSON EL.,,Hennepin,89.02,Kindergarten
,,POPLAR BRIDGE EL.,,Hennepin,90.8,Kindergarten
,,RAMALYNN MONTESSORI ACADEMY,,Hennepin,75.0,Kindergarten
,,RIDGEVIEW EL.,,Hennepin,90.24,Kindergarten
,,UNITED CHRISTIAN ACADEMY,,Hennepin,55.17,Kindergarten
,,VALLEY VIEW ELEMENTARY,,Hennepin,84.81,Kindergarten
,,WESTWOOD EL.,,Hennepin,79.55,Kindergarten
,,BLUE EARTH EL.,,Faribault,88.31,Kindergarten
,,BLUFFVIEW MONTESSORI,,Winona,88.0,Kindergarten
,,BRAHAM EL.,,Isanti,81.48,Kindergarten
,,BAXTER EL.,,Crow Wing,82.93,Kindergarten
,,GARFIELD EL.,,Crow Wing,69.44,Kindergarten
,,HARRISON EL.,,Crow Wing,69.05,Kindergarten
,,LAKE REGION CHRISTIAN,,Crow Wing,61.11,Kindergarten
,,LOWELL EL.,,Crow Wing,83.02,Kindergarten
,,NISSWA EL.,,Crow Wing,70.59,Kindergarten
,,RIVERSIDE EL.,,Crow Wing,82.67,Kindergarten
,,ST FRANCIS OF THE LAKES CATHOLIC SCHOOL,,Crow Wing,85.0,Kindergarten
,,STARE ACADEMY,,Crow Wing,50.0,Kindergarten
,,BRECKENRIDGE EL.,,Wilkin,95.0,Kindergarten
,,ST MARY,,Wilkin,80.95,Kindergarten
,,BROOKLYN CENTER ELEMEMTARY,,Hennepin,85.05,Kindergarten
,,BROWERVILLE EL.,,Todd,81.48,Kindergarten
,,BROWNS VALLEY PUBLIC SCHOOL,,Traverse,95.0,Kindergarten
,,DISCOVERY EL.,,Wright,76.74,Kindergarten
,,HANOVER EL.,,Wright,77.42,Kindergarten
,,MONTROSE EL.,,Wright,90.0,Kindergarten
