Facility Number,School District or Name,Facility Address,County,School Type,MMR Vaccination Rate,Age Group
,ODYSSEY PREPARATORY ACADEMY - SIENNA HILLS,2400 N. SIENNA HILLS PKWY,MARICOPA,CHARTER,88.73,Kindergarten
,ODYSSEY PREPERATORY ACADEMY - BUCKEYE APACHE,6500 S APACHE RD,MARICOPA,CHARTER,96.70,Kindergarten
,ODYSSEY PREPERATORY ACADEMY - GOODYEAR,17532 W HARRISON ST,MARICOPA,CHARTER,89.33,Kindergarten
,ORANGE GROVE ELEMENTARY SCHOOL,3525 W COUNTY 16 1/2 ST,YUMA,PUBLIC,98.46,Kindergarten
,ORANGEWOOD ELEMENTARY SCHOOL,7337 N 19TH AVE,MARICOPA,PUBLIC,91.14,Kindergarten
,ORO GRANDE ELEMENTARY SCHOOL,1250 PAWNEE DR,MOHAVE,PUBLIC,73.21,Kindergarten
,OUR LADY OF MOUNT CARMEL SCHOOL,2117 S RURAL RD,MARICOPA,PRIVATE,92.86,Kindergarten
,OUR LADY OF PERPETUAL HELP SCHOOL-85251,3801 N MILLER RD,MARICOPA,PRIVATE,82.35,Kindergarten
,OUR LADY OF PERPETUAL HELP SCHOOL-85301,5614 W ORANGEWOOD AVE,MARICOPA,PRIVATE,96.67,Kindergarten
,OUR LADY OF SORROWS ACADEMY,750 E BASELINE RD,MARICOPA,PRIVATE,25.00,Kindergarten
,OUR LADY OF THE LAKE CATHOLIC PRESCHOOL,1975 DAYTONA AVE,MOHAVE,PRIVATE,57.14,Kindergarten
,OUR MOTHER OF SORROWS SCHOOL,1800 S KOLB RD,PIMA,PRIVATE,100.00,Kindergarten
,P T COE ELEMENTARY SCHOOL,3801 W ROANOKE AVE,MARICOPA,PUBLIC,93.62,Kindergarten
,PAINTED SKY ELEMENTARY SCHOOL,12620 N WOODBURNE AVE,PIMA,PUBLIC,92.86,Kindergarten
,PALM CHRISTIAN SCHOOL,17475 W BELL RD,MARICOPA,PRIVATE,73.68,Kindergarten
,PALM LANE ELEMENTARY SCHOOL,2043 N 64TH DR,MARICOPA,PUBLIC,96.47,Kindergarten
,PALM VALLEY ELEMENTARY,2801 N 135TH AVE,MARICOPA,PUBLIC,89.61,Kindergarten
,PALMCROFT ELEMENTARY SCHOOL,901 PALMCROFT DR,YUMA,PUBLIC,95.38,Kindergarten
,PALO VERDE ELEMENTARY SCHOOL,10700 S PALO VERDE RD,MARICOPA,PUBLIC,93.48,Kindergarten
,PALO VERDE SCHOOL,40 N ROOSEVELT AVE,PINAL,PUBLIC,99.00,Kindergarten
,PALOMINO PRIMARY SCHOOL,15833 N 29TH ST,MARICOPA,PUBLIC,97.92,Kindergarten
,PAN-AMERICAN ELEMENTARY CHARTER SCHOOL,8305 W THOMAS ROAD,MARICOPA,CHARTER,97.92,Kindergarten
,PAPAGO SCHOOL,2013 N 36TH ST,MARICOPA,PUBLIC,93.68,Kindergarten
,PARADISE HONORS ELEMENTARY SCHOOL,15533 W PARADISE LN,MARICOPA,CHARTER,88.54,Kindergarten
,PARADISE VALLEY CHRISTIAN PREPARATORY,11875 N 24TH ST,MARICOPA,PRIVATE,66.67,Kindergarten
,PARAGON SCIENCE ACADEMY,2975 W LINDA LN,MARICOPA,CHARTER,92.50,Kindergarten
,PARDES JEWISH DAY SCHOOL,12753 N SCOTTSDALE RD,MARICOPA,PRIVATE,86.21,Kindergarten
,PARK ELEMENTARY SCHOOL,453 N 7TH ST,NAVAJO,PUBLIC,71.25,Kindergarten
,PARK MEADOWS ELEMENTARY SCHOOL,20012 N 35TH AVE,MARICOPA,PUBLIC,94.20,Kindergarten
,PARKRIDGE ELEMENTARY,9970 W BEARDSLEY RD,MARICOPA,PUBLIC,93.26,Kindergarten
,PASEO HILLS ELEMENTARY,3302 W LOUISE DR,MARICOPA,PUBLIC,94.52,Kindergarten
,PASEO POINTE SCHOOL,8800 S 55TH AVE,MARICOPA,PUBLIC,93.13,Kindergarten
,PASEO VERDE ELEMENTARY SCHOOL,7880 W GREENWAY RD,MARICOPA,PUBLIC,81.67,Kindergarten
,PATHFINDER ACADEMY - N BOULDER CANYON,2906 N BOULDER CANYON,MARICOPA,CHARTER,57.14,Kindergarten
,PATHFINDER ACADEMY AT EASTMARK,4816 S EASTMARK PKWY,MARICOPA,CHARTER,83.33,Kindergarten
,PATTERSON ELEMENTARY SCHOOL,1211 E GUADALUPE RD,MARICOPA,PUBLIC,95.59,Kindergarten
,PAULDEN COMMUNITY SCHOOL,24850 N NAPLES DR,YAVAPAI,CHARTER,46.15,Kindergarten
,PAYSON COMMUNITY CHRISTIAN SCHOOL,1000 E FRONTIER ST,GILA,PRIVATE,35.29,Kindergarten
,PAYSON ELEMENTARY SCHOOL,500 E RANCHO RD,GILA,PUBLIC,83.10,Kindergarten
,PECAN GROVE ELEMENTARY SCHOOL,600 S 21ST AVE,YUMA,PUBLIC,91.67,Kindergarten
,PEDRO GUERRERO ELEMENTARY,463 S ALMA SCHOOL RD,MARICOPA,PUBLIC,87.93,Kindergarten
,PENDERGAST ELEMENTARY SCHOOL,3802 N 91ST AVE,MARICOPA,PUBLIC,95.38,Kindergarten
,PEORIA ELEMENTARY SCHOOL,11501 N 79TH AVE,MARICOPA,PUBLIC,91.11,Kindergarten
,PEORIA TRADITIONAL SCHOOL,21180 N 87TH AVE,MARICOPA,PUBLIC,89.74,Kindergarten
,PERALTA ELEMENTARY SCHOOL,7125 W ENCANTO BLVD,MARICOPA,PUBLIC,93.69,Kindergarten
,PERALTA TRAIL ELEMENTARY SCHOOL,10965 E PERALTA RD,PINAL,PUBLIC,90.20,Kindergarten
,PERIDOT LUTHERAN ELEMENTARY SCHOOL,1 MILE N OF HWY 70 ON HWY 17,GILA,PRIVATE,58.82,Kindergarten
,PHOENIX CHRISTIAN JR/SR HIGH SCHOOL,1751 W INDIAN SCHOOL RD,MARICOPA,PRIVATE,65.38,Kindergarten
,PHOENIX CHRISTIAN K-8 SCHOOL,2425 N 26TH ST,MARICOPA,PRIVATE,64.29,Kindergarten
,PHOENIX COUNTRY DAY SCHOOL,3901 E STANFORD DR,MARICOPA,PRIVATE,100.00,Kindergarten
,PHOENIX DAY SCHOOL FOR THE DEAF,7654 N 19TH AVE,MARICOPA,PUBLIC,100.00,Kindergarten
,PHOENIX HEBREW ACADEMY,515 E BETHANY HOME RD,MARICOPA,PRIVATE,85.71,Kindergarten
,PICACHO SCHOOL,17865 S VAIL RD,PINAL,PUBLIC,83.33,Kindergarten
,PICTURE ROCKS ELEMENTARY SCHOOL,5875 N SANDERS RD,PIMA,PUBLIC,89.66,Kindergarten
,PIMA BUTTE ELEMENTARY SCHOOL,42022 W RANCHO EL DORADO PKW,PINAL,PUBLIC,89.83,Kindergarten
,PIMA ELEMENTARY SCHOOL - GRAHAM,101 S MAIN ST,GRAHAM,PUBLIC,86.76,Kindergarten
,PIMA ELEMENTARY SCHOOL - SCOTTSDALE,8330 E OSBORN RD,MARICOPA,PUBLIC,82.69,Kindergarten
,PINE FOREST SCHOOL,2257 E CEDAR AVENUE,COCONINO,CHARTER,62.50,Kindergarten
,PINE SPRINGS DAY SCHOOL,10021 PINE SPRINGS RD,APACHE,CHARTER,100.00,Kindergarten
