Facility Number,School District or Name,Facility Address,County,School Type,MMR Vaccination Rate,Age Group
,91ST PSALM CHRISTIAN SCHOOL,2020 E BASELINE RD,MARICOPA,PRIVATE,80.00,6th Grade
,ABRAHAM LINCOLN TRADITIONAL SCHOOL,10444 N 39TH AVE,MARICOPA,PUBLIC,95.00,6th Grade
,ACACIA ELEMENTARY SCHOOL - PHOENIX,3021 W EVANS DR,MARICOPA,PUBLIC,97.50,6th Grade
,ACADEMY DEL SOL - HOPE,7102 W VALLEY CREST PL,PIMA,CHARTER,100.00,6th Grade
,ACADEMY DEL SOL - ROGER RD,732 W ROGER RD,PIMA,CHARTER,100.00,6th Grade
,ACADEMY OF MATH AND SCIENCE - DESERT SKY,5701 W MCDOWELL RD,MARICOPA,CHARTER,95.49,6th Grade
,ACADEMY OF MATH AND SCIENCE - PRINCE RD,1557 W PRINCE RD,PIMA,CHARTER,93.59,6th Grade
,ACADEMY OF MATH AND SCIENCE AVONDALE,10649  W BUCKEYE ROAD,MARICOPA,CHARTER,97.09,6th Grade
,ACADEMY OF MATH AND SCIENCE CAMELBACK,6633 W CAMELBACK RD,MARICOPA,CHARTER,95.24,6th Grade
,ACADEMY OF MATH AND SCIENCE GLENDALE,4520 W GLENDALE AVE,MARICOPA,CHARTER,95.69,6th Grade
,ACADEMY OF MATH AND SCIENCE PEORIA ADVANCED,7758 W PEORIA AVE,MARICOPA,CHARTER,97.10,6th Grade
,ACADEMY OF MATH AND SCIENCE SOUTH MOUNTAIN,1445  W BASELINE ROAD,MARICOPA,CHARTER,92.23,6th Grade
,ACADEMY OF TUCSON MIDDLE SCHOOL,7310 E 22ND STREET,PIMA,CHARTER,85.42,6th Grade
,ACCLAIM ACADEMY,7624 W INDIAN SCHOOL RD,MARICOPA,CHARTER,100.00,6th Grade
,ACORN MONTESSORI MIDDLE SCHOOL,8456 E LOOS DR,YAVAPAI,CHARTER,88.33,6th Grade
,ADAMS ELEMENTARY SCHOOL,738 S LONGMORE,MARICOPA,PUBLIC,95.56,6th Grade
,ADAMS TRADITIONAL ACADEMY,2323 W PARKSIDE LN,MARICOPA,CHARTER,90.38,6th Grade
,ADVENTURE SCHOOL - E PLACITA SIN NOMBRE,5757 E PIMA ST,PIMA,CHARTER,75.00,6th Grade
,AGUA CALIENTE SCHOOL,11420 E LIMBERLOST RD,PIMA,PUBLIC,97.37,6th Grade
,AGUILA ELEMENTARY SCHOOL,50023 N 51ST AVE,MARICOPA,PUBLIC,100.00,6th Grade
,AJO ELEMENTARY SCHOOL,111 NORTH WELL RD,PIMA,PUBLIC,93.94,6th Grade
,ALHAMBRA TRADITIONAL SCHOOL,5725 N 27TH AVE,MARICOPA,PUBLIC,98.84,6th Grade
,ALICE VAIL MIDDLE SCHOOL,5350 E 16TH ST,PIMA,PUBLIC,98.13,6th Grade
,ALL SAINTS EPISCOPAL DAY SCHOOL,6300 N CENTRAL AVE,MARICOPA,PRIVATE,100.00,6th Grade
,ALTA LOMA SCHOOL,9750 N 87TH AVE,MARICOPA,PUBLIC,98.59,6th Grade
,ALTA VISTA ELEMENTARY SCHOOL,8710 N 31ST AVE,MARICOPA,PUBLIC,97.47,6th Grade
,ALTAR VALLEY MIDDLE SCHOOL,16350 W AJO RD,PIMA,PUBLIC,100.00,6th Grade
,AMBERLEA ELEMENTARY SCHOOL,8455 W VIRGINIA AVE,MARICOPA,PUBLIC,98.36,6th Grade
,AMERICAN HERITAGE ACADEMY - CAMP VERDE,132 GENERAL CROOK TRAIL,YAVAPAI,CHARTER,83.33,6th Grade
,AMERICAN HERITAGE ACADEMY - COTTONWOOD,2030 E CHERRY ST,YAVAPAI,CHARTER,79.17,6th Grade
,AMERICAN LEADERSHIP ACADEMY - GILBERT,3155 S SAN TAN VILLAGE PKWY,MARICOPA,CHARTER,89.74,6th Grade
,AMERICAN LEADERSHIP ACADEMY - IRONWOOD K-6,650 W COMBS RD,PINAL,CHARTER,85.29,6th Grade
,AMERICAN LEADERSHIP ACADEMY - MESA,4507 S MOUNTAIN RD,MARICOPA,CHARTER,85.96,6th Grade
,AMERICAN LEADERSHIP ACADEMY - QUEEN CREEK,23908 S HAWES RD,MARICOPA,CHARTER,87.43,6th Grade
,AMERICAN LEADERSHIP ACADEMY - SAN TAN,34969 N VILLAGE LN,MARICOPA,CHARTER,83.51,6th Grade
,AMERICAN LEADERSHIP ACADEMY ANTHEM SOUTH CAMPUS,4380 N HUNT HWY,PINAL,CHARTER,85.87,6th Grade
,AMERICAN LEADERSHIP ACADEMY- GILBERT NORTH K-6 CAMPUS,1010 S HIGLEY ROAD,MARICOPA,CHARTER,84.97,6th Grade
,AMERICAN LEADERSHIP ACADEMY- GILBERT SOUTH K-6 CAMPUS,1750 E RIGGS ROAD,MARICOPA,CHARTER,84.62,6th Grade
,AMERICAN LEADERSHIP ACADEMY- SIGNAL BUTTE K-6 CAMPUS,22512 S SIGNAL BUTTE RD,MARICOPA,CHARTER,96.23,6th Grade
,AMERICAN LEADERSHIP ACADEMY WEST FOOTHILLS EL,17760 WEST OLIVE AVENUE,MARICOPA,CHARTER,87.50,6th Grade
,AMERICAN LEADERSHIP ACADEMY-VIRTUAL,6913 EAST REMBRANDT AVENUE,MARICOPA,CHARTER,96.00,6th Grade
,AMERISCHOOLS ACADEMY - COUNTRY CLUB,1150 N COUNTRY CLUB RD,PIMA,CHARTER,95.00,6th Grade
,AMERISCHOOLS ACADEMY - YUMA NORTH CAMPUS,1220 S 4TH AVE,YUMA,CHARTER,100.00,6th Grade
,AMERISCHOOLS ACADEMY - YUMA SOUTH CAMPUS,2098 S 3RD AVE,YUMA,CHARTER,100.00,6th Grade
,AMPHITHEATER MIDDLE SCHOOL,315 E PRINCE RD,PIMA,PUBLIC,97.14,6th Grade
,ANNA LAWRENCE INTERMEDIATE SCHOOL,4850 W JEFFERY RD,PIMA,PUBLIC,100.00,6th Grade
,ANNA MARIE JACOBSON  ELEMENTARY SCHOOL,1515 NW JACARANDA PKWY,MARICOPA,PUBLIC,97.03,6th Grade
,ANTHEM K-8 SCHOOL,2700 N ANTHEM WAY,PINAL,PUBLIC,94.32,6th Grade
,ANTHEM SCHOOL,41020 N FREEDOM WAY,MARICOPA,PUBLIC,86.54,6th Grade
,ANZA TRAIL ELEMENTARY,15490 S RANCHO SAHUARITA BLVD,PIMA,PUBLIC,100.00,6th Grade
,APACHE ELEMENTARY SCHOOL,8633 W JOHN CABOT RD,MARICOPA,PUBLIC,95.18,6th Grade
,ARCHWAY CLASSICAL ACADEMY GLENDALE,23276 N 83RD AVE,MARICOPA,CHARTER,86.73,6th Grade
,ARIZONA AUTISM CHARTER SCHOOL,4433 N 7TH ST,MARICOPA,CHARTER,88.52,6th Grade
,ARIZONA CHARTER ACADEMY,16011 N DYSART RD,MARICOPA,CHARTER,96.12,6th Grade
,ARIZONA CITY ELEMENTARY SCHOOL,12115 W BENITO DR,PINAL,PUBLIC,98.80,6th Grade
,ARIZONA COLLEGE PREP MIDDLE SCHOOL,1150 WEST ERIE STREET,MARICOPA,PUBLIC,99.30,6th Grade
,ARIZONA CONNECTIONS ACADEMY,335 E GERMANN RD,MARICOPA,CHARTER,85.71,6th Grade
,ARIZONA CONSERVATORY FOR ARTS AND ACADEMICS,2820 W KELTON LN,MARICOPA,CHARTER,95.00,6th Grade
,ARIZONA CULTURAL ACADEMY,7810 S 42ND PL,MARICOPA,PRIVATE,97.62,6th Grade
,ARIZONA DESERT ELEMENTARY SCHOOL - SAN LUIS,1245 N MAIN ST,YUMA,PUBLIC,100.00,6th Grade
,ARIZONA DESERT ELEMENTARY SCHOOL - TOLLESON,8803 W VAN BUREN ST,MARICOPA,PUBLIC,97.06,6th Grade
,ARIZONA SCHOOL FOR THE ARTS,1410 N 3RD ST,MARICOPA,CHARTER,94.69,6th Grade
,ARLINGTON ELEMENTARY SCHOOL,9410 S 355TH AVE,MARICOPA,PUBLIC,94.44,6th Grade
,ARROWHEAD CHRISTIAN ACADEMY,4030 W YORKSHIRE DR,MARICOPA,PRIVATE,86.36,6th Grade
,ARROWHEAD ELEMENTARY SCHOOL-85308,7490 W UNION HILLS DR,MARICOPA,PUBLIC,96.00,6th Grade
,ARROYO SCHOOL,4535 W CHOLLA ST,MARICOPA,PUBLIC,97.01,6th Grade
,ARTHUR M HAMILTON SCHOOL,2020 W DURANGO,MARICOPA,PUBLIC,94.74,6th Grade
,ARTS ACADEMY AT ESTRELLA MOUNTAIN,2504 S 91ST AVE,MARICOPA,CHARTER,96.72,6th Grade
,ASANTE PREPARATORY ACADEMY ,23251 N 166TH DR,MARICOPA,PUBLIC,93.69,6th Grade
,ASH FORK ELEMENTARY SCHOOL,46999 N 5TH ST,YAVAPAI,PUBLIC,95.65,6th Grade
,ASHLAND ELEMENTARY,1945 S ASHLAND RANCH,MARICOPA,PUBLIC,94.87,6th Grade
,ASHTON RANCH MIDDLE SCHOOL,14898 W ACOMA DR,MARICOPA,PUBLIC,97.35,6th Grade
,"ASPIRE, DEER VALLEY'S ONLINE ACADEMY",4701 WEST GROVERS AVENUE,MARICOPA,PUBLIC,94.74,6th Grade
,ASU PREP DIGITAL,1130 EAST UNIVERSITY DRIVE,MARICOPA,CHARTER,76.69,6th Grade
,ASU PREP PILGRIM'S REST,1401 EAST JEFFERSON STREET,MARICOPA,CHARTER,100.00,6th Grade
,ASU PREPARATORY ACADEMY - PHOENIX ELEMENTARY,735 E FILLMORE ST,MARICOPA,PUBLIC,91.67,6th Grade
,ASU PREPARATORY ACADEMY - POLYTECHNIC ELEMENTARY SCHOOL,6950 E WILLIAMS FIELDS ROAD,MARICOPA,PUBLIC,90.99,6th Grade
,ASU PREPARATORY ACADEMY - SOUTH PHOENIX PRIMARY,5610 S CENTRAL AVE,MARICOPA,CHARTER,90.00,6th Grade
,AUDREY & ROBERT RYAN ELEMENTARY,4600 S BRIGHT ANGEL WAY,MARICOPA,PUBLIC,92.78,6th Grade
,AUGUSTA RANCH ELEMENTARY,9430 E NEVILLE AVE,MARICOPA,PUBLIC,95.89,6th Grade
,AUGUSTUS H SHAW JR SCHOOL,123 N 13TH ST,MARICOPA,PUBLIC,100.00,6th Grade
,AVALON ELEMENTARY,1045 S SAN MARCOS DR,PINAL,CHARTER,97.22,6th Grade
,AVONDALE MIDDLE SCHOOL,1406 N CENTRAL AVE,MARICOPA,PUBLIC,94.62,6th Grade
,AZ COMPASS PREPARATORY SCHOOL,2020 N ARIZONA AVE,MARICOPA,CHARTER,94.44,6th Grade
,BAGDAD ELEMENTARY SCHOOL,515 BREEZY CIR,YAVAPAI,PUBLIC,100.00,6th Grade
,BALES ELEMENTARY SCHOOL,25400 W MARICOPA RD,MARICOPA,PUBLIC,98.39,6th Grade
,BARBARA BUSH ELEMENTARY SCHOOL - 85205,4925 E INGRAM ST,MARICOPA,PUBLIC,94.59,6th Grade
,BARCELONA ELEMENTARY SCHOOL,6530 N 44TH AVE,MARICOPA,PUBLIC,95.45,6th Grade
,BASHA ELEMENTARY,3535 S BASHA RD,MARICOPA,PUBLIC,96.91,6th Grade
,BASHA HIGH SCHOOL,5990 S VAL VISTA DR,MARICOPA,PUBLIC,100.00,6th Grade
,BASIS - AHWATUKEE,10210 S 50TH PL,MARICOPA,CHARTER,98.20,6th Grade
,BASIS - CHANDLER,4825 S. ARIZONA AVE,MARICOPA,CHARTER,97.22,6th Grade
,BASIS - FLAGSTAFF,1700 N GEMINI DR,COCONINO,CHARTER,91.07,6th Grade
,BASIS - MESA,5010 S EASTMARK PKWY,MARICOPA,CHARTER,95.60,6th Grade
,BASIS - ORO VALLEY,11155 N. ORACLE RD,PIMA,CHARTER,96.83,6th Grade
,BASIS - PEORIA,9902 W YEARLING ROAD,MARICOPA,CHARTER,96.83,6th Grade
,BASIS - PHOENIX,13231 N 22ND STREET,MARICOPA,CHARTER,96.95,6th Grade
,BASIS - SCOTTSDALE,10400 N. 128TH ST,MARICOPA,CHARTER,97.66,6th Grade
,BASIS - TUCSON NORTH,5740 E RIVER RD,PIMA,CHARTER,96.82,6th Grade
,BASIS GOODYEAR,15800 W SHERMAN ST,MARICOPA,CHARTER,97.87,6th Grade
,BASIS PHOENIX SOUTH PRIMARY SCHOOL,5700 S 19TH AVE,MARICOPA,CHARTER,100.00,6th Grade
,BASIS PRESCOTT,1901 PRESCOTT LAKES PKWY,YAVAPAI,PUBLIC,80.33,6th Grade
,BEAVER CREEK SCHOOL,4810 E BEAVER CREEK RD,YAVAPAI,PUBLIC,96.97,6th Grade
,BELEN SOTO ELEMENTARY SCHOOL,18601 W CAMPBELL AVE,MARICOPA,PUBLIC,94.48,6th Grade
,BELLA VISTA ELEMENTARY SCHOOL,801 N LENZNER AVE,COCHISE,PUBLIC,95.35,6th Grade
,BELLAIR ELEMENTARY SCHOOL,4701 W GROVERS AVE,MARICOPA,PUBLIC,96.55,6th Grade
,BENCHMARK SCHOOL,4120 E ACOMA DR,MARICOPA,CHARTER,73.17,6th Grade
,BENJAMIN FRANKLIN CHARTER SCHOOL - CRIMSON,22120 E. QUEEN CREEK RD,MARICOPA,CHARTER,88.18,6th Grade
,BENJAMIN FRANKLIN CHARTER SCHOOL - GILBERT,1475 SOUTH VAL VISTA DRIVE,MARICOPA,CHARTER,90.32,6th Grade
,BENJAMIN FRANKLIN CHARTER SCHOOL - POWER RD,22951 SOUTH POWER ROAD,MARICOPA,CHARTER,83.56,6th Grade
,BENNETT ACADEMY - W BETHANY HOME RD,2930 W BETHANY HOME RD,MARICOPA,CHARTER,100.00,6th Grade
,BENSON MIDDLE SCHOOL,360 S PATAGONIA ST,COCHISE,PUBLIC,86.32,6th Grade
,BERNARD BLACK ELEMENTARY,6550 S 27TH AVE,MARICOPA,PUBLIC,72.34,6th Grade
,BICENTENNIAL SOUTH SCHOOL,7240 W COLTER ST,MARICOPA,PUBLIC,98.72,6th Grade
,BILLY LANE LAUFFER MIDDLE SCHOOL,5385 E LITTLETOWN RD,PIMA,PUBLIC,100.00,6th Grade
,BILTMORE PREPARATORY ACADEMY,4601 N 34TH ST,MARICOPA,PUBLIC,98.15,6th Grade
,BLACK MOUNTAIN ELEMENTARY SCHOOL - CAVE CREEK,33016 N 60TH ST,MARICOPA,PUBLIC,88.78,6th Grade
,BLACK MOUNTAIN ELEMENTARY SCHOOL - GOLDEN VALLEY,3404 N SANTA MARIA RD,MOHAVE,PUBLIC,86.67,6th Grade
,BLUE RIDGE ELEMENTARY SCHOOL,1200 W WHITE MOUNTAIN BLVD,NAVAJO,PUBLIC,84.82,6th Grade
,BONITA ELEMENTARY SCHOOL,18008 S FT GRANT RD,GRAHAM,PUBLIC,100.00,6th Grade
,BOOTH-FICKETT MATH/SCIENCE K-8 MAGNET SCHOOL,450 S MONTEGO DR,PIMA,PUBLIC,98.31,6th Grade
,BORMAN ELEMENTARY SCHOOL,6630 LIGHTNING DR (DMAFB),PIMA,PUBLIC,93.55,6th Grade
,BOULDER CREEK ELEMENTARY - 85024,22801 N 22ND ST,MARICOPA,PUBLIC,96.63,6th Grade
,BOULDER CREEK ELEMENTARY - 85212,8045 E PORTOBELLO AVE,MARICOPA,PUBLIC,97.26,6th Grade
,BRAVIE T SOTO ELEMENTARY,1201 MAIN STREET,YUMA,PUBLIC,100.00,6th Grade
,BRET TARVER ELEMENTARY,4308 N 51ST AVE,MARICOPA,PUBLIC,98.73,6th Grade
,BRIDGES ELEMENTARY SCHOOL,5205 S SOBOBA ST,MARICOPA,PUBLIC,98.10,6th Grade
,BUCKEYE PRIMARY SCHOOL,210 S 6TH ST,MARICOPA,PUBLIC,94.23,6th Grade
,BULLHEAD CITY JR HIGH SCHOOL,1062 HANCOCK RD,MOHAVE,PUBLIC,96.89,6th Grade
,BURK ELEMENTARY SCHOOL,545 N BURK ST,MARICOPA,PUBLIC,96.43,6th Grade
,BURKE BASIC SCHOOL,131 E SOUTHERN AVE,MARICOPA,CHARTER,97.53,6th Grade
,BUTTERFIELD ELEMENTARY SCHOOL - TUCSON,3400 W MASSINGALE RD,PIMA,PUBLIC,98.80,6th Grade
,C E ROSE ELEMENTARY SCHOOL,710 W MICHIGAN DR,PIMA,PUBLIC,100.00,6th Grade
,C J JORGENSEN SCHOOL,1701 W ROESER RD,MARICOPA,PUBLIC,100.00,6th Grade
,C O GREENFIELD SCHOOL,7009 S 10TH ST,MARICOPA,PUBLIC,94.62,6th Grade
,CACTUS CANYON JUNIOR HIGH SCHOOL,801 WEST SOUTHERN  AVENUE,PINAL,PUBLIC,94.69,6th Grade
,CACTUS MIDDLE SCHOOL,1220 E KORTSEN RD,PINAL,PUBLIC,97.51,6th Grade
,CACTUS VIEW ELEMENTARY SCHOOL,17602 N CENTRAL AVE,MARICOPA,PUBLIC,94.81,6th Grade
,CACTUS WREN ELEMENTARY SCHOOL,9650 N 39TH AVE,MARICOPA,PUBLIC,89.58,6th Grade
,CALABASAS SCHOOL,131 CAMINO MARICOPA,SANTA CRUZ,PUBLIC,100.00,6th Grade
,CALIBRE ACADEMY SURPRISE,15688 W ACOMA DR,MARICOPA,CHARTER,87.76,6th Grade
,CALVARY CHAPEL CHRISTIAN SCHOOL,8725 E SPEEDWAY BLVD,PIMA,PRIVATE,78.95,6th Grade
,CALVARY CHRISTIAN ACADEMY,1605 S MCCULLOCH BLVD,MOHAVE,PRIVATE,100.00,6th Grade
,CAMBRIDGE ACADEMY - MESA CAMPUS,9412 E BROWN RD,MARICOPA,CHARTER,78.95,6th Grade
,CAMELBACK ACADEMY,7634 W CAMELBACK RD,MARICOPA,CHARTER,94.03,6th Grade
,CAMP VERDE MIDDLE SCHOOL,370 CAMP LINCOLN RD,YAVAPAI,PUBLIC,87.96,6th Grade
,CAMPO BELLO ELEMENTARY SCHOOL,2625 E GROVES AVE,MARICOPA,PUBLIC,94.38,6th Grade
,CANDEO NORTH SCOTTSDALE,7191 E ASHLER HILLS DRIVE,MARICOPA,CHARTER,75.00,6th Grade
,CANDEO SCHOOLS,9965 W CALLE LEJOS,MARICOPA,CHARTER,90.38,6th Grade
,CANON SCHOOL,18800 E SCHOOL HOUSE RD,YAVAPAI,PUBLIC,100.00,6th Grade
,CANYON BREEZE ELEMENTARY,11675 W ENCANTO BLVD,MARICOPA,PUBLIC,98.65,6th Grade
,CANYON DAY JUNIOR HIGH SCHOOL,4621 SOUTH 9TH STREET,NAVAJO,PUBLIC,98.26,6th Grade
,CANYON DE CHELLY ELEMENTARY SCHOOL,HWY 191,APACHE,PUBLIC,100.00,6th Grade
,CANYON ELEMENTARY SCHOOL,5490 W PARADISE LN,MARICOPA,PUBLIC,100.00,6th Grade
,CANYON RIDGE ELEMENTARY,17359 WEST SURPRISE FARMS LOOP NORTH,MARICOPA,PUBLIC,95.73,6th Grade
,CANYON RIM ELEMENTARY,3045 S CANYON RIM,MARICOPA,PUBLIC,94.55,6th Grade
,CANYON SPRINGS,42901 N 45TH AVE,MARICOPA,PUBLIC,90.00,6th Grade
,CAPPS MIDDLE SCHOOL (GR 4-6),3375 BUCKSKIN CANYON RD,NAVAJO,PUBLIC,77.78,6th Grade
,CAREER SUCCESS SCHOOL - SAGE CAMPUS,3141 E CHEERY LYNN ROAD,MARICOPA,CHARTER,91.67,6th Grade
,CARITAS CHRISTIAN CLASSICAL ACADEMY,301 NORTH HARTFORD STREET,MARICOPA,PRIVATE,58.33,6th Grade
,CARMICHAEL ELEMENTARY SCHOOL,701 NE CARMICHAEL AVE,COCHISE,PUBLIC,97.14,6th Grade
,CAROL G. PECK ELEMENTARY SCHOOL,5810 N 49TH AVE,MARICOPA,PUBLIC,97.44,6th Grade
,CAROL RAE RANCH ELEMENTARY,3777 E HOUSTON AVE,MARICOPA,PUBLIC,94.62,6th Grade
,CARTWRIGHT ELEMENTARY SCHOOL,5833 W THOMAS RD,MARICOPA,PUBLIC,98.21,6th Grade
,CASA ACADEMY,8047 NORTH 35TH AVENUE,MARICOPA,CHARTER,97.56,6th Grade
,CASA GRANDE MIDDLE SCHOOL,260  W MCMURRAY BLVD,PINAL,PUBLIC,96.15,6th Grade
,CASAS CHRISTIAN SCHOOL,10801 N LA CHOLLA BLVD,PIMA,PRIVATE,80.00,6th Grade
,CASTLE DOME MIDDLE SCHOOL,2353 S OTONDO DR,YUMA,PUBLIC,98.67,6th Grade
,CATALINA VENTURA SCHOOL,6331 N 39TH AVE,MARICOPA,PUBLIC,98.35,6th Grade
,CAURUS ACADEMY,41900 S 42ND AVE,MARICOPA,CHARTER,81.82,6th Grade
,CENTENNIAL ELEMENTARY SCHOOL - GILBERT,3507 S RANCH HOUSE PKWY,MARICOPA,PUBLIC,99.04,6th Grade
,CENTENNIAL ELEMENTARY SCHOOL - TUCSON,2200 W WETMORE RD,PIMA,PUBLIC,95.65,6th Grade
,CENTER FOR ACADEMIC SUCCESS #3 - 3RD ST,919 3RD ST,COCHISE,CHARTER,95.83,6th Grade
,CENTER FOR ACADEMIC SUCCESS #4 - F AVE,1415 F AVE,COCHISE,CHARTER,95.83,6th Grade
,CENTER FOR ACADEMIC SUCCESS #5,900 CARMELITA DR,COCHISE,CHARTER,97.83,6th Grade
,CENTER FOR EDUCATIONAL EXCELLENCE,1700 E ELLIOT RD,MARICOPA,CHARTER,79.31,6th Grade
,CENTERRA MIRAGE ELEMENTARY,15151 WEST CENTERRA DRIVE SOUTH,MARICOPA,PUBLIC,95.71,6th Grade
,CESAR CHAVEZ ELEMENTARY,1130 N 10TH AVE,YUMA,PUBLIC,100.00,6th Grade
,CESAR E CHAVEZ COMMUNITY SCHOOL,4001 S 3RD ST,MARICOPA,PUBLIC,100.00,6th Grade
,CHALLENGE CHARTER SCHOOL,5801 W GREENBRIAR DR,MARICOPA,CHARTER,93.02,6th Grade
,CHALLENGER BASIC SCHOOL,1315 N GREENFIELD RD,MARICOPA,CHARTER,89.13,6th Grade
,CHAMPION CHANDLER,250 S MCQUEEN RD,MARICOPA,CHARTER,95.56,6th Grade
,CHAMPION SCHOOLS - SOUTH MOUNTAIN,7900 S JESSE OWENS PKWY,MARICOPA,PRIVATE,92.73,6th Grade
,CHAMPION SCHOOLS SAN TAN VALLEY,1846 E BELLA VISTA RD,PINAL,CHARTER,76.47,6th Grade
,CHANDLER PREPARATORY ACADEMY,1951 N ALMA SCHOOL RD,MARICOPA,CHARTER,93.55,6th Grade
,CHANDLER TRADITIONAL ACADEMY - FREEDOM,6040 SOUTH JOSLYN LANE,MARICOPA,PUBLIC,98.85,6th Grade
,CHANDLER TRADITIONAL ACADEMY - GOODMAN CAMPUS,2600 W KNOX RD,MARICOPA,PUBLIC,97.26,6th Grade
,CHANDLER TRADITIONAL ACADEMY - INDEPENDENCE,1405 W LAKE DR,MARICOPA,PUBLIC,98.44,6th Grade
,CHANDLER TRADITIONAL ACADEMY - LIBERTY CAMPUS,550 N EMMETT DR,MARICOPA,PUBLIC,97.65,6th Grade
,CHAPARRAL ELEMENTARY SCHOOL-85029,3808 W JOAN DE ARC,MARICOPA,PUBLIC,92.73,6th Grade
,CHAPARRAL ELEMENTARY SCHOOL-85295,3380 E FRYE RD,MARICOPA,PUBLIC,97.56,6th Grade
,CHARLES W HARRIS ELEMENTARY SCHOOL,2252 N 55TH AVE,MARICOPA,PUBLIC,99.08,6th Grade
,CHARLOTTE PATTERSON ELEMENTARY,7520 S ADORA BLVD,MARICOPA,PUBLIC,97.54,6th Grade
,CHEATHAM ELEMENTARY SCHOOL,4725 W SOUTH MOUNTAIN AVE,MARICOPA,PUBLIC,98.67,6th Grade
,CHEYENNE ELEMENTARY SCHOOL - PEORIA,11806 N 87TH AVE,MARICOPA,PUBLIC,97.14,6th Grade
,CHEYENNE TRADITIONAL ELEMENTARY SCHOOL - SCOTTSDALE,13636 N 100TH ST,MARICOPA,PUBLIC,93.75,6th Grade
,CHILDREN FIRST ACADEMY - PHOENIX,1648 S 16TH ST,MARICOPA,CHARTER,100.00,6th Grade
,CHINLE ELEMENTARY SCHOOL,HWY 191 & NAVAJO ROUTE 7,APACHE,PUBLIC,100.00,6th Grade
,CHOICE LEARNING ACADEMY,5330 N 23RD AVE,MARICOPA,PUBLIC,99.15,6th Grade
,CHRIST LUTHERAN SCHOOL,3901 E INDIAN SCHOOL RD,MARICOPA,PRIVATE,89.83,6th Grade
,CHRIST THE KING CATHOLIC SCHOOL,1551 E DANA AVE,MARICOPA,PRIVATE,100.00,6th Grade
,CHRIST'S GREENFIELD LUTHERAN SCHOOL,425 N GREENFIELD RD,MARICOPA,PRIVATE,96.00,6th Grade
,CIMARRON SPRINGS ELEMENTARY,17032 W SUPRISE FARMS LOOP S,MARICOPA,PUBLIC,96.83,6th Grade
,CIRCLE CROSS K-8 STEM ACADEMY,35900 N. CHARBRAY DR,PINAL,PUBLIC,100.00,6th Grade
,CIVANO COMMUNITY  SCHOOL,10625 E DREXEL RD.,PIMA,PUBLIC,100.00,6th Grade
,CLARENDON SCHOOL,1225 W CLARENDON AVE,MARICOPA,PUBLIC,94.83,6th Grade
,CLARKDALE-JEROME ELEMENTARY SCHOOL,1615 MAIN ST,YAVAPAI,PUBLIC,87.04,6th Grade
,CLOVES C CAMPBELL SR ELEMENTARY SCHOOL,2624 E S MOUNTAIN AVE,MARICOPA,PUBLIC,97.67,6th Grade
,COATIMUNDI MIDDLE SCHOOL,450 AVENIDA COATIMUNDI,SANTA CRUZ,PUBLIC,99.32,6th Grade
,COCOPAH MIDDLE SCHOOL,6615 E CHOLLA ST,MARICOPA,PUBLIC,93.01,6th Grade
,COLLIER ELEMENTARY SCHOOL - AVONDALE,350 S 118TH AVE,MARICOPA,PUBLIC,94.64,6th Grade
,COLONEL SMITH MIDDLE SCHOOL,5651 E SMITH AVE,COCHISE,PUBLIC,97.33,6th Grade
,COMBS TRADITIONAL SCHOOL,37327 N GANTZEL RD,PINAL,PUBLIC,100.00,6th Grade
,CONGRESS ELEMENTARY SCHOOL,26400 S TENDERFOOT HILL RD,YAVAPAI,PUBLIC,84.62,6th Grade
,CONNOLLY MIDDLE SCHOOL,2002 E CONCORDA DR,MARICOPA,PUBLIC,97.67,6th Grade
,CONSTITUTION ELEMENTARY SCHOOL,18440 N 15TH AVE,MARICOPA,PUBLIC,100.00,6th Grade
,CONTINENTAL ELEMENTARY SCHOOL,1991 E WHITE HOUSE CANYON RD,PIMA,PUBLIC,98.18,6th Grade
,COPPER BASIN K-8,28682 N MAIN ST,PINAL,PUBLIC,94.92,6th Grade
,COPPER CANYON ELEMENTARY SCHOOL,17650 N 54TH ST,MARICOPA,PUBLIC,97.14,6th Grade
,COPPER CREEK ELEMENTARY,7071 W HILLCREST BLVD,MARICOPA,PUBLIC,91.49,6th Grade
,COPPER KING ELEMENTARY,10730 W CAMPBELL AVE,MARICOPA,PUBLIC,95.88,6th Grade
,COPPER RIDGE SCHOOL - 85255,10101 E THOMPSON PEAK PKWY,MARICOPA,PUBLIC,92.05,6th Grade
,COPPER TRAILS ELEMENTARY,16875 WEST CANYON TRAILS BLVD,MARICOPA,PUBLIC,93.86,6th Grade
,COPPERWOOD SCHOOL,11232 N 65TH AVE,MARICOPA,PUBLIC,92.86,6th Grade
,CORDOVA ELEMENTARY SCHOOL,5631 N 35TH AVE,MARICOPA,PUBLIC,100.00,6th Grade
,CORONA FOOTHILLS MIDDLE SCHOOL,16705 S HOUGHTON RD,PIMA,PUBLIC,95.52,6th Grade
,CORONADO ELEMENTARY SCHOOL - COCHISE,5148 CORONADO SCHOOL DR,COCHISE,PUBLIC,94.34,6th Grade
,CORONADO ELEMENTARY SCHOOL - GILBERT,4333 S DE ANZA BLVD,MARICOPA,PUBLIC,91.30,6th Grade
,CORONADO K-8 SCHOOL,3401 E WILDS RD,PIMA,PUBLIC,98.20,6th Grade
