Facility Number,Facility Address,School Type,School District or Name,County,Age Group,MMR Vaccination Rate
,,,COWAN ELEMENTARY SCHOOL,DELAWARE,6,95.89
,,,COWAN ELEMENTARY SCHOOL,DELAWARE,1,98.46
,,,COWAN HIGH SCHOOL,DELAWARE,12,100
,,,SAINT MARY'S SCHOOL,DECATUR,K,97.44
,,,SAINT MARY'S SCHOOL,DECATUR,1,91.43
,,,SAINT MARY'S SCHOOL,DECATUR,6,93.33
,,,SAINT MARY'S SCHOOL,DECATUR,7,100
,,,YORKTOWN MIDDLE SCHOOL,DELAWARE,7,96.46
,,,YORKTOWN MIDDLE SCHOOL,DELAWARE,6,95
,,,YORKTOWN HIGH SCHOOL,DELAWARE,12,96.67
,,,PLEASANT VIEW ELEMENTARY SCHOOL,DELAWARE,1,96.33
,,,PLEASANT VIEW ELEMENTARY SCHOOL,DELAWARE,K,97.78
,,,DANVILLE COMMUNITY HIGH SCHOOL,HENDRICKS,12,96.04
,,,NORTH ELEMENTARY SCHOOL,HENDRICKS,K,97.55
,,,DANVILLE MIDDLE SCHOOL,HENDRICKS,7,97.79
,,,DANVILLE MIDDLE SCHOOL,HENDRICKS,6,98.14
,,,NORTH ELEMENTARY SCHOOL,HENDRICKS,1,97.74
,,,SEVEN OAKS CLASSICAL SCHOOL,MONROE,6,89.47
,,,SEVEN OAKS CLASSICAL SCHOOL,MONROE,12,77.78
,,,SEVEN OAKS CLASSICAL SCHOOL,MONROE,1,91.07
,,,SEVEN OAKS CLASSICAL SCHOOL,MONROE,K,84.62
,,,SEVEN OAKS CLASSICAL SCHOOL,MONROE,7,93.94
,,,EAST WASHINGTON ACADEMY,DELAWARE,1,93.59
,,,GRISSOM ELEMENTARY SCHOOL,DELAWARE,1,88.24
,,,LONGFELLOW ELEMENTARY SCHOOL,DELAWARE,1,90.77
,,,NORTH VIEW ELEMENTARY SCHOOL,DELAWARE,1,92.73
,,,SOUTH VIEW ELEMENTARY SCHOOL,DELAWARE,1,79.75
,,,WEST VIEW ELEMENTARY SCHOOL,DELAWARE,1,91.18
,,,NORTHSIDE MIDDLE SCHOOL,DELAWARE,6,94.09
,,,SOUTHSIDE MIDDLE SCHOOL,DELAWARE,6,94.67
,,,YOUTH OPPORTUNITY CENTER,DELAWARE,6,100
,,,EAST WASHINGTON ACADEMY,DELAWARE,K,88.75
,,,GRISSOM ELEMENTARY SCHOOL,DELAWARE,K,77.22
,,,LONGFELLOW ELEMENTARY SCHOOL,DELAWARE,K,94.44
,,,NORTH VIEW ELEMENTARY SCHOOL,DELAWARE,K,90.48
,,,SOUTH VIEW ELEMENTARY SCHOOL,DELAWARE,K,79.78
,,,WEST VIEW ELEMENTARY SCHOOL,DELAWARE,K,93.94
,,,MUNCIE CENTRAL HIGH SCHOOL,DELAWARE,12,97.55
,,,NORTHSIDE MIDDLE SCHOOL,DELAWARE,7,91.75
,,,SOUTHSIDE MIDDLE SCHOOL,DELAWARE,7,96.67
,,,YOUTH OPPORTUNITY CENTER,DELAWARE,7,100
,,,LAWRENCE COUNTY INDEPENDENT SCHOOLS,LAWRENCE,7,100
,,,LAWRENCE COUNTY INDEPENDENT SCHOOLS,LAWRENCE,1,88
,,,LAWRENCE COUNTY INDEPENDENT SCHOOLS,LAWRENCE,K,91.3
,,,LAWRENCE COUNTY INDEPENDENT SCHOOLS,LAWRENCE,6,91.67
,,,NORTHEAST DUBOIS JR/SR HIGH SCHOOL,DUBOIS,7,100
,,,NORTHEAST DUBOIS ELEMENTARY SCHOOL,DUBOIS,1,95.12
,,,NORTHEAST DUBOIS JR/SR HIGH SCHOOL,DUBOIS,12,100
,,,NORTHEAST DUBOIS ELEMENTARY SCHOOL,DUBOIS,K,93.55
,,,NORTHEAST DUBOIS INTERMEDIATE SCHOOL,DUBOIS,6,95.52
,,,ISLAMIC ACADEMY OF INDIANAPOLIS,MARION,6,57.14
,,,ISLAMIC ACADEMY OF INDIANAPOLIS,MARION,1,72.73
,,,ISLAMIC ACADEMY OF INDIANAPOLIS,MARION,K,33.33
,,,ISLAMIC ACADEMY OF INDIANAPOLIS,MARION,7,42.86
,,,ROCK CREEK COMMUNITY ACADEMY,CLARK,1,83.33
,,,ROCK CREEK COMMUNITY ACADEMY,CLARK,6,88.89
,,,ROCK CREEK COMMUNITY ACADEMY,CLARK,7,97.96
,,,ROCK CREEK COMMUNITY ACADEMY,CLARK,12,100
,,,ROCK CREEK COMMUNITY ACADEMY,CLARK,K,66.67
,,,FOREST PARK JR-SR HIGH SCHOOL,DUBOIS,7,94.34
,,,CEDAR CREST INTERMEDIATE SCHOOL,DUBOIS,6,92.16
,,,FOREST PARK JR-SR HIGH SCHOOL,DUBOIS,12,99.05
,,,FERDINAND ELEMENTARY SCHOOL,DUBOIS,1,92.31
,,,PINE RIDGE ELEMENTARY SCHOOL,DUBOIS,1,92.31
,,,FERDINAND ELEMENTARY SCHOOL,DUBOIS,K,94.74
,,,PINE RIDGE ELEMENTARY SCHOOL,DUBOIS,K,95.35
,,,HOLLAND ELEMENTARY SCHOOL,DUBOIS,K,90.32
,,,HUNTINGBURG ELEMENTARY SCHOOL,DUBOIS,K,90.7
,,,SOUTHRIDGE MIDDLE SCHOOL,DUBOIS,7,95.35
,,,HOLLAND ELEMENTARY SCHOOL,DUBOIS,1,95
,,,HUNTINGBURG ELEMENTARY SCHOOL,DUBOIS,1,98.15
,,,SOUTHRIDGE HIGH SCHOOL,DUBOIS,12,95.2
,,,SOUTHRIDGE MIDDLE SCHOOL,DUBOIS,6,97.83
,,,COVENANT CHRISTIAN SCHOOL,MONROE,1,90
,,,COVENANT CHRISTIAN SCHOOL,MONROE,7,94.44
,,,COVENANT CHRISTIAN SCHOOL,MONROE,K,81.82
,,,COVENANT CHRISTIAN SCHOOL,MONROE,12,100
,,,COVENANT CHRISTIAN SCHOOL,MONROE,6,100
,,,FAIRFIELD JR-SR HIGH SCHOOL,ELKHART,12,91.97
,,,FAIRFIELD JR-SR HIGH SCHOOL,ELKHART,7,92.86
,,,BENTON ELEMENTARY SCHOOL,ELKHART,1,96.08
,,,MILLERSBURG ELEMENTARY- MIDDLE SCH,ELKHART,1,82.14
,,,NEW PARIS ELEMENTARY SCHOOL,ELKHART,1,89.29
,,,BENTON ELEMENTARY SCHOOL,ELKHART,K,91.94
,,,MILLERSBURG ELEMENTARY- MIDDLE SCH,ELKHART,K,69.23
,,,NEW PARIS ELEMENTARY SCHOOL,ELKHART,K,86.54
,,,BENTON ELEMENTARY SCHOOL,ELKHART,6,82.09
,,,MILLERSBURG ELEMENTARY- MIDDLE SCH,ELKHART,6,67.5
,,,NEW PARIS ELEMENTARY SCHOOL,ELKHART,6,91.04
,,,EVANSVILLE CHRISTIAN SCH NEWBURGH,WARRICK,6,86.89
,,,EVANSVILLE CHRISTIAN SCH NEWBURGH,WARRICK,12,100
,,,EVANSVILLE CHRISTIAN SCH NEWBURGH,WARRICK,K,95
,,,EVANSVILLE CHRISTIAN SCH NEWBURGH,WARRICK,1,100
,,,EMAN SCHOOLS,HAMILTON,12,75
,,,EMAN SCHOOLS,HAMILTON,6,100
,,,EMAN SCHOOLS,HAMILTON,7,81.25
,,,BLUE ACADEMY,MARION,1,85.19
,,,GOLD ACADEMY,MARION,1,97.06
,,,LYNWOOD ELEMENTARY,MARION,1,100
,,,STEPHEN DECATUR ELEMENTARY SCHOOL,MARION,1,97.33
,,,VALLEY MILLS ELEMENTARY SCHOOL,MARION,1,93.59
,,,WEST NEWTON ELEMENTARY SCHOOL,MARION,1,92.77
,,,BLUE ACADEMY,MARION,6,96.7
,,,DECATUR HIGH ABILITY ACADEMY,MARION,6,100
,,,GOLD ACADEMY,MARION,6,91.18
,,,LYNWOOD ELEMENTARY,MARION,6,100
,,,STEPHEN DECATUR ELEMENTARY SCHOOL,MARION,6,98.33
,,,VALLEY MILLS ELEMENTARY SCHOOL,MARION,6,98.7
,,,WEST NEWTON ELEMENTARY SCHOOL,MARION,6,93.75
,,,BLUE ACADEMY,MARION,K,87.64
,,,GOLD ACADEMY,MARION,K,80.25
,,,LYNWOOD ELEMENTARY,MARION,K,57.24
,,,STEPHEN DECATUR ELEMENTARY SCHOOL,MARION,K,95
,,,VALLEY MILLS ELEMENTARY SCHOOL,MARION,K,93.02
,,,WEST NEWTON ELEMENTARY SCHOOL,MARION,K,86.84
,,,DECATUR MIDDLE SCHOOL,MARION,7,94.37
,,,DECATUR CENTRAL HIGH SCHOOL,MARION,12,94.03
,,,JIMTOWN ELEMENTARY SCHOOL,ELKHART,K,91.77
,,,JIMTOWN HIGH SCHOOL,ELKHART,12,95.49
,,,JIMTOWN ELEMENTARY SCHOOL,ELKHART,1,98.46
,,,JIMTOWN INTERMEDIATE SCHOOL,ELKHART,6,96.92
,,,JIMTOWN JUNIOR HIGH SCHOOL,ELKHART,7,99.42
,,,CONCORD JUNIOR HIGH SCHOOL,ELKHART,7,98.57
,,,CONCORD EAST SIDE ELEMENTARY SCH,ELKHART,1,98.94
,,,CONCORD OX BOW ELEMENTARY SCHOOL,ELKHART,1,98.77
,,,CONCORD SOUTH SIDE ELEMENTARY SCH,ELKHART,1,91.89
,,,CONCORD WEST SIDE ELEM SCHOOL,ELKHART,1,99.01
,,,CONCORD INTERMEDIATE SCHOOL,ELKHART,6,96.99
,,,CONCORD COMMUNITY HIGH SCHOOL,ELKHART,12,99.02
,,,CONCORD EAST SIDE ELEMENTARY SCH,ELKHART,K,91.82
,,,CONCORD OX BOW ELEMENTARY SCHOOL,ELKHART,K,98.63
,,,CONCORD SOUTH SIDE ELEMENTARY SCH,ELKHART,K,95.29
,,,CONCORD WEST SIDE ELEM SCHOOL,ELKHART,K,96.19
,,,JEFFERSON ELEMENTARY SCHOOL,ELKHART,1,94.87
,,,MIDDLEBURY ELEMENTARY SCHOOL,ELKHART,1,80.43
,,,ORCHARD VIEW SCHOOL,ELKHART,1,84.21
,,,YORK ELEMENTARY SCHOOL,ELKHART,1,90.74
,,,NORTHRIDGE HIGH SCHOOL,ELKHART,12,96.69
,,,NORTHRIDGE MIDDLE SCHOOL,ELKHART,7,93.38
,,,JEFFERSON ELEMENTARY SCHOOL,ELKHART,K,81.43
,,,MIDDLEBURY ELEMENTARY SCHOOL,ELKHART,K,81.25
,,,ORCHARD VIEW SCHOOL,ELKHART,K,84.51
,,,YORK ELEMENTARY SCHOOL,ELKHART,K,77.59
,,,NORTHRIDGE MIDDLE SCHOOL,ELKHART,6,89.46
,,,NAPPANEE ELEMENTARY SCHOOL,ELKHART,K,80.77
,,,WAKARUSA ELEMENTARY SCHOOL,ELKHART,K,90.38
,,,WOODVIEW ELEMENTARY SCHOOL,ELKHART,K,91.53
,,,NAPPANEE ELEMENTARY SCHOOL,ELKHART,1,90.48
,,,WAKARUSA ELEMENTARY SCHOOL,ELKHART,1,93.15
,,,WOODVIEW ELEMENTARY SCHOOL,ELKHART,1,96.23
,,,NORTH WOOD HIGH SCHOOL,ELKHART,12,95.57
,,,NORTH WOOD MIDDLE SCHOOL,ELKHART,7,94.09
,,,NORTH WOOD MIDDLE SCHOOL,ELKHART,6,97.31
,,,ELKHART ALTERNATIVE EDUCATION,ELKHART,12,95.1
,,,ELKHART HIGH SCHOOL,ELKHART,12,97.76
,,,BEARDSLEY ELEMENTARY SCHOOL,ELKHART,1,96.08
,,,BRISTOL ELEMENTARY SCHOOL,ELKHART,1,100
,,,CLEVELAND ELEMENTARY SCHOOL,ELKHART,1,84.62
,,,EASTWOOD ELEMENTARY SCHOOL,ELKHART,1,96.15
,,,ELKHART ALTERNATIVE EDUCATION,ELKHART,1,83.33
,,,MARY BECK ELEMENTARY SCHOOL,ELKHART,1,98.36
,,,MARY DALY ELEMENTARY SCHOOL,ELKHART,1,95.45
,,,MARY FEESER ELEMENTARY SCHOOL,ELKHART,1,93.06
,,,MONGER ELEMENTARY SCHOOL,ELKHART,1,94.23
,,,OSOLO ELEMENTARY SCHOOL,ELKHART,1,95.83
,,,PINEWOOD ELEMENTARY SCHOOL,ELKHART,1,98.59
,,,RIVERVIEW ELEMENTARY SCHOOL,ELKHART,1,98.41
,,,ROOSEVELT STEAM ACADEMY,ELKHART,1,96.39
,,,WOODLAND ELEMENTARY SCHOOL,ELKHART,1,98.25
,,,ELKHART ALTERNATIVE EDUCATION,ELKHART,7,94.12
,,,NORTH SIDE MIDDLE SCHOOL,ELKHART,7,95
,,,PIERRE MORAN MIDDLE SCHOOL,ELKHART,7,98.94
,,,WEST SIDE MIDDLE SCHOOL,ELKHART,7,94
,,,BEARDSLEY ELEMENTARY SCHOOL,ELKHART,K,93.48
,,,BRISTOL ELEMENTARY SCHOOL,ELKHART,K,98.11
,,,CLEVELAND ELEMENTARY SCHOOL,ELKHART,K,85.29
,,,EASTWOOD ELEMENTARY SCHOOL,ELKHART,K,92.45
,,,ELKHART ALTERNATIVE EDUCATION,ELKHART,K,76.67
,,,MARY BECK ELEMENTARY SCHOOL,ELKHART,K,96.49
,,,MARY DALY ELEMENTARY SCHOOL,ELKHART,K,83.78
,,,MARY FEESER ELEMENTARY SCHOOL,ELKHART,K,83.02
,,,MONGER ELEMENTARY SCHOOL,ELKHART,K,90.57
,,,OSOLO ELEMENTARY SCHOOL,ELKHART,K,100
,,,PINEWOOD ELEMENTARY SCHOOL,ELKHART,K,95.45
,,,RIVERVIEW ELEMENTARY SCHOOL,ELKHART,K,90.63
,,,ROOSEVELT STEAM ACADEMY,ELKHART,K,92.54
,,,WOODLAND ELEMENTARY SCHOOL,ELKHART,K,96.61
,,,BEARDSLEY ELEMENTARY SCHOOL,ELKHART,6,93.62
,,,BRISTOL ELEMENTARY SCHOOL,ELKHART,6,96.67
,,,CLEVELAND ELEMENTARY SCHOOL,ELKHART,6,98.28
,,,EASTWOOD ELEMENTARY SCHOOL,ELKHART,6,97.01
,,,ELKHART ALTERNATIVE EDUCATION,ELKHART,6,100
,,,MARY BECK ELEMENTARY SCHOOL,ELKHART,6,96.3
,,,MARY DALY ELEMENTARY SCHOOL,ELKHART,6,98.31
,,,MARY FEESER ELEMENTARY SCHOOL,ELKHART,6,96.23
,,,MONGER ELEMENTARY SCHOOL,ELKHART,6,100
,,,OSOLO ELEMENTARY SCHOOL,ELKHART,6,98.57
,,,PINEWOOD ELEMENTARY SCHOOL,ELKHART,6,98.44
,,,RIVERVIEW ELEMENTARY SCHOOL,ELKHART,6,96.72
,,,ROOSEVELT STEAM ACADEMY,ELKHART,6,97.73
,,,WOODLAND ELEMENTARY SCHOOL,ELKHART,6,98.33
,,,NORTH NEWTON JR-SR HIGH SCHOOL,NEWTON,7,92.54
,,,LAKE VILLAGE ELEMENTARY SCHOOL,NEWTON,6,100
,,,LINCOLN ELEMENTARY SCHOOL,NEWTON,6,100
,,,MOROCCO ELEMENTARY SCHOOL,NEWTON,6,77.78
,,,LAKE VILLAGE ELEMENTARY SCHOOL,NEWTON,1,68.75
,,,LINCOLN ELEMENTARY SCHOOL,NEWTON,1,95.83
,,,MOROCCO ELEMENTARY SCHOOL,NEWTON,1,88.24
,,,LAKE VILLAGE ELEMENTARY SCHOOL,NEWTON,K,100
,,,LINCOLN ELEMENTARY SCHOOL,NEWTON,K,87.5
,,,NORTH NEWTON JR-SR HIGH SCHOOL,NEWTON,12,98.41
,,,CHRISTEL HOUSE ACADEMY WEST,MARION,K,95.24
,,,CHRISTEL HOUSE ACADEMY WEST,MARION,7,97.96
,,,CHRISTEL HOUSE ACADEMY WEST,MARION,6,96.15
,,,CHRISTEL HOUSE ACADEMY WEST,MARION,1,98.18
,,,CHRISTEL HOUSE ACADEMY SOUTH,MARION,1,91.12
,,,CHRISTEL HOUSE ACADEMY SOUTH,MARION,K,90.91
,,,CHRISTEL HOUSE ACADEMY SOUTH,MARION,6,97.1
,,,CHRISTEL HOUSE WATANABE MANUAL HIGH SCHOOL,MARION,12,97.75
,,,CHRISTEL HOUSE ACADEMY SOUTH,MARION,7,95.95
,,,CANAAN COMMUNITY ACADEMY,JEFFERSON,7,100
,,,CANAAN COMMUNITY ACADEMY,JEFFERSON,1,80
,,,CANAAN COMMUNITY ACADEMY,JEFFERSON,K,53.33
,,,CANAAN COMMUNITY ACADEMY,JEFFERSON,6,100
,,,CAREER ACADEMY HIGH SCHOOL,ST. JOSEPH,12,99.15
,,,EXCEL CENTER - ELKHART,ELKHART,12,68
,,,HERRON HIGH SCHOOL,MARION,12,90.95
,,,ACE PREPARATORY ACADEMY,MARION,K,63.16
,,,ACE PREPARATORY ACADEMY,MARION,1,58.33
,,,HIGHER INSTITUTE OF ARTS & TECH,LAKE,6,73.91
,,,HIGHER INSTITUTE OF ARTS & TECH,LAKE,1,87.5
,,,HIGHER INSTITUTE OF ARTS & TECH,LAKE,7,88.89
,,,CONNERSVILLE MIDDLE SCHOOL,FAYETTE,7,97.32
,,,EASTVIEW ELEMENTARY SCHOOL,FAYETTE,1,98.04
,,,EVERTON ELEMENTARY SCHOOL,FAYETTE,1,91.84
,,,FAYETTE CENTRAL ELEMENTARY,FAYETTE,1,92.31
,,,FRAZEE ELEMENTARY SCHOOL,FAYETTE,1,100
,,,GRANDVIEW ELEMENTARY SCHOOL,FAYETTE,1,100
,,,SAINT GABRIEL CATHOLIC SCHOOL,FAYETTE,1,100
,,,EASTVIEW ELEMENTARY SCHOOL,FAYETTE,6,96.15
,,,EVERTON ELEMENTARY SCHOOL,FAYETTE,6,100
,,,FAYETTE CENTRAL ELEMENTARY,FAYETTE,6,90.38
,,,FRAZEE ELEMENTARY SCHOOL,FAYETTE,6,96.88
,,,GRANDVIEW ELEMENTARY SCHOOL,FAYETTE,6,100
,,,SAINT GABRIEL CATHOLIC SCHOOL,FAYETTE,6,88.24
,,,EASTVIEW ELEMENTARY SCHOOL,FAYETTE,K,93.33
,,,EVERTON ELEMENTARY SCHOOL,FAYETTE,K,91.18
,,,FAYETTE CENTRAL ELEMENTARY,FAYETTE,K,97.5
,,,FRAZEE ELEMENTARY SCHOOL,FAYETTE,K,100
,,,GRANDVIEW ELEMENTARY SCHOOL,FAYETTE,K,95.74
,,,SAINT GABRIEL CATHOLIC SCHOOL,FAYETTE,K,94.74
,,,CONNERSVILLE SR HIGH SCHOOL,FAYETTE,12,85.64
,,,HAZELWOOD MIDDLE SCHOOL,FLOYD,6,98.44
,,,HIGHLAND HILLS MIDDLE SCHOOL,FLOYD,6,96.37
,,,NATHANIEL SCRIBNER MIDDLE SCHOOL,FLOYD,6,96.23
,,,FAIRMONT ELEMENTARY SCHOOL,FLOYD,1,100
,,,FLOYDS KNOBS ELEMENTARY SCHOOL,FLOYD,1,96.09
,,,GEORGETOWN ELEMENTARY SCHOOL,FLOYD,1,98.43
,,,GRANT LINE ELEMENTARY SCHOOL,FLOYD,1,89.77
,,,GREEN VALLEY ELEMENTARY SCHOOL,FLOYD,1,95.89
,,,GREENVILLE ELEMENTARY SCHOOL,FLOYD,1,97.01
,,,MOUNT TABOR ELEMENTARY SCHOOL,FLOYD,1,92.79
,,,S ELLEN JONES ELEMENTARY SCHOOL,FLOYD,1,100
,,,SLATE RUN ELEMENTARY SCHOOL,FLOYD,1,97.7
,,,FLOYD CENTRAL HIGH SCHOOL,FLOYD,12,97.91
,,,NEW ALBANY SENIOR HIGH SCHOOL,FLOYD,12,97.92
,,,FAIRMONT ELEMENTARY SCHOOL,FLOYD,K,97.06
,,,FLOYDS KNOBS ELEMENTARY SCHOOL,FLOYD,K,95.9
,,,GEORGETOWN ELEMENTARY SCHOOL,FLOYD,K,94.49
,,,GRANT LINE ELEMENTARY SCHOOL,FLOYD,K,87.16
,,,GREEN VALLEY ELEMENTARY SCHOOL,FLOYD,K,90.14
,,,GREENVILLE ELEMENTARY SCHOOL,FLOYD,K,92.31
,,,MOUNT TABOR ELEMENTARY SCHOOL,FLOYD,K,94.64
,,,S ELLEN JONES ELEMENTARY SCHOOL,FLOYD,K,87.88
,,,SLATE RUN ELEMENTARY SCHOOL,FLOYD,K,85.37
,,,HAZELWOOD MIDDLE SCHOOL,FLOYD,7,96.7
,,,HIGHLAND HILLS MIDDLE SCHOOL,FLOYD,7,96.99
,,,NATHANIEL SCRIBNER MIDDLE SCHOOL,FLOYD,7,94.81
,,,THE PATH SCHOOL,MARION,6,73.17
,,,THE PATH SCHOOL,MARION,1,64.29
,,,THE PATH SCHOOL,MARION,K,66.23
,,,THE PATH SCHOOL,MARION,7,72.22
,,,TINDLEY GENESIS ACADEMY,MARION,6,85.71
,,,ATTICA ELEMENTARY SCHOOL,FOUNTAIN,1,85.71
,,,ATTICA HIGH SCHOOL,FOUNTAIN,12,96.88
,,,ATTICA HIGH SCHOOL,FOUNTAIN,6,91.49
,,,ATTICA ELEMENTARY SCHOOL,FOUNTAIN,K,83.72
,,,ATTICA HIGH SCHOOL,FOUNTAIN,7,97.37
,,,COVINGTON MIDDLE SCHOOL,FOUNTAIN,7,88.73
,,,COVINGTON COMMUNITY HIGH SCHOOL,FOUNTAIN,12,85.53
,,,COVINGTON ELEMENTARY SCHOOL,FOUNTAIN,K,84.75
,,,COVINGTON MIDDLE SCHOOL,FOUNTAIN,6,90.91
,,,COVINGTON ELEMENTARY SCHOOL,FOUNTAIN,1,82.76
,,,GARRETT MIDDLE SCHOOL,DE KALB,7,90.08
,,,J E OBER ELEMENTARY SCHOOL,DE KALB,K,96.43
,,,GARRETT HIGH SCHOOL,DE KALB,12,94.93
,,,GARRETT MIDDLE SCHOOL,DE KALB,6,96.8
,,,J E OBER ELEMENTARY SCHOOL,DE KALB,1,96.36
,,,NEIGHBORS' NEW VISTAS HIGH SCHOOL,PORTER,12,92.96
,,,BANNEKER ELEMENTARY AT MARQUETTE,LAKE,K,91.3
,,,BEVERIDGE ELEMENTARY SCHOOL,LAKE,K,83.12
,,,DANIEL HALE WILLIAMS ELEM SCH,LAKE,K,93.9
,,,FRANKIE WOODS MCCULLOUGH ACADEMY,LAKE,K,82.09
,,,GLEN PARK ACAD FOR EXCEL IN LRN,LAKE,K,77.33
,,,BAILLY MIDDLE SCHOOL,LAKE,7,94.48
,,,GARY MIDDLE SCHOOL,LAKE,7,95.62
,,,GARY VIRTUAL ACADEMY,LAKE,7,100
,,,BANNEKER ELEMENTARY AT MARQUETTE,LAKE,1,87.5
,,,BEVERIDGE ELEMENTARY SCHOOL,LAKE,1,88.89
,,,DANIEL HALE WILLIAMS ELEM SCH,LAKE,1,90.91
,,,FRANKIE WOODS MCCULLOUGH ACADEMY,LAKE,1,91.89
,,,GLEN PARK ACAD FOR EXCEL IN LRN,LAKE,1,89.22
,,,BAILLY MIDDLE SCHOOL,LAKE,6,92.91
,,,GARY MIDDLE SCHOOL,LAKE,6,94.66
,,,GARY VIRTUAL ACADEMY,LAKE,6,100
,,,GARY VIRTUAL ACADEMY,LAKE,12,60
,,,WEST SIDE LEADERSHIP ACADEMY,LAKE,12,76.28
,,,GOSHEN HIGH SCHOOL,ELKHART,12,90.71
,,,CHAMBERLAIN ELEMENTARY SCHOOL,ELKHART,K,87.3
,,,MODEL ELEMENTARY SCHOOL,ELKHART,K,91.11
,,,PARKSIDE ELEMENTARY SCHOOL,ELKHART,K,88.24
,,,PRAIRIE VIEW ELEMENTARY SCHOOL,ELKHART,K,89.55
,,,WATERFORD ELEMENTARY SCHOOL,ELKHART,K,78.95
,,,WEST GOSHEN ELEMENTARY SCHOOL,ELKHART,K,90.63
,,,GOSHEN INTERMEDIATE SCHOOL,CRAWFORD,6,93.38
,,,CHAMBERLAIN ELEMENTARY SCHOOL,ELKHART,1,95.38
,,,MODEL ELEMENTARY SCHOOL,ELKHART,1,89.53
,,,PARKSIDE ELEMENTARY SCHOOL,ELKHART,1,88.61
,,,PRAIRIE VIEW ELEMENTARY SCHOOL,ELKHART,1,90.41
,,,WATERFORD ELEMENTARY SCHOOL,ELKHART,1,88.37
,,,WEST GOSHEN ELEMENTARY SCHOOL,ELKHART,1,87.1
,,,GOSHEN JUNIOR HIGH SCHOOL,ELKHART,7,93.93
,,,LEWIS CASS JUNIOR HIGH SCHOOL,CASS,7,95.92
,,,LEWIS CASS JUNIOR HIGH SCHOOL,CASS,6,93.69
,,,LEWIS CASS HIGH SCHOOL,CASS,12,94.62
,,,LEWIS CASS ELEMENTARY SCHOOL,CASS,1,94.05
,,,LEWIS CASS ELEMENTARY SCHOOL,CASS,K,93.26
,,,CHARLESTOWN MIDDLE SCHOOL,CLARK,7,96.34
,,,NEW WASHINGTON MIDDLE/HIGH SCHOOL,CLARK,7,96.97
,,,OLD CORDEN PORTER SCHOOL,CLARK,7,100
,,,PARKVIEW MIDDLE SCHOOL,CLARK,7,98.64
,,,RIVER VALLEY MIDDLE SCHOOL,CLARK,7,94.68
,,,CHARLESTOWN SENIOR HIGH SCHOOL,CLARK,12,92.78
,,,JEFFERSONVILLE HIGH SCHOOL,CLARK,12,97.62
,,,NEW WASHINGTON MIDDLE/HIGH SCHOOL,CLARK,12,97.87
,,,OLD CORDEN PORTER SCHOOL,CLARK,12,100
,,,FRANKLIN SQUARE ELEMENTARY SCHOOL,CLARK,1,84.15
,,,NEW WASHINGTON ELEMENTARY SCHOOL,CLARK,1,85.19
,,,NORTHAVEN ELEMENTARY SCHOOL,CLARK,1,96.7
,,,PARKWOOD ELEMENTARY SCHOOL,CLARK,1,94.12
,,,PLEASANT RIDGE ELEMENTARY SCHOOL,CLARK,1,93.68
,,,RIVERSIDE ELEMENTARY SCHOOL,CLARK,1,95.29
,,,THOMAS JEFFERSON ELEMENTARY SCHOOL,CLARK,1,92.86
,,,UTICA ELEMENTARY SCHOOL,CLARK,1,97.17
,,,W E WILSON ELEMENTARY,CLARK,1,81.73
,,,CHARLESTOWN MIDDLE SCHOOL,CLARK,6,97.7
,,,NEW WASHINGTON MIDDLE/HIGH SCHOOL,CLARK,6,87.93
,,,OLD CORDEN PORTER SCHOOL,CLARK,6,100
,,,PARKVIEW MIDDLE SCHOOL,CLARK,6,97.46
,,,RIVER VALLEY MIDDLE SCHOOL,CLARK,6,98.17
,,,FRANKLIN SQUARE ELEMENTARY SCHOOL,CLARK,K,89.01
,,,NEW WASHINGTON ELEMENTARY SCHOOL,CLARK,K,84.38
,,,NORTHAVEN ELEMENTARY SCHOOL,CLARK,K,92.05
,,,PARKWOOD ELEMENTARY SCHOOL,CLARK,K,89.89
,,,PLEASANT RIDGE ELEMENTARY SCHOOL,CLARK,K,93.53
,,,RIVERSIDE ELEMENTARY SCHOOL,CLARK,K,91.58
,,,THOMAS JEFFERSON ELEMENTARY SCHOOL,CLARK,K,90
,,,UTICA ELEMENTARY SCHOOL,CLARK,K,95.45
,,,W E WILSON ELEMENTARY,CLARK,K,84.62
,,,IRELAND ELEMENTARY SCHOOL,DUBOIS,K,97.59
,,,JASPER ELEMENTARY SCHOOL,DUBOIS,K,96.67
,,,JASPER MIDDLE SCHOOL,DUBOIS,7,99.58
,,,JASPER MIDDLE SCHOOL,DUBOIS,6,100
,,,IRELAND ELEMENTARY SCHOOL,DUBOIS,1,97.92
,,,JASPER ELEMENTARY SCHOOL,DUBOIS,1,96.71
,,,JASPER HIGH SCHOOL,DUBOIS,12,88.73
,,,GREENCASTLE HIGH SCHOOL,PUTNAM,12,96.63
,,,DEER MEADOW PRIMARY SCHOOL,PUTNAM,K,85.32
,,,MARTHA J RIDPATH ELEMENTARY SCHOOL,PUTNAM,K,94.34
,,,DEER MEADOW PRIMARY SCHOOL,PUTNAM,1,80.23
,,,MARTHA J RIDPATH ELEMENTARY SCHOOL,PUTNAM,1,97.14
,,,GREENCASTLE MIDDLE SCHOOL,PUTNAM,6,99.06
,,,GREENCASTLE MIDDLE SCHOOL,PUTNAM,7,100
,,,GREENFIELD CENTRAL JUNIOR HIGH SCH,HANCOCK,7,97.57
