Facility Number,Facility Address,School Type,School District or Name,County,Age Group,MMR Vaccination Rate
,,,ST JOSEPH HESSEN CASSEL CATH SCH,ALLEN,1,100
,,,ST PIUS X CATHOLIC SCHOOL,ST. JOSEPH,1,96.77
,,,ST THOMAS THE APOSTLE SCHOOL,ELKHART,1,92.86
,,,ST VINCENT DE PAUL SCHOOL,ELKHART,1,100
,,,SAINT CHARLES BORROMEO SCHOOL,ALLEN,7,83.12
,,,SAINT ELIZABETH ANN SETON CATHOLIC SCH,ALLEN,7,100
,,,SAINT JOHN THE BAPTIST SCHOOL,ST. JOSEPH,7,100
,,,SAINT JOSEPH CATHOLIC SCHOOL,ALLEN,7,100
,,,SAINT JOSEPH SCHOOL,ST. JOSEPH,7,94.74
,,,SAINT JUDE CATHOLIC SCHOOL,ST. JOSEPH,7,91.3
,,,SAINT JUDE ELEMENTARY SCHOOL,ALLEN,7,93.55
,,,SAINT LOUIS BESANCON CATHOLIC SCH,ALLEN,7,100
,,,SAINT MARY ELEMENTARY SCHOOL,NOBLE,7,100
,,,SAINT MATTHEW CATHEDRAL SCHOOL,ST. JOSEPH,7,97.37
,,,SAINT MICHAEL SCHOOL,MARSHALL,7,100
,,,SAINT THERESE SCHOOL,ALLEN,7,100
,,,SAINT VINCENT DEPAUL SCHOOL,ALLEN,7,94.32
,,,ST JOSEPH HESSEN CASSEL CATH SCH,ALLEN,7,100
,,,ST PIUS X CATHOLIC SCHOOL,ST. JOSEPH,7,94.74
,,,ST THOMAS THE APOSTLE SCHOOL,ELKHART,7,96.67
,,,ST VINCENT DE PAUL SCHOOL,ELKHART,7,100
,,,HOLY FAMILY SCHOOL,ST. JOSEPH,6,100
,,,MOST PRECIOUS BLOOD SCHOOL,ALLEN,6,91.67
,,,OUR LADY OF HUNGARY SCHOOL,ST. JOSEPH,6,100
,,,OUR LADY SCHOOL,ALLEN,6,72.73
,,,QUEEN OF ANGELS SCHOOL,ALLEN,6,100
,,,QUEEN OF PEACE SCHOOL,ST. JOSEPH,6,91.67
,,,SACRED HEART SCHOOL,KOSCIUSKO,6,91.67
,,,SAINT ADALBERT SCHOOL,ST. JOSEPH,6,100
,,,SAINT ANTHONY DE PADUA SCHOOL,ST. JOSEPH,6,90
,,,SAINT BERNARD ELEMENTARY SCHOOL,WABASH,6,100
,,,SAINT CHARLES BORROMEO SCHOOL,ALLEN,6,91.95
,,,SAINT ELIZABETH ANN SETON CATHOLIC SCH,ALLEN,6,96.15
,,,SAINT JOHN THE BAPTIST SCHOOL,ST. JOSEPH,6,100
,,,SAINT JOSEPH CATHOLIC SCHOOL,ALLEN,6,100
,,,SAINT JOSEPH SCHOOL,ST. JOSEPH,6,93.88
,,,SAINT JUDE CATHOLIC SCHOOL,ST. JOSEPH,6,96.67
,,,SAINT JUDE ELEMENTARY SCHOOL,ALLEN,6,94.87
,,,SAINT LOUIS BESANCON CATHOLIC SCH,ALLEN,6,90
,,,SAINT MATTHEW CATHEDRAL SCHOOL,ST. JOSEPH,6,97.87
,,,SAINT MICHAEL SCHOOL,MARSHALL,6,100
,,,SAINT THERESE SCHOOL,ALLEN,6,90.91
,,,SAINT VINCENT DEPAUL SCHOOL,ALLEN,6,93.83
,,,ST JOHN EVANGELIST SCHOOL,ELKHART,6,100
,,,ST JOSEPH HESSEN CASSEL CATH SCH,ALLEN,6,100
,,,ST PIUS X CATHOLIC SCHOOL,ST. JOSEPH,6,93.22
,,,ST THOMAS THE APOSTLE SCHOOL,ELKHART,6,100
,,,ST VINCENT DE PAUL SCHOOL,ELKHART,6,100
,,,COVENANT CHRISTIAN SCHOOL,ST. JOSEPH,K,74.29
,,,HOLY CROSS,ST. JOSEPH,K,92.31
,,,HOLY FAMILY SCHOOL,ST. JOSEPH,K,86.84
,,,OUR LADY OF HUNGARY SCHOOL,ST. JOSEPH,K,94.12
,,,QUEEN OF PEACE SCHOOL,ST. JOSEPH,K,92.31
,,,SACRED HEART SCHOOL,KOSCIUSKO,K,88
,,,SAINT ADALBERT SCHOOL,ST. JOSEPH,K,84.21
,,,SAINT ANTHONY DE PADUA SCHOOL,ST. JOSEPH,K,89.47
