,Facility Number,School Type,School District or Name,Facility Address,County,MMR Vaccination Rate,Age Group
0,,Private,AUTAUGA ACADEMY,,AUTAUGA,66.67,Fourth Grade
1,,Private,AUTAUGA ACADEMY,,AUTAUGA,81.82,Kindergarten
2,,Private,AUTAUGA ACADEMY,,AUTAUGA,85.71,Eighth Grade
3,,Private,AUTAUGA ACADEMY,,AUTAUGA,88.89,Eleventh Grade
4,,Private,AUTAUGA ACADEMY,,AUTAUGA,92.86,First Grade
5,,Private,AUTAUGA ACADEMY,,AUTAUGA,100.0,Third Grade
6,,Private,AUTAUGA ACADEMY,,AUTAUGA,100.0,Fifth Grade
7,,Private,AUTAUGA ACADEMY,,AUTAUGA,100.0,Sixth Grade
8,,Private,AUTAUGA ACADEMY,,AUTAUGA,100.0,Seventh Grade
9,,Private,AUTAUGA ACADEMY,,AUTAUGA,100.0,Ninth Grade
10,,Private,AUTAUGA ACADEMY,,AUTAUGA,100.0,Tenth Grade
11,,Private,AUTAUGA ACADEMY,,AUTAUGA,100.0,Twelfth Grade
12,,Public,AUTAUGAVILLE SCHOOL,,AUTAUGA,95.45,Second Grade
13,,Public,AUTAUGAVILLE SCHOOL,,AUTAUGA,95.65,Kindergarten
14,,Public,AUTAUGAVILLE SCHOOL,,AUTAUGA,100.0,First Grade
15,,Public,AUTAUGAVILLE SCHOOL,,AUTAUGA,100.0,Third Grade
16,,Public,AUTAUGAVILLE SCHOOL,,AUTAUGA,100.0,Fourth Grade
17,,Public,AUTAUGAVILLE SCHOOL,,AUTAUGA,100.0,Fifth Grade
18,,Public,AUTAUGAVILLE SCHOOL,,AUTAUGA,100.0,Sixth Grade
19,,Public,AUTAUGAVILLE SCHOOL,,AUTAUGA,100.0,Seventh Grade
20,,Public,AUTAUGAVILLE SCHOOL,,AUTAUGA,100.0,Eighth Grade
21,,Public,AUTAUGAVILLE SCHOOL,,AUTAUGA,100.0,Ninth Grade
22,,Public,AUTAUGAVILLE SCHOOL,,AUTAUGA,100.0,Tenth Grade
23,,Public,AUTAUGAVILLE SCHOOL,,AUTAUGA,100.0,Eleventh Grade
24,,Public,AUTAUGAVILLE SCHOOL,,AUTAUGA,100.0,Twelfth Grade
25,,Public,BILLINGSLEY HIGH SCHOOL,,AUTAUGA,93.88,Second Grade
26,,Public,BILLINGSLEY HIGH SCHOOL,,AUTAUGA,95.45,First Grade
27,,Public,BILLINGSLEY HIGH SCHOOL,,AUTAUGA,96.0,Kindergarten
28,,Public,BILLINGSLEY HIGH SCHOOL,,AUTAUGA,96.67,Twelfth Grade
29,,Public,BILLINGSLEY HIGH SCHOOL,,AUTAUGA,97.22,Ninth Grade
30,,Public,BILLINGSLEY HIGH SCHOOL,,AUTAUGA,97.37,Tenth Grade
31,,Public,BILLINGSLEY HIGH SCHOOL,,AUTAUGA,97.56,Third Grade
32,,Public,BILLINGSLEY HIGH SCHOOL,,AUTAUGA,97.62,Eleventh Grade
33,,Public,BILLINGSLEY HIGH SCHOOL,,AUTAUGA,100.0,Fourth Grade
34,,Public,BILLINGSLEY HIGH SCHOOL,,AUTAUGA,100.0,Fifth Grade
35,,Public,BILLINGSLEY HIGH SCHOOL,,AUTAUGA,100.0,Sixth Grade
36,,Public,BILLINGSLEY HIGH SCHOOL,,AUTAUGA,100.0,Seventh Grade
37,,Public,BILLINGSLEY HIGH SCHOOL,,AUTAUGA,100.0,Eighth Grade
38,,Public,DANIEL PRATT ELEMENTARY SCHOOL,,AUTAUGA,96.34,Second Grade
39,,Public,DANIEL PRATT ELEMENTARY SCHOOL,,AUTAUGA,97.57,Third Grade
40,,Public,DANIEL PRATT ELEMENTARY SCHOOL,,AUTAUGA,98.17,First Grade
41,,Public,DANIEL PRATT ELEMENTARY SCHOOL,,AUTAUGA,98.31,Fourth Grade
42,,Public,DANIEL PRATT ELEMENTARY SCHOOL,,AUTAUGA,98.31,Fifth Grade
43,,Public,DANIEL PRATT ELEMENTARY SCHOOL,,AUTAUGA,99.38,Sixth Grade
44,,Private,FIRST BAPTIST PRESCHOOL & KINDERGAR,,AUTAUGA,73.91,Kindergarten
45,,Public,MARBURY HIGH SCHOOL,,AUTAUGA,97.78,Ninth Grade
46,,Public,MARBURY HIGH SCHOOL,,AUTAUGA,99.35,Eleventh Grade
47,,Public,MARBURY HIGH SCHOOL,,AUTAUGA,100.0,Tenth Grade
48,,Public,MARBURY MIDDLE SCHOOL,,AUTAUGA,98.39,Sixth Grade
49,,Public,MARBURY MIDDLE SCHOOL,,AUTAUGA,99.3,Seventh Grade
50,,Public,PINE LEVEL ELEMENTARY SCHOOL,,AUTAUGA,94.57,First Grade
51,,Public,PINE LEVEL ELEMENTARY SCHOOL,,AUTAUGA,94.9,Kindergarten
52,,Public,PINE LEVEL ELEMENTARY SCHOOL,,AUTAUGA,95.63,Second Grade
53,,Public,PINE LEVEL ELEMENTARY SCHOOL,,AUTAUGA,97.26,Third Grade
54,,Public,PINE LEVEL ELEMENTARY SCHOOL,,AUTAUGA,97.52,Fourth Grade
55,,Public,PINE LEVEL ELEMENTARY SCHOOL,,AUTAUGA,100.0,Fifth Grade
56,,Public,PRATTVILLE ELEMENTARY SCHOOL,,AUTAUGA,98.18,Third Grade
57,,Public,PRATTVILLE HIGH SCHOOL,,AUTAUGA,97.71,Eleventh Grade
58,,Public,PRATTVILLE HIGH SCHOOL,,AUTAUGA,98.33,Ninth Grade
59,,Public,PRATTVILLE HIGH SCHOOL,,AUTAUGA,98.66,Tenth Grade
60,,Public,PRATTVILLE INTERMEDIATE SCHOOL,,AUTAUGA,99.0,Sixth Grade
61,,Public,PRATTVILLE INTERMEDIATE SCHOOL,,AUTAUGA,99.31,Fifth Grade
62,,Public,PRATTVILLE JUNIOR HIGH SCHOOL,,AUTAUGA,98.14,Eighth Grade
63,,Public,PRATTVILLE JUNIOR HIGH SCHOOL,,AUTAUGA,99.21,Seventh Grade
64,,Public,PRATTVILLE KINDERGARTEN SCHOOL,,AUTAUGA,75.0,Third Grade
65,,Public,PRATTVILLE KINDERGARTEN SCHOOL,,AUTAUGA,84.62,First Grade
66,,Public,PRATTVILLE KINDERGARTEN SCHOOL,,AUTAUGA,91.03,Second Grade
67,,Public,PRATTVILLE KINDERGARTEN SCHOOL,,AUTAUGA,94.33,Kindergarten
68,,Public,PRATTVILLE KINDERGARTEN SCHOOL,,AUTAUGA,100.0,Fourth Grade
69,,Public,PRATTVILLE PRIMARY SCHOOL,,AUTAUGA,97.74,Second Grade
70,,Public,PRATTVILLE PRIMARY SCHOOL,,AUTAUGA,98.73,First Grade
71,,Public,PRATTVILLE PRIMARY SCHOOL,,AUTAUGA,100.0,Kindergarten
72,,Public,BALDWIN COUNTY HIGH SCHOOL,,BALDWIN,98.48,Eleventh Grade
73,,Public,BALDWIN COUNTY HIGH SCHOOL,,BALDWIN,98.73,Twelfth Grade
74,,Public,BALDWIN COUNTY HIGH SCHOOL,,BALDWIN,99.13,Tenth Grade
75,,Public,BALDWIN COUNTY HIGH SCHOOL,,BALDWIN,99.57,Ninth Grade
76,,Public,BALDWIN COUNTY VIRTUAL SCHOOL,,BALDWIN,85.0,Tenth Grade
77,,Public,BALDWIN COUNTY VIRTUAL SCHOOL,,BALDWIN,87.5,Ninth Grade
78,,Public,BALDWIN COUNTY VIRTUAL SCHOOL,,BALDWIN,97.67,Eleventh Grade
79,,Public,BALDWIN COUNTY VIRTUAL SCHOOL,,BALDWIN,100.0,Seventh Grade
80,,Public,BALDWIN COUNTY VIRTUAL SCHOOL,,BALDWIN,100.0,Eighth Grade
81,,Public,BALDWIN COUNTY VIRTUAL SCHOOL,,BALDWIN,100.0,Twelfth Grade
82,,Public,BALDWIN COUNTY VIRTUAL SECONDARY SCHOOL,,BALDWIN,95.83,Eleventh Grade
83,,Public,BALDWIN COUNTY VIRTUAL SECONDARY SCHOOL,,BALDWIN,96.15,Ninth Grade
84,,Public,BALDWIN COUNTY VIRTUAL SECONDARY SCHOOL,,BALDWIN,96.67,Eighth Grade
85,,Public,BALDWIN COUNTY VIRTUAL SECONDARY SCHOOL,,BALDWIN,96.77,Tenth Grade
86,,Public,BALDWIN COUNTY VIRTUAL SECONDARY SCHOOL,,BALDWIN,96.88,Twelfth Grade
87,,Public,BALDWIN COUNTY VIRTUAL SECONDARY SCHOOL,,BALDWIN,100.0,Seventh Grade
88,,Public,BALDWIN PREPARATORY ACADEMY,,BALDWIN,50.0,Twelfth Grade
89,,Public,BALDWIN PREPARATORY ACADEMY,,BALDWIN,98.25,Tenth Grade
90,,Public,BALDWIN PREPARATORY ACADEMY,,BALDWIN,99.56,Eleventh Grade
91,,Public,BAY MINETTE ELEMENTARY SCHOOL,,BALDWIN,96.74,Kindergarten
92,,Public,BAY MINETTE ELEMENTARY SCHOOL,,BALDWIN,99.15,First Grade
93,,Public,BAY MINETTE ELEMENTARY SCHOOL,,BALDWIN,100.0,Second Grade
94,,Public,BAY MINETTE ELEMENTARY SCHOOL,,BALDWIN,100.0,Third Grade
95,,Public,BAY MINETTE ELEMENTARY SCHOOL,,BALDWIN,100.0,Fourth Grade
96,,Public,BAY MINETTE ELEMENTARY SCHOOL,,BALDWIN,100.0,Fifth Grade
97,,Public,BAY MINETTE ELEMENTARY SCHOOL,,BALDWIN,100.0,Sixth Grade
98,,Public,BAY MINETTE MIDDLE SCHOOL,,BALDWIN,99.15,Eighth Grade
99,,Public,BAY MINETTE MIDDLE SCHOOL,,BALDWIN,99.45,Seventh Grade
100,,Private,BAYSHORE CHRISTIAN SCHOOL,,BALDWIN,52.17,Kindergarten
101,,Private,BAYSHORE CHRISTIAN SCHOOL,,BALDWIN,66.04,First Grade
102,,Private,BAYSHORE CHRISTIAN SCHOOL,,BALDWIN,75.0,Eleventh Grade
103,,Private,BAYSHORE CHRISTIAN SCHOOL,,BALDWIN,84.38,Tenth Grade
104,,Private,BAYSHORE CHRISTIAN SCHOOL,,BALDWIN,85.25,Third Grade
105,,Private,BAYSHORE CHRISTIAN SCHOOL,,BALDWIN,85.71,Seventh Grade
106,,Private,BAYSHORE CHRISTIAN SCHOOL,,BALDWIN,86.84,Fourth Grade
107,,Private,BAYSHORE CHRISTIAN SCHOOL,,BALDWIN,87.18,Second Grade
108,,Private,BAYSHORE CHRISTIAN SCHOOL,,BALDWIN,91.11,Eighth Grade
109,,Private,BAYSHORE CHRISTIAN SCHOOL,,BALDWIN,91.18,Ninth Grade
110,,Private,BAYSHORE CHRISTIAN SCHOOL,,BALDWIN,94.74,Sixth Grade
111,,Private,BAYSHORE CHRISTIAN SCHOOL,,BALDWIN,97.22,Fifth Grade
112,,Private,BAYSHORE CHRISTIAN SCHOOL,,BALDWIN,100.0,Twelfth Grade
113,,Private,BAYSIDE ACADEMY,,BALDWIN,92.59,Kindergarten
114,,Private,BAYSIDE ACADEMY,,BALDWIN,94.74,Fifth Grade
115,,Private,BAYSIDE ACADEMY,,BALDWIN,95.16,Eleventh Grade
116,,Private,BAYSIDE ACADEMY,,BALDWIN,95.83,Tenth Grade
117,,Private,BAYSIDE ACADEMY,,BALDWIN,96.3,Third Grade
118,,Private,BAYSIDE ACADEMY,,BALDWIN,97.14,Ninth Grade
119,,Private,BAYSIDE ACADEMY,,BALDWIN,98.28,Eighth Grade
120,,Private,BAYSIDE ACADEMY,,BALDWIN,98.33,Fourth Grade
121,,Private,BAYSIDE ACADEMY,,BALDWIN,98.46,Second Grade
122,,Private,BAYSIDE ACADEMY,,BALDWIN,98.61,Twelfth Grade
123,,Private,BAYSIDE ACADEMY,,BALDWIN,100.0,First Grade
124,,Private,BAYSIDE ACADEMY,,BALDWIN,100.0,Sixth Grade
125,,Private,BAYSIDE ACADEMY,,BALDWIN,100.0,Seventh Grade
126,,Public,BELFOREST ELEMENTARY SCHOOL,,BALDWIN,90.77,Kindergarten
127,,Public,BELFOREST ELEMENTARY SCHOOL,,BALDWIN,92.31,First Grade
128,,Public,BELFOREST ELEMENTARY SCHOOL,,BALDWIN,92.91,Third Grade
129,,Public,BELFOREST ELEMENTARY SCHOOL,,BALDWIN,94.64,Second Grade
130,,Public,BELFOREST ELEMENTARY SCHOOL,,BALDWIN,95.38,Fourth Grade
131,,Public,BELFOREST ELEMENTARY SCHOOL,,BALDWIN,97.22,Sixth Grade
132,,Public,BELFOREST ELEMENTARY SCHOOL,,BALDWIN,98.33,Fifth Grade
133,,Public,CENTRAL BALDWIN MIDDLE SCHOOL,,BALDWIN,97.93,Eighth Grade
134,,Public,CENTRAL BALDWIN MIDDLE SCHOOL,,BALDWIN,98.91,Seventh Grade
135,,Private,CENTRAL CHRISTIAN SCHOOL,,BALDWIN,64.29,Sixth Grade
136,,Private,CENTRAL CHRISTIAN SCHOOL,,BALDWIN,66.67,Kindergarten
137,,Private,CENTRAL CHRISTIAN SCHOOL,,BALDWIN,66.67,Third Grade
138,,Private,CENTRAL CHRISTIAN SCHOOL,,BALDWIN,69.57,Second Grade
139,,Private,CENTRAL CHRISTIAN SCHOOL,,BALDWIN,71.43,Fifth Grade
140,,Private,CENTRAL CHRISTIAN SCHOOL,,BALDWIN,80.0,Twelfth Grade
141,,Private,CENTRAL CHRISTIAN SCHOOL,,BALDWIN,82.35,Eighth Grade
142,,Private,CENTRAL CHRISTIAN SCHOOL,,BALDWIN,82.76,First Grade
143,,Private,CENTRAL CHRISTIAN SCHOOL,,BALDWIN,85.0,Fourth Grade
144,,Private,CENTRAL CHRISTIAN SCHOOL,,BALDWIN,87.5,Tenth Grade
145,,Private,CENTRAL CHRISTIAN SCHOOL,,BALDWIN,90.91,Eleventh Grade
146,,Private,CENTRAL CHRISTIAN SCHOOL,,BALDWIN,95.83,Ninth Grade
147,,Private,CENTRAL CHRISTIAN SCHOOL,,BALDWIN,96.15,Seventh Grade
148,,Private,CHRIST THE KING CATHOLIC SCHOOL,,BALDWIN,75.0,Eighth Grade
149,,Private,CHRIST THE KING CATHOLIC SCHOOL,,BALDWIN,86.11,Kindergarten
150,,Private,CHRIST THE KING CATHOLIC SCHOOL,,BALDWIN,94.0,Third Grade
151,,Private,CHRIST THE KING CATHOLIC SCHOOL,,BALDWIN,95.83,Fourth Grade
152,,Private,CHRIST THE KING CATHOLIC SCHOOL,,BALDWIN,96.3,First Grade
153,,Private,CHRIST THE KING CATHOLIC SCHOOL,,BALDWIN,97.62,Second Grade
154,,Private,CHRIST THE KING CATHOLIC SCHOOL,,BALDWIN,98.0,Seventh Grade
155,,Private,CHRIST THE KING CATHOLIC SCHOOL,,BALDWIN,98.04,Fifth Grade
156,,Private,CHRIST THE KING CATHOLIC SCHOOL,,BALDWIN,98.04,Sixth Grade
157,,Public,DAPHNE EAST ELEMENTARY SCHOOL,,BALDWIN,94.81,Kindergarten
158,,Public,DAPHNE EAST ELEMENTARY SCHOOL,,BALDWIN,96.18,Third Grade
159,,Public,DAPHNE EAST ELEMENTARY SCHOOL,,BALDWIN,96.9,Second Grade
160,,Public,DAPHNE EAST ELEMENTARY SCHOOL,,BALDWIN,96.92,Fifth Grade
161,,Public,DAPHNE EAST ELEMENTARY SCHOOL,,BALDWIN,98.54,Fourth Grade
162,,Public,DAPHNE EAST ELEMENTARY SCHOOL,,BALDWIN,99.24,Sixth Grade
163,,Public,DAPHNE EAST ELEMENTARY SCHOOL,,BALDWIN,99.24,First Grade
164,,Public,DAPHNE ELEMENTARY SCHOOL,,BALDWIN,93.48,Third Grade
165,,Public,DAPHNE ELEMENTARY SCHOOL,,BALDWIN,94.64,Second Grade
166,,Public,DAPHNE ELEMENTARY SCHOOL,,BALDWIN,95.38,Kindergarten
167,,Public,DAPHNE ELEMENTARY SCHOOL,,BALDWIN,95.39,First Grade
168,,Public,DAPHNE HIGH SCHOOL,,BALDWIN,98.3,Ninth Grade
169,,Public,DAPHNE HIGH SCHOOL,,BALDWIN,98.3,Tenth Grade
170,,Public,DAPHNE HIGH SCHOOL,,BALDWIN,98.49,Eleventh Grade
171,,Public,DAPHNE HIGH SCHOOL,,BALDWIN,98.82,Twelfth Grade
172,,Public,DAPHNE MIDDLE SCHOOL,,BALDWIN,96.99,Eighth Grade
173,,Public,DAPHNE MIDDLE SCHOOL,,BALDWIN,99.11,Seventh Grade
174,,Public,DELTA ELEMENTARY SCHOOL,,BALDWIN,92.86,Kindergarten
175,,Public,DELTA ELEMENTARY SCHOOL,,BALDWIN,94.87,Third Grade
176,,Public,DELTA ELEMENTARY SCHOOL,,BALDWIN,96.67,First Grade
177,,Public,DELTA ELEMENTARY SCHOOL,,BALDWIN,97.06,Second Grade
178,,Public,DELTA ELEMENTARY SCHOOL,,BALDWIN,100.0,Fourth Grade
179,,Public,DELTA ELEMENTARY SCHOOL,,BALDWIN,100.0,Fifth Grade
180,,Public,DELTA ELEMENTARY SCHOOL,,BALDWIN,100.0,Sixth Grade
181,,Public,ELBERTA ELEMENTARY SCHOOL,,BALDWIN,92.72,First Grade
182,,Public,ELBERTA ELEMENTARY SCHOOL,,BALDWIN,93.94,Third Grade
183,,Public,ELBERTA ELEMENTARY SCHOOL,,BALDWIN,95.69,Kindergarten
184,,Public,ELBERTA ELEMENTARY SCHOOL,,BALDWIN,95.69,Fourth Grade
185,,Public,ELBERTA ELEMENTARY SCHOOL,,BALDWIN,96.9,Second Grade
186,,Public,ELBERTA ELEMENTARY SCHOOL,,BALDWIN,97.26,Sixth Grade
187,,Public,ELBERTA ELEMENTARY SCHOOL,,BALDWIN,98.47,Fifth Grade
188,,Public,ELBERTA HIGH SCHOOL,,BALDWIN,97.44,Twelfth Grade
189,,Public,ELBERTA HIGH SCHOOL,,BALDWIN,97.89,Tenth Grade
190,,Public,ELBERTA HIGH SCHOOL,,BALDWIN,98.76,Eleventh Grade
191,,Public,ELBERTA HIGH SCHOOL,,BALDWIN,99.03,Ninth Grade
192,,Public,ELBERTA MIDDLE SCHOOL,,BALDWIN,97.08,Eighth Grade
193,,Public,ELBERTA MIDDLE SCHOOL,,BALDWIN,97.12,Seventh Grade
194,,Public,ELSANOR SCHOOL,,BALDWIN,92.86,Second Grade
195,,Public,ELSANOR SCHOOL,,BALDWIN,94.12,Fourth Grade
196,,Public,ELSANOR SCHOOL,,BALDWIN,95.35,First Grade
197,,Public,ELSANOR SCHOOL,,BALDWIN,96.83,Third Grade
198,,Public,ELSANOR SCHOOL,,BALDWIN,97.37,Sixth Grade
199,,Public,ELSANOR SCHOOL,,BALDWIN,98.28,Fifth Grade
200,,Public,ELSANOR SCHOOL,,BALDWIN,100.0,Kindergarten
201,,Public,FAIRHOPE ELEMENTARY SCHOOL EAST,,BALDWIN,93.04,Kindergarten
202,,Public,FAIRHOPE ELEMENTARY SCHOOL EAST,,BALDWIN,94.59,Second Grade
203,,Public,FAIRHOPE ELEMENTARY SCHOOL EAST,,BALDWIN,95.45,Sixth Grade
204,,Public,FAIRHOPE ELEMENTARY SCHOOL EAST,,BALDWIN,96.85,Fourth Grade
205,,Public,FAIRHOPE ELEMENTARY SCHOOL EAST,,BALDWIN,97.08,First Grade
206,,Public,FAIRHOPE ELEMENTARY SCHOOL EAST,,BALDWIN,98.24,Fifth Grade
207,,Public,FAIRHOPE ELEMENTARY SCHOOL EAST,,BALDWIN,98.32,Third Grade
208,,Public,FAIRHOPE ELEMENTARY SCHOOL WEST,,BALDWIN,91.22,Kindergarten
209,,Public,FAIRHOPE ELEMENTARY SCHOOL WEST,,BALDWIN,95.71,Second Grade
210,,Public,FAIRHOPE ELEMENTARY SCHOOL WEST,,BALDWIN,95.92,Third Grade
211,,Public,FAIRHOPE ELEMENTARY SCHOOL WEST,,BALDWIN,96.77,Fifth Grade
212,,Public,FAIRHOPE ELEMENTARY SCHOOL WEST,,BALDWIN,97.01,Sixth Grade
213,,Public,FAIRHOPE ELEMENTARY SCHOOL WEST,,BALDWIN,97.5,First Grade
214,,Public,FAIRHOPE ELEMENTARY SCHOOL WEST,,BALDWIN,98.64,Fourth Grade
215,,Public,FAIRHOPE HIGH SCHOOL,,BALDWIN,97.46,Eleventh Grade
216,,Public,FAIRHOPE HIGH SCHOOL,,BALDWIN,97.51,Twelfth Grade
217,,Public,FAIRHOPE HIGH SCHOOL,,BALDWIN,98.1,Tenth Grade
218,,Public,FAIRHOPE HIGH SCHOOL,,BALDWIN,98.64,Ninth Grade
219,,Public,FAIRHOPE MIDDLE SCHOOL,,BALDWIN,98.56,Seventh Grade
220,,Public,FAIRHOPE MIDDLE SCHOOL,,BALDWIN,98.99,Eighth Grade
221,,Public,FLORENCE B. MATHIS ELEMENTARY,,BALDWIN,95.42,Fourth Grade
222,,Public,FLORENCE B. MATHIS ELEMENTARY,,BALDWIN,96.69,First Grade
223,,Public,FLORENCE B. MATHIS ELEMENTARY,,BALDWIN,97.18,Second Grade
224,,Public,FLORENCE B. MATHIS ELEMENTARY,,BALDWIN,97.22,Third Grade
225,,Public,FLORENCE B. MATHIS ELEMENTARY,,BALDWIN,97.78,Fifth Grade
226,,Public,FLORENCE B. MATHIS ELEMENTARY,,BALDWIN,99.39,Kindergarten
227,,Public,FLORENCE B. MATHIS ELEMENTARY,,BALDWIN,100.0,Sixth Grade
228,,Public,FOLEY ELEMENTARY SCHOOL,,BALDWIN,94.48,Kindergarten
229,,Public,FOLEY ELEMENTARY SCHOOL,,BALDWIN,95.45,First Grade
230,,Public,FOLEY ELEMENTARY SCHOOL,,BALDWIN,96.99,Third Grade
231,,Public,FOLEY ELEMENTARY SCHOOL,,BALDWIN,97.58,Fourth Grade
232,,Public,FOLEY ELEMENTARY SCHOOL,,BALDWIN,97.74,Second Grade
233,,Public,FOLEY ELEMENTARY SCHOOL,,BALDWIN,97.81,Sixth Grade
234,,Public,FOLEY ELEMENTARY SCHOOL,,BALDWIN,98.32,Fifth Grade
235,,Public,FOLEY HIGH SCHOOL,,BALDWIN,98.12,Tenth Grade
236,,Public,FOLEY HIGH SCHOOL,,BALDWIN,98.91,Ninth Grade
237,,Public,FOLEY HIGH SCHOOL,,BALDWIN,99.38,Twelfth Grade
238,,Public,FOLEY HIGH SCHOOL,,BALDWIN,99.73,Eleventh Grade
239,,Public,FOLEY MIDDLE SCHOOL,,BALDWIN,98.24,Eighth Grade
240,,Public,FOLEY MIDDLE SCHOOL,,BALDWIN,98.77,Seventh Grade
241,,Private,GOOD SHEPHERD LUTHERAN  SCHOOL,,BALDWIN,87.5,Kindergarten
242,,Public,GULF SHORES ELEMENTARY SCHOOL,,BALDWIN,91.81,Kindergarten
243,,Public,GULF SHORES ELEMENTARY SCHOOL,,BALDWIN,92.39,Second Grade
244,,Public,GULF SHORES ELEMENTARY SCHOOL,,BALDWIN,92.53,First Grade
245,,Public,GULF SHORES ELEMENTARY SCHOOL,,BALDWIN,94.12,Third Grade
246,,Public,GULF SHORES ELEMENTARY SCHOOL,,BALDWIN,96.59,Fifth Grade
247,,Public,GULF SHORES ELEMENTARY SCHOOL,,BALDWIN,97.0,Fourth Grade
248,,Public,GULF SHORES HIGH SCHOOL,,BALDWIN,96.27,Ninth Grade
249,,Public,GULF SHORES HIGH SCHOOL,,BALDWIN,97.8,Eleventh Grade
250,,Public,GULF SHORES HIGH SCHOOL,,BALDWIN,99.18,Tenth Grade
251,,Public,GULF SHORES HIGH SCHOOL,,BALDWIN,99.47,Twelfth Grade
252,,Public,GULF SHORES MIDDLE SCHOOL,,BALDWIN,95.5,Sixth Grade
253,,Public,GULF SHORES MIDDLE SCHOOL,,BALDWIN,96.35,Seventh Grade
254,,Public,GULF SHORES MIDDLE SCHOOL,,BALDWIN,96.35,Eighth Grade
255,,Public,J LARRY NEWTON SCHOOL,,BALDWIN,90.67,Kindergarten
256,,Public,J LARRY NEWTON SCHOOL,,BALDWIN,96.04,Fourth Grade
257,,Public,J LARRY NEWTON SCHOOL,,BALDWIN,96.75,Third Grade
258,,Public,J LARRY NEWTON SCHOOL,,BALDWIN,98.08,First Grade
259,,Public,J LARRY NEWTON SCHOOL,,BALDWIN,98.21,Second Grade
260,,Public,J LARRY NEWTON SCHOOL,,BALDWIN,98.35,Sixth Grade
261,,Public,J LARRY NEWTON SCHOOL,,BALDWIN,99.09,Fifth Grade
262,,Public,LOXLEY ELEMENTARY SCHOOL,,BALDWIN,96.15,Kindergarten
263,,Public,LOXLEY ELEMENTARY SCHOOL,,BALDWIN,97.06,First Grade
264,,Public,LOXLEY ELEMENTARY SCHOOL,,BALDWIN,98.28,Second Grade
265,,Public,LOXLEY ELEMENTARY SCHOOL,,BALDWIN,98.33,Third Grade
266,,Public,LOXLEY ELEMENTARY SCHOOL,,BALDWIN,98.55,Fourth Grade
267,,Public,LOXLEY ELEMENTARY SCHOOL,,BALDWIN,100.0,Fifth Grade
268,,Public,LOXLEY ELEMENTARY SCHOOL,,BALDWIN,100.0,Sixth Grade
269,,Public,MAGNOLIA SCHOOL,,BALDWIN,91.8,Fourth Grade
270,,Public,MAGNOLIA SCHOOL,,BALDWIN,94.69,Second Grade
271,,Public,MAGNOLIA SCHOOL,,BALDWIN,96.18,First Grade
272,,Public,MAGNOLIA SCHOOL,,BALDWIN,97.22,Kindergarten
273,,Public,MAGNOLIA SCHOOL,,BALDWIN,97.67,Sixth Grade
274,,Public,MAGNOLIA SCHOOL,,BALDWIN,97.78,Third Grade
275,,Public,MAGNOLIA SCHOOL,,BALDWIN,99.33,Fifth Grade
276,,Public,ORANGE BEACH ELEMENTARY SCHOOL,,BALDWIN,93.24,Fourth Grade
277,,Public,ORANGE BEACH ELEMENTARY SCHOOL,,BALDWIN,93.33,First Grade
278,,Public,ORANGE BEACH ELEMENTARY SCHOOL,,BALDWIN,94.51,Sixth Grade
279,,Public,ORANGE BEACH ELEMENTARY SCHOOL,,BALDWIN,94.94,Third Grade
280,,Public,ORANGE BEACH ELEMENTARY SCHOOL,,BALDWIN,95.29,Fifth Grade
281,,Public,ORANGE BEACH ELEMENTARY SCHOOL,,BALDWIN,95.52,Kindergarten
282,,Public,ORANGE BEACH ELEMENTARY SCHOOL,,BALDWIN,95.65,Second Grade
283,,Public,ORANGE BEACH MIDDLE/HIGH SCHOOL,,BALDWIN,93.85,Ninth Grade
284,,Public,ORANGE BEACH MIDDLE/HIGH SCHOOL,,BALDWIN,95.56,Eighth Grade
285,,Public,ORANGE BEACH MIDDLE/HIGH SCHOOL,,BALDWIN,98.1,Twelfth Grade
286,,Public,ORANGE BEACH MIDDLE/HIGH SCHOOL,,BALDWIN,98.17,Seventh Grade
287,,Public,ORANGE BEACH MIDDLE/HIGH SCHOOL,,BALDWIN,98.2,Eleventh Grade
288,,Public,ORANGE BEACH MIDDLE/HIGH SCHOOL,,BALDWIN,100.0,Tenth Grade
289,,Public,PERDIDO ELEMENTARY SCHOOL,,BALDWIN,96.08,Kindergarten
290,,Public,PERDIDO ELEMENTARY SCHOOL,,BALDWIN,96.88,First Grade
291,,Public,PERDIDO ELEMENTARY SCHOOL,,BALDWIN,97.96,Fifth Grade
292,,Public,PERDIDO ELEMENTARY SCHOOL,,BALDWIN,98.15,Third Grade
293,,Public,PERDIDO ELEMENTARY SCHOOL,,BALDWIN,98.68,Second Grade
294,,Public,PERDIDO ELEMENTARY SCHOOL,,BALDWIN,100.0,Fourth Grade
295,,Public,PERDIDO ELEMENTARY SCHOOL,,BALDWIN,100.0,Sixth Grade
296,,Public,PERDIDO ELEMENTARY SCHOOL,,BALDWIN,100.0,Seventh Grade
297,,Public,PERDIDO ELEMENTARY SCHOOL,,BALDWIN,100.0,Eighth Grade
298,,Public,PINE GROVE ELEMENTARY SCHOOL,,BALDWIN,97.96,Fifth Grade
299,,Public,PINE GROVE ELEMENTARY SCHOOL,,BALDWIN,97.96,Sixth Grade
300,,Public,PINE GROVE ELEMENTARY SCHOOL,,BALDWIN,98.39,Kindergarten
